Date,Centre_Name,Commodity_Name,Price
07-11-08,T.PURAM,Cabbage,20.0
10-11-08,T.PURAM,Cabbage,20.0
11-11-08,T.PURAM,Cabbage,20.0
12-11-08,T.PURAM,Cabbage,20.0
14-11-08,T.PURAM,Cabbage,20.0
17-11-08,T.PURAM,Cabbage,20.0
18-11-08,T.PURAM,Cabbage,20.0
19-11-08,T.PURAM,Cabbage,20.0
20-11-08,T.PURAM,Cabbage,20.0
21-11-08,T.PURAM,Cabbage,20.0
24-11-08,T.PURAM,Cabbage,20.0
25-11-08,T.PURAM,Cabbage,20.0
26-11-08,T.PURAM,Cabbage,20.0
27-11-08,T.PURAM,Cabbage,20.0
28-11-08,T.PURAM,Cabbage,20.0
01-12-08,T.PURAM,Cabbage,20.0
02-12-08,T.PURAM,Cabbage,20.0
03-12-08,T.PURAM,Cabbage,20.0
04-12-08,T.PURAM,Cabbage,20.0
05-12-08,T.PURAM,Cabbage,20.0
08-12-08,T.PURAM,Cabbage,20.0
10-12-08,T.PURAM,Cabbage,20.0
11-12-08,T.PURAM,Cabbage,20.0
12-12-08,T.PURAM,Cabbage,20.0
15-12-08,T.PURAM,Cabbage,20.0
16-12-08,T.PURAM,Cabbage,20.0
17-12-08,T.PURAM,Cabbage,20.0
18-12-08,T.PURAM,Cabbage,20.0
19-12-08,T.PURAM,Cabbage,20.0
22-12-08,T.PURAM,Cabbage,20.0
23-12-08,T.PURAM,Cabbage,20.0
24-12-08,T.PURAM,Cabbage,20.0
26-12-08,T.PURAM,Cabbage,20.0
29-12-08,T.PURAM,Cabbage,20.0
30-12-08,T.PURAM,Cabbage,20.0
31-12-08,T.PURAM,Cabbage,20.0
01-01-09,T.PURAM,Cabbage,20.0
02-01-09,T.PURAM,Cabbage,20.0
05-01-09,T.PURAM,Cabbage,20.0
06-01-09,T.PURAM,Cabbage,20.0
07-01-09,T.PURAM,Cabbage,20.0
09-01-09,T.PURAM,Cabbage,20.0
09-01-09,CHENNAI,Cabbage,12.0
12-01-09,T.PURAM,Cabbage,20.0
12-01-09,CHENNAI,Cabbage,12.0
13-01-09,T.PURAM,Cabbage,20.0
13-01-09,CHENNAI,Cabbage,12.0
14-01-09,T.PURAM,Cabbage,20.0
14-01-09,CHENNAI,Cabbage,12.0
15-01-09,T.PURAM,Cabbage,20.0
15-01-09,CHENNAI,Cabbage,12.0
16-01-09,T.PURAM,Cabbage,20.0
16-01-09,CHENNAI,Cabbage,12.0
