Date,Centre_Name,Commodity_Name,Price
03-01-00,BENGALURU,Groundnut Oil (Packed),38.0
03-01-00,T.PURAM,Groundnut Oil (Packed),48.0
03-01-00,CHENNAI,Groundnut Oil (Packed),38.0
03-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
04-01-00,BENGALURU,Groundnut Oil (Packed),38.0
04-01-00,T.PURAM,Groundnut Oil (Packed),48.0
04-01-00,CHENNAI,Groundnut Oil (Packed),38.0
04-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
05-01-00,BENGALURU,Groundnut Oil (Packed),38.0
05-01-00,T.PURAM,Groundnut Oil (Packed),48.0
05-01-00,CHENNAI,Groundnut Oil (Packed),38.0
05-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
06-01-00,BENGALURU,Groundnut Oil (Packed),38.0
06-01-00,T.PURAM,Groundnut Oil (Packed),48.0
06-01-00,CHENNAI,Groundnut Oil (Packed),40.0
06-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
07-01-00,BENGALURU,Groundnut Oil (Packed),38.0
07-01-00,T.PURAM,Groundnut Oil (Packed),48.0
07-01-00,CHENNAI,Groundnut Oil (Packed),40.0
07-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
10-01-00,BENGALURU,Groundnut Oil (Packed),38.0
10-01-00,T.PURAM,Groundnut Oil (Packed),48.0
10-01-00,CHENNAI,Groundnut Oil (Packed),39.0
10-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
11-01-00,BENGALURU,Groundnut Oil (Packed),39.0
11-01-00,T.PURAM,Groundnut Oil (Packed),48.0
11-01-00,CHENNAI,Groundnut Oil (Packed),39.0
11-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
12-01-00,BENGALURU,Groundnut Oil (Packed),38.0
12-01-00,T.PURAM,Groundnut Oil (Packed),48.0
12-01-00,CHENNAI,Groundnut Oil (Packed),39.0
12-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
13-01-00,BENGALURU,Groundnut Oil (Packed),38.0
13-01-00,T.PURAM,Groundnut Oil (Packed),48.0
13-01-00,CHENNAI,Groundnut Oil (Packed),39.0
13-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
14-01-00,BENGALURU,Groundnut Oil (Packed),38.0
14-01-00,T.PURAM,Groundnut Oil (Packed),48.0
14-01-00,CHENNAI,Groundnut Oil (Packed),39.0
14-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
17-01-00,BENGALURU,Groundnut Oil (Packed),38.0
17-01-00,T.PURAM,Groundnut Oil (Packed),48.0
17-01-00,CHENNAI,Groundnut Oil (Packed),39.0
17-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
18-01-00,BENGALURU,Groundnut Oil (Packed),38.0
18-01-00,T.PURAM,Groundnut Oil (Packed),48.0
18-01-00,CHENNAI,Groundnut Oil (Packed),39.0
18-01-00,HYDERABAD,Groundnut Oil (Packed),40.0
19-01-00,BENGALURU,Groundnut Oil (Packed),38.0
19-01-00,T.PURAM,Groundnut Oil (Packed),48.0
19-01-00,CHENNAI,Groundnut Oil (Packed),39.0
19-01-00,HYDERABAD,Groundnut Oil (Packed),42.0
20-01-00,BENGALURU,Groundnut Oil (Packed),38.0
20-01-00,T.PURAM,Groundnut Oil (Packed),48.0
20-01-00,CHENNAI,Groundnut Oil (Packed),38.0
20-01-00,HYDERABAD,Groundnut Oil (Packed),42.0
21-01-00,BENGALURU,Groundnut Oil (Packed),38.0
21-01-00,T.PURAM,Groundnut Oil (Packed),48.0
21-01-00,CHENNAI,Groundnut Oil (Packed),39.0
21-01-00,HYDERABAD,Groundnut Oil (Packed),42.0
24-01-00,BENGALURU,Groundnut Oil (Packed),38.0
24-01-00,T.PURAM,Groundnut Oil (Packed),48.0
24-01-00,CHENNAI,Groundnut Oil (Packed),39.0
24-01-00,HYDERABAD,Groundnut Oil (Packed),42.0
25-01-00,BENGALURU,Groundnut Oil (Packed),38.0
25-01-00,T.PURAM,Groundnut Oil (Packed),48.0
25-01-00,CHENNAI,Groundnut Oil (Packed),39.0
25-01-00,HYDERABAD,Groundnut Oil (Packed),42.0
27-01-00,BENGALURU,Groundnut Oil (Packed),38.0
27-01-00,T.PURAM,Groundnut Oil (Packed),48.0
27-01-00,CHENNAI,Groundnut Oil (Packed),39.0
27-01-00,HYDERABAD,Groundnut Oil (Packed),42.0
28-01-00,BENGALURU,Groundnut Oil (Packed),38.0
28-01-00,T.PURAM,Groundnut Oil (Packed),48.0
28-01-00,CHENNAI,Groundnut Oil (Packed),39.0
28-01-00,HYDERABAD,Groundnut Oil (Packed),42.0
31-01-00,BENGALURU,Groundnut Oil (Packed),38.0
31-01-00,T.PURAM,Groundnut Oil (Packed),48.0
31-01-00,CHENNAI,Groundnut Oil (Packed),39.0
31-01-00,HYDERABAD,Groundnut Oil (Packed),42.0
01-02-00,BENGALURU,Groundnut Oil (Packed),38.0
01-02-00,T.PURAM,Groundnut Oil (Packed),48.0
01-02-00,CHENNAI,Groundnut Oil (Packed),39.0
01-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
02-02-00,BENGALURU,Groundnut Oil (Packed),38.0
02-02-00,T.PURAM,Groundnut Oil (Packed),48.0
02-02-00,CHENNAI,Groundnut Oil (Packed),39.0
02-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
03-02-00,BENGALURU,Groundnut Oil (Packed),38.0
03-02-00,T.PURAM,Groundnut Oil (Packed),48.0
03-02-00,CHENNAI,Groundnut Oil (Packed),39.0
03-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
04-02-00,BENGALURU,Groundnut Oil (Packed),38.0
04-02-00,T.PURAM,Groundnut Oil (Packed),48.0
04-02-00,CHENNAI,Groundnut Oil (Packed),39.0
04-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
07-02-00,BENGALURU,Groundnut Oil (Packed),38.0
07-02-00,T.PURAM,Groundnut Oil (Packed),48.0
07-02-00,CHENNAI,Groundnut Oil (Packed),39.0
07-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
08-02-00,BENGALURU,Groundnut Oil (Packed),38.0
08-02-00,T.PURAM,Groundnut Oil (Packed),48.0
08-02-00,CHENNAI,Groundnut Oil (Packed),39.0
08-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
09-02-00,BENGALURU,Groundnut Oil (Packed),38.0
09-02-00,T.PURAM,Groundnut Oil (Packed),48.0
09-02-00,CHENNAI,Groundnut Oil (Packed),39.0
09-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
10-02-00,BENGALURU,Groundnut Oil (Packed),38.0
10-02-00,T.PURAM,Groundnut Oil (Packed),48.0
10-02-00,CHENNAI,Groundnut Oil (Packed),38.0
10-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
11-02-00,BENGALURU,Groundnut Oil (Packed),38.0
11-02-00,T.PURAM,Groundnut Oil (Packed),48.0
11-02-00,CHENNAI,Groundnut Oil (Packed),38.0
11-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
14-02-00,BENGALURU,Groundnut Oil (Packed),38.0
14-02-00,T.PURAM,Groundnut Oil (Packed),48.0
14-02-00,CHENNAI,Groundnut Oil (Packed),38.0
14-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
15-02-00,BENGALURU,Groundnut Oil (Packed),38.0
15-02-00,T.PURAM,Groundnut Oil (Packed),48.0
15-02-00,CHENNAI,Groundnut Oil (Packed),38.0
15-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
16-02-00,BENGALURU,Groundnut Oil (Packed),38.0
16-02-00,T.PURAM,Groundnut Oil (Packed),48.0
16-02-00,CHENNAI,Groundnut Oil (Packed),38.0
16-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
17-02-00,BENGALURU,Groundnut Oil (Packed),38.0
17-02-00,T.PURAM,Groundnut Oil (Packed),48.0
17-02-00,CHENNAI,Groundnut Oil (Packed),38.0
17-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
18-02-00,BENGALURU,Groundnut Oil (Packed),38.0
18-02-00,T.PURAM,Groundnut Oil (Packed),48.0
18-02-00,CHENNAI,Groundnut Oil (Packed),38.0
18-02-00,HYDERABAD,Groundnut Oil (Packed),42.0
21-02-00,BENGALURU,Groundnut Oil (Packed),38.0
21-02-00,T.PURAM,Groundnut Oil (Packed),48.0
