Date,Centre_Name,Commodity_Name,Price
01-07-03,BENGALURU,Milk,12.0
02-07-03,BENGALURU,Milk,12.0
02-07-03,HYDERABAD,Milk,13.0
03-07-03,BENGALURU,Milk,12.0
03-07-03,HYDERABAD,Milk,13.0
04-07-03,BENGALURU,Milk,12.0
04-07-03,T.PURAM,Milk,13.0
04-07-03,HYDERABAD,Milk,14.0
07-07-03,BENGALURU,Milk,12.0
07-07-03,T.PURAM,Milk,13.0
07-07-03,HYDERABAD,Milk,14.0
08-07-03,BENGALURU,Milk,12.0
08-07-03,T.PURAM,Milk,13.0
08-07-03,HYDERABAD,Milk,14.0
09-07-03,BENGALURU,Milk,12.0
09-07-03,T.PURAM,Milk,13.0
09-07-03,HYDERABAD,Milk,14.0
10-07-03,BENGALURU,Milk,12.0
10-07-03,T.PURAM,Milk,13.0
10-07-03,HYDERABAD,Milk,14.0
11-07-03,BENGALURU,Milk,12.0
11-07-03,T.PURAM,Milk,13.0
11-07-03,HYDERABAD,Milk,14.0
14-07-03,BENGALURU,Milk,12.0
14-07-03,T.PURAM,Milk,13.0
14-07-03,HYDERABAD,Milk,14.0
15-07-03,BENGALURU,Milk,12.0
15-07-03,T.PURAM,Milk,13.0
15-07-03,HYDERABAD,Milk,14.0
16-07-03,BENGALURU,Milk,12.0
16-07-03,T.PURAM,Milk,13.0
16-07-03,HYDERABAD,Milk,14.0
17-07-03,BENGALURU,Milk,12.0
17-07-03,T.PURAM,Milk,13.0
17-07-03,HYDERABAD,Milk,14.0
18-07-03,BENGALURU,Milk,12.0
18-07-03,T.PURAM,Milk,13.0
18-07-03,HYDERABAD,Milk,14.0
21-07-03,BENGALURU,Milk,12.0
21-07-03,T.PURAM,Milk,13.0
21-07-03,HYDERABAD,Milk,14.0
22-07-03,BENGALURU,Milk,12.0
22-07-03,T.PURAM,Milk,13.0
22-07-03,HYDERABAD,Milk,14.0
23-07-03,BENGALURU,Milk,12.0
23-07-03,T.PURAM,Milk,13.0
23-07-03,HYDERABAD,Milk,14.0
24-07-03,BENGALURU,Milk,12.0
24-07-03,T.PURAM,Milk,13.0
24-07-03,HYDERABAD,Milk,14.0
25-07-03,BENGALURU,Milk,12.0
25-07-03,T.PURAM,Milk,13.0
25-07-03,HYDERABAD,Milk,14.0
28-07-03,BENGALURU,Milk,12.0
28-07-03,T.PURAM,Milk,13.0
28-07-03,HYDERABAD,Milk,14.0
29-07-03,BENGALURU,Milk,12.0
29-07-03,T.PURAM,Milk,13.0
29-07-03,HYDERABAD,Milk,14.0
30-07-03,BENGALURU,Milk,12.0
