Date,Centre_Name,Commodity_Name,Price
03-01-00,T.PURAM,Mustard Oil (Packed),72.5
03-01-00,HYDERABAD,Mustard Oil (Packed),54.0
04-01-00,T.PURAM,Mustard Oil (Packed),72.5
04-01-00,HYDERABAD,Mustard Oil (Packed),54.0
05-01-00,T.PURAM,Mustard Oil (Packed),72.5
05-01-00,HYDERABAD,Mustard Oil (Packed),54.0
06-01-00,T.PURAM,Mustard Oil (Packed),72.5
06-01-00,HYDERABAD,Mustard Oil (Packed),54.0
07-01-00,T.PURAM,Mustard Oil (Packed),72.5
07-01-00,HYDERABAD,Mustard Oil (Packed),54.0
10-01-00,T.PURAM,Mustard Oil (Packed),72.5
10-01-00,HYDERABAD,Mustard Oil (Packed),54.0
11-01-00,T.PURAM,Mustard Oil (Packed),72.5
11-01-00,HYDERABAD,Mustard Oil (Packed),54.0
12-01-00,T.PURAM,Mustard Oil (Packed),72.5
12-01-00,HYDERABAD,Mustard Oil (Packed),54.0
13-01-00,T.PURAM,Mustard Oil (Packed),72.5
13-01-00,HYDERABAD,Mustard Oil (Packed),54.0
14-01-00,T.PURAM,Mustard Oil (Packed),72.5
14-01-00,HYDERABAD,Mustard Oil (Packed),54.0
17-01-00,T.PURAM,Mustard Oil (Packed),72.5
17-01-00,HYDERABAD,Mustard Oil (Packed),54.0
18-01-00,T.PURAM,Mustard Oil (Packed),72.5
18-01-00,HYDERABAD,Mustard Oil (Packed),54.0
19-01-00,T.PURAM,Mustard Oil (Packed),72.5
19-01-00,HYDERABAD,Mustard Oil (Packed),54.0
20-01-00,T.PURAM,Mustard Oil (Packed),72.5
20-01-00,HYDERABAD,Mustard Oil (Packed),54.0
21-01-00,T.PURAM,Mustard Oil (Packed),72.5
21-01-00,HYDERABAD,Mustard Oil (Packed),54.0
24-01-00,T.PURAM,Mustard Oil (Packed),72.5
24-01-00,HYDERABAD,Mustard Oil (Packed),54.0
25-01-00,T.PURAM,Mustard Oil (Packed),72.5
25-01-00,HYDERABAD,Mustard Oil (Packed),54.0
27-01-00,T.PURAM,Mustard Oil (Packed),72.5
27-01-00,HYDERABAD,Mustard Oil (Packed),54.0
28-01-00,T.PURAM,Mustard Oil (Packed),72.5
28-01-00,HYDERABAD,Mustard Oil (Packed),54.0
31-01-00,T.PURAM,Mustard Oil (Packed),72.5
31-01-00,HYDERABAD,Mustard Oil (Packed),54.0
01-02-00,T.PURAM,Mustard Oil (Packed),77.0
01-02-00,HYDERABAD,Mustard Oil (Packed),54.0
02-02-00,T.PURAM,Mustard Oil (Packed),77.0
02-02-00,HYDERABAD,Mustard Oil (Packed),54.0
03-02-00,T.PURAM,Mustard Oil (Packed),77.0
03-02-00,HYDERABAD,Mustard Oil (Packed),54.0
04-02-00,T.PURAM,Mustard Oil (Packed),77.0
04-02-00,HYDERABAD,Mustard Oil (Packed),54.0
07-02-00,T.PURAM,Mustard Oil (Packed),77.0
07-02-00,HYDERABAD,Mustard Oil (Packed),54.0
08-02-00,T.PURAM,Mustard Oil (Packed),77.0
08-02-00,HYDERABAD,Mustard Oil (Packed),54.0
09-02-00,T.PURAM,Mustard Oil (Packed),77.0
09-02-00,HYDERABAD,Mustard Oil (Packed),54.0
10-02-00,T.PURAM,Mustard Oil (Packed),77.0
10-02-00,HYDERABAD,Mustard Oil (Packed),52.0
11-02-00,T.PURAM,Mustard Oil (Packed),77.0
11-02-00,HYDERABAD,Mustard Oil (Packed),52.0
14-02-00,T.PURAM,Mustard Oil (Packed),77.0
14-02-00,HYDERABAD,Mustard Oil (Packed),52.0
15-02-00,T.PURAM,Mustard Oil (Packed),77.0
15-02-00,HYDERABAD,Mustard Oil (Packed),52.0
16-02-00,T.PURAM,Mustard Oil (Packed),77.0
16-02-00,HYDERABAD,Mustard Oil (Packed),52.0
17-02-00,T.PURAM,Mustard Oil (Packed),77.0
17-02-00,HYDERABAD,Mustard Oil (Packed),52.0
18-02-00,T.PURAM,Mustard Oil (Packed),77.0
18-02-00,HYDERABAD,Mustard Oil (Packed),52.0
21-02-00,T.PURAM,Mustard Oil (Packed),77.0
21-02-00,HYDERABAD,Mustard Oil (Packed),52.0
22-02-00,T.PURAM,Mustard Oil (Packed),77.0
22-02-00,HYDERABAD,Mustard Oil (Packed),52.0
23-02-00,T.PURAM,Mustard Oil (Packed),77.0
23-02-00,HYDERABAD,Mustard Oil (Packed),52.0
24-02-00,T.PURAM,Mustard Oil (Packed),77.0
24-02-00,HYDERABAD,Mustard Oil (Packed),52.0
25-02-00,T.PURAM,Mustard Oil (Packed),77.0
25-02-00,HYDERABAD,Mustard Oil (Packed),52.0
28-02-00,T.PURAM,Mustard Oil (Packed),77.0
28-02-00,HYDERABAD,Mustard Oil (Packed),54.0
29-02-00,T.PURAM,Mustard Oil (Packed),77.0
29-02-00,HYDERABAD,Mustard Oil (Packed),54.0
01-03-00,T.PURAM,Mustard Oil (Packed),77.0
01-03-00,HYDERABAD,Mustard Oil (Packed),54.0
02-03-00,T.PURAM,Mustard Oil (Packed),77.0
02-03-00,HYDERABAD,Mustard Oil (Packed),54.0
03-03-00,T.PURAM,Mustard Oil (Packed),77.0
03-03-00,HYDERABAD,Mustard Oil (Packed),54.0
06-03-00,T.PURAM,Mustard Oil (Packed),77.0
06-03-00,HYDERABAD,Mustard Oil (Packed),54.0
07-03-00,T.PURAM,Mustard Oil (Packed),77.0
07-03-00,HYDERABAD,Mustard Oil (Packed),54.0
08-03-00,T.PURAM,Mustard Oil (Packed),77.0
08-03-00,HYDERABAD,Mustard Oil (Packed),54.0
09-03-00,T.PURAM,Mustard Oil (Packed),77.0
09-03-00,HYDERABAD,Mustard Oil (Packed),54.0
10-03-00,T.PURAM,Mustard Oil (Packed),77.0
10-03-00,HYDERABAD,Mustard Oil (Packed),54.0
13-03-00,T.PURAM,Mustard Oil (Packed),77.0
13-03-00,HYDERABAD,Mustard Oil (Packed),54.0
14-03-00,T.PURAM,Mustard Oil (Packed),77.0
14-03-00,HYDERABAD,Mustard Oil (Packed),54.0
15-03-00,T.PURAM,Mustard Oil (Packed),77.0
15-03-00,HYDERABAD,Mustard Oil (Packed),54.0
16-03-00,T.PURAM,Mustard Oil (Packed),77.0
16-03-00,HYDERABAD,Mustard Oil (Packed),54.0
21-03-00,T.PURAM,Mustard Oil (Packed),77.0
21-03-00,HYDERABAD,Mustard Oil (Packed),54.0
22-03-00,T.PURAM,Mustard Oil (Packed),77.0
22-03-00,HYDERABAD,Mustard Oil (Packed),54.0
23-03-00,T.PURAM,Mustard Oil (Packed),77.0
23-03-00,HYDERABAD,Mustard Oil (Packed),54.0
24-03-00,T.PURAM,Mustard Oil (Packed),77.0
24-03-00,HYDERABAD,Mustard Oil (Packed),54.0
27-03-00,T.PURAM,Mustard Oil (Packed),77.0
27-03-00,HYDERABAD,Mustard Oil (Packed),54.0
28-03-00,T.PURAM,Mustard Oil (Packed),77.0
28-03-00,HYDERABAD,Mustard Oil (Packed),54.0
29-03-00,T.PURAM,Mustard Oil (Packed),77.0
29-03-00,HYDERABAD,Mustard Oil (Packed),54.0
30-03-00,T.PURAM,Mustard Oil (Packed),70.0
30-03-00,HYDERABAD,Mustard Oil (Packed),54.0
31-03-00,T.PURAM,Mustard Oil (Packed),70.0
31-03-00,HYDERABAD,Mustard Oil (Packed),54.0
03-04-00,T.PURAM,Mustard Oil (Packed),70.0
03-04-00,HYDERABAD,Mustard Oil (Packed),54.0
04-04-00,T.PURAM,Mustard Oil (Packed),70.0
04-04-00,HYDERABAD,Mustard Oil (Packed),54.0
05-04-00,T.PURAM,Mustard Oil (Packed),70.0
05-04-00,HYDERABAD,Mustard Oil (Packed),52.0
06-04-00,T.PURAM,Mustard Oil (Packed),70.0
06-04-00,HYDERABAD,Mustard Oil (Packed),52.0
07-04-00,T.PURAM,Mustard Oil (Packed),70.0
07-04-00,HYDERABAD,Mustard Oil (Packed),52.0
10-04-00,T.PURAM,Mustard Oil (Packed),70.0
10-04-00,HYDERABAD,Mustard Oil (Packed),52.0
11-04-00,T.PURAM,Mustard Oil (Packed),72.0
11-04-00,HYDERABAD,Mustard Oil (Packed),52.0
13-04-00,T.PURAM,Mustard Oil (Packed),73.0
13-04-00,HYDERABAD,Mustard Oil (Packed),52.0
17-04-00,HYDERABAD,Mustard Oil (Packed),52.0
18-04-00,HYDERABAD,Mustard Oil (Packed),48.0
19-04-00,HYDERABAD,Mustard Oil (Packed),48.0
20-04-00,HYDERABAD,Mustard Oil (Packed),48.0
24-04-00,T.PURAM,Mustard Oil (Packed),71.7
24-04-00,HYDERABAD,Mustard Oil (Packed),48.0
25-04-00,T.PURAM,Mustard Oil (Packed),71.7
25-04-00,HYDERABAD,Mustard Oil (Packed),47.0
26-04-00,T.PURAM,Mustard Oil (Packed),71.7
26-04-00,HYDERABAD,Mustard Oil (Packed),47.0
27-04-00,T.PURAM,Mustard Oil (Packed),71.7
27-04-00,HYDERABAD,Mustard Oil (Packed),47.0
28-04-00,T.PURAM,Mustard Oil (Packed),71.7
28-04-00,HYDERABAD,Mustard Oil (Packed),47.0
01-05-00,T.PURAM,Mustard Oil (Packed),71.7
01-05-00,HYDERABAD,Mustard Oil (Packed),47.0
02-05-00,T.PURAM,Mustard Oil (Packed),71.7
02-05-00,HYDERABAD,Mustard Oil (Packed),47.0
03-05-00,T.PURAM,Mustard Oil (Packed),71.7
03-05-00,HYDERABAD,Mustard Oil (Packed),47.0
04-05-00,T.PURAM,Mustard Oil (Packed),71.7
04-05-00,HYDERABAD,Mustard Oil (Packed),47.0
05-05-00,T.PURAM,Mustard Oil (Packed),71.7
05-05-00,HYDERABAD,Mustard Oil (Packed),47.0
08-05-00,T.PURAM,Mustard Oil (Packed),71.7
08-05-00,HYDERABAD,Mustard Oil (Packed),47.0
09-05-00,T.PURAM,Mustard Oil (Packed),71.7
09-05-00,HYDERABAD,Mustard Oil (Packed),47.0
10-05-00,T.PURAM,Mustard Oil (Packed),71.7
10-05-00,HYDERABAD,Mustard Oil (Packed),47.0
11-05-00,T.PURAM,Mustard Oil (Packed),71.7
11-05-00,HYDERABAD,Mustard Oil (Packed),47.0
12-05-00,T.PURAM,Mustard Oil (Packed),71.7
12-05-00,HYDERABAD,Mustard Oil (Packed),47.0
15-05-00,T.PURAM,Mustard Oil (Packed),71.7
15-05-00,HYDERABAD,Mustard Oil (Packed),48.0
16-05-00,T.PURAM,Mustard Oil (Packed),71.7
16-05-00,HYDERABAD,Mustard Oil (Packed),48.0
17-05-00,T.PURAM,Mustard Oil (Packed),71.7
17-05-00,HYDERABAD,Mustard Oil (Packed),48.0
19-05-00,T.PURAM,Mustard Oil (Packed),71.7
19-05-00,HYDERABAD,Mustard Oil (Packed),48.0
22-05-00,T.PURAM,Mustard Oil (Packed),71.7
22-05-00,HYDERABAD,Mustard Oil (Packed),48.0
23-05-00,T.PURAM,Mustard Oil (Packed),71.7
23-05-00,HYDERABAD,Mustard Oil (Packed),48.0
24-05-00,T.PURAM,Mustard Oil (Packed),71.7
24-05-00,HYDERABAD,Mustard Oil (Packed),48.0
25-05-00,T.PURAM,Mustard Oil (Packed),71.7
25-05-00,HYDERABAD,Mustard Oil (Packed),48.0
26-05-00,T.PURAM,Mustard Oil (Packed),71.7
26-05-00,HYDERABAD,Mustard Oil (Packed),48.0
29-05-00,T.PURAM,Mustard Oil (Packed),71.7
29-05-00,HYDERABAD,Mustard Oil (Packed),48.0
30-05-00,T.PURAM,Mustard Oil (Packed),71.7
30-05-00,HYDERABAD,Mustard Oil (Packed),48.0
31-05-00,T.PURAM,Mustard Oil (Packed),71.7
31-05-00,HYDERABAD,Mustard Oil (Packed),48.0
01-06-00,T.PURAM,Mustard Oil (Packed),71.7
01-06-00,HYDERABAD,Mustard Oil (Packed),48.0
02-06-00,T.PURAM,Mustard Oil (Packed),71.7
02-06-00,HYDERABAD,Mustard Oil (Packed),48.0
05-06-00,T.PURAM,Mustard Oil (Packed),71.7
05-06-00,HYDERABAD,Mustard Oil (Packed),48.0
06-06-00,T.PURAM,Mustard Oil (Packed),71.7
06-06-00,HYDERABAD,Mustard Oil (Packed),48.0
07-06-00,T.PURAM,Mustard Oil (Packed),71.7
07-06-00,HYDERABAD,Mustard Oil (Packed),48.0
