Date,Centre_Name,Commodity_Name,Price
03-01-00,BENGALURU,Sugar,15.0
03-01-00,T.PURAM,Sugar,15.2
03-01-00,CHENNAI,Sugar,14.5
03-01-00,HYDERABAD,Sugar,15.0
04-01-00,BENGALURU,Sugar,15.0
04-01-00,T.PURAM,Sugar,15.2
04-01-00,CHENNAI,Sugar,14.5
04-01-00,HYDERABAD,Sugar,15.0
05-01-00,BENGALURU,Sugar,15.0
05-01-00,T.PURAM,Sugar,15.2
05-01-00,CHENNAI,Sugar,14.5
05-01-00,HYDERABAD,Sugar,15.0
06-01-00,BENGALURU,Sugar,15.0
06-01-00,T.PURAM,Sugar,15.2
06-01-00,CHENNAI,Sugar,15.0
06-01-00,HYDERABAD,Sugar,15.0
07-01-00,BENGALURU,Sugar,15.0
07-01-00,T.PURAM,Sugar,15.2
07-01-00,CHENNAI,Sugar,15.0
07-01-00,HYDERABAD,Sugar,15.0
10-01-00,BENGALURU,Sugar,15.0
10-01-00,T.PURAM,Sugar,15.2
10-01-00,CHENNAI,Sugar,15.0
10-01-00,HYDERABAD,Sugar,15.0
11-01-00,BENGALURU,Sugar,15.0
11-01-00,T.PURAM,Sugar,15.2
11-01-00,CHENNAI,Sugar,15.0
11-01-00,HYDERABAD,Sugar,15.0
12-01-00,BENGALURU,Sugar,15.0
12-01-00,T.PURAM,Sugar,15.2
12-01-00,CHENNAI,Sugar,15.0
12-01-00,HYDERABAD,Sugar,15.0
13-01-00,BENGALURU,Sugar,15.0
13-01-00,T.PURAM,Sugar,15.2
13-01-00,CHENNAI,Sugar,15.0
13-01-00,HYDERABAD,Sugar,15.0
14-01-00,BENGALURU,Sugar,15.0
14-01-00,T.PURAM,Sugar,15.2
14-01-00,CHENNAI,Sugar,15.0
14-01-00,HYDERABAD,Sugar,15.0
17-01-00,BENGALURU,Sugar,15.0
17-01-00,T.PURAM,Sugar,15.2
17-01-00,CHENNAI,Sugar,15.0
17-01-00,HYDERABAD,Sugar,15.0
18-01-00,BENGALURU,Sugar,15.0
18-01-00,T.PURAM,Sugar,15.2
18-01-00,CHENNAI,Sugar,15.0
18-01-00,HYDERABAD,Sugar,15.0
19-01-00,BENGALURU,Sugar,15.0
19-01-00,T.PURAM,Sugar,15.2
19-01-00,CHENNAI,Sugar,15.0
19-01-00,HYDERABAD,Sugar,14.5
20-01-00,BENGALURU,Sugar,15.0
20-01-00,T.PURAM,Sugar,15.2
20-01-00,CHENNAI,Sugar,15.0
20-01-00,HYDERABAD,Sugar,14.5
21-01-00,BENGALURU,Sugar,15.0
21-01-00,T.PURAM,Sugar,15.2
21-01-00,CHENNAI,Sugar,15.0
21-01-00,HYDERABAD,Sugar,14.5
24-01-00,BENGALURU,Sugar,15.0
24-01-00,T.PURAM,Sugar,15.2
24-01-00,CHENNAI,Sugar,15.0
24-01-00,HYDERABAD,Sugar,14.5
25-01-00,BENGALURU,Sugar,15.0
25-01-00,T.PURAM,Sugar,15.2
25-01-00,CHENNAI,Sugar,15.0
25-01-00,HYDERABAD,Sugar,14.5
27-01-00,BENGALURU,Sugar,15.0
27-01-00,T.PURAM,Sugar,15.2
27-01-00,CHENNAI,Sugar,15.0
27-01-00,HYDERABAD,Sugar,14.25
28-01-00,BENGALURU,Sugar,15.0
28-01-00,T.PURAM,Sugar,15.2
28-01-00,CHENNAI,Sugar,15.0
28-01-00,HYDERABAD,Sugar,14.25
31-01-00,BENGALURU,Sugar,14.5
31-01-00,T.PURAM,Sugar,15.2
31-01-00,CHENNAI,Sugar,14.75
31-01-00,HYDERABAD,Sugar,14.0
01-02-00,BENGALURU,Sugar,14.5
01-02-00,T.PURAM,Sugar,15.2
01-02-00,CHENNAI,Sugar,14.75
01-02-00,HYDERABAD,Sugar,14.0
02-02-00,BENGALURU,Sugar,15.0
02-02-00,T.PURAM,Sugar,15.2
02-02-00,CHENNAI,Sugar,14.75
02-02-00,HYDERABAD,Sugar,14.5
03-02-00,BENGALURU,Sugar,14.5
03-02-00,T.PURAM,Sugar,15.2
03-02-00,CHENNAI,Sugar,14.75
03-02-00,HYDERABAD,Sugar,14.5
04-02-00,BENGALURU,Sugar,14.5
04-02-00,T.PURAM,Sugar,15.2
04-02-00,CHENNAI,Sugar,14.75
04-02-00,HYDERABAD,Sugar,14.5
07-02-00,BENGALURU,Sugar,14.5
07-02-00,T.PURAM,Sugar,15.2
07-02-00,CHENNAI,Sugar,14.75
07-02-00,HYDERABAD,Sugar,14.5
08-02-00,BENGALURU,Sugar,14.5
08-02-00,T.PURAM,Sugar,15.2
08-02-00,CHENNAI,Sugar,14.75
08-02-00,HYDERABAD,Sugar,14.5
09-02-00,BENGALURU,Sugar,14.5
09-02-00,T.PURAM,Sugar,15.3
09-02-00,CHENNAI,Sugar,14.75
09-02-00,HYDERABAD,Sugar,14.5
10-02-00,BENGALURU,Sugar,14.0
10-02-00,T.PURAM,Sugar,15.3
10-02-00,CHENNAI,Sugar,14.75
10-02-00,HYDERABAD,Sugar,14.0
11-02-00,BENGALURU,Sugar,14.0
11-02-00,T.PURAM,Sugar,15.3
11-02-00,CHENNAI,Sugar,14.75
11-02-00,HYDERABAD,Sugar,14.0
14-02-00,BENGALURU,Sugar,14.0
14-02-00,T.PURAM,Sugar,15.3
14-02-00,CHENNAI,Sugar,14.75
14-02-00,HYDERABAD,Sugar,14.5
15-02-00,BENGALURU,Sugar,14.0
15-02-00,T.PURAM,Sugar,15.3
15-02-00,CHENNAI,Sugar,14.75
15-02-00,HYDERABAD,Sugar,14.0
16-02-00,BENGALURU,Sugar,14.0
16-02-00,T.PURAM,Sugar,15.3
16-02-00,CHENNAI,Sugar,14.75
16-02-00,HYDERABAD,Sugar,14.0
17-02-00,BENGALURU,Sugar,14.0
17-02-00,T.PURAM,Sugar,14.8
17-02-00,CHENNAI,Sugar,14.75
17-02-00,HYDERABAD,Sugar,14.0
18-02-00,BENGALURU,Sugar,14.0
18-02-00,T.PURAM,Sugar,14.8
18-02-00,CHENNAI,Sugar,14.75
18-02-00,HYDERABAD,Sugar,14.0
21-02-00,BENGALURU,Sugar,14.0
21-02-00,T.PURAM,Sugar,14.8
21-02-00,CHENNAI,Sugar,14.75
21-02-00,HYDERABAD,Sugar,14.0
22-02-00,BENGALURU,Sugar,14.0
22-02-00,T.PURAM,Sugar,14.8
22-02-00,CHENNAI,Sugar,14.75
22-02-00,HYDERABAD,Sugar,14.0
23-02-00,BENGALURU,Sugar,14.0
23-02-00,T.PURAM,Sugar,14.8
23-02-00,CHENNAI,Sugar,14.75
23-02-00,HYDERABAD,Sugar,14.0
24-02-00,BENGALURU,Sugar,14.0
