Date,Centre_Name,Commodity_Name,Price
25-11-97,DELHI,Brinjal,NA
25-11-97,SHIMLA,Brinjal,NA
25-11-97,LUCKNOW,Brinjal,NA
25-11-97,AHMEDABAD,Brinjal,NA
25-11-97,BHOPAL,Brinjal,NA
25-11-97,MUMBAI,Brinjal,NA
25-11-97,JAIPUR,Brinjal,NA
25-11-97,PATNA,Brinjal,NA
25-11-97,BHUBANESHWAR,Brinjal,NA
25-11-97,KOLKATA,Brinjal,NA
25-11-97,GUWAHATI,Brinjal,NA
25-11-97,SHILLONG,Brinjal,NA
25-11-97,AIZWAL,Brinjal,NA
25-11-97,AGARTALA,Brinjal,NA
25-11-97,BENGALURU,Brinjal,NA
25-11-97,T.PURAM,Brinjal,NA
25-11-97,CHENNAI,Brinjal,NA
25-11-97,HYDERABAD,Brinjal,NA
26-11-97,DELHI,Brinjal,NA
26-11-97,SHIMLA,Brinjal,NA
26-11-97,LUCKNOW,Brinjal,NA
26-11-97,AHMEDABAD,Brinjal,NA
26-11-97,BHOPAL,Brinjal,NA
26-11-97,MUMBAI,Brinjal,NA
26-11-97,JAIPUR,Brinjal,NA
26-11-97,PATNA,Brinjal,NA
26-11-97,BHUBANESHWAR,Brinjal,NA
26-11-97,KOLKATA,Brinjal,NA
26-11-97,GUWAHATI,Brinjal,NA
26-11-97,SHILLONG,Brinjal,NA
26-11-97,AIZWAL,Brinjal,NA
26-11-97,AGARTALA,Brinjal,NA
26-11-97,BENGALURU,Brinjal,NA
26-11-97,T.PURAM,Brinjal,NA
26-11-97,CHENNAI,Brinjal,NA
26-11-97,HYDERABAD,Brinjal,NA
27-11-97,DELHI,Brinjal,NA
27-11-97,SHIMLA,Brinjal,NA
27-11-97,LUCKNOW,Brinjal,NA
27-11-97,AHMEDABAD,Brinjal,NA
27-11-97,BHOPAL,Brinjal,NA
27-11-97,MUMBAI,Brinjal,NA
27-11-97,JAIPUR,Brinjal,NA
27-11-97,PATNA,Brinjal,NA
27-11-97,BHUBANESHWAR,Brinjal,NA
27-11-97,KOLKATA,Brinjal,NA
27-11-97,GUWAHATI,Brinjal,NA
27-11-97,SHILLONG,Brinjal,NA
27-11-97,AIZWAL,Brinjal,NA
27-11-97,AGARTALA,Brinjal,NA
27-11-97,BENGALURU,Brinjal,NA
27-11-97,T.PURAM,Brinjal,NA
27-11-97,CHENNAI,Brinjal,NA
27-11-97,HYDERABAD,Brinjal,NA
28-11-97,DELHI,Brinjal,NA
28-11-97,SHIMLA,Brinjal,NA
28-11-97,LUCKNOW,Brinjal,NA
28-11-97,AHMEDABAD,Brinjal,NA
28-11-97,BHOPAL,Brinjal,NA
28-11-97,MUMBAI,Brinjal,NA
28-11-97,JAIPUR,Brinjal,NA
28-11-97,PATNA,Brinjal,NA
28-11-97,BHUBANESHWAR,Brinjal,NA
28-11-97,KOLKATA,Brinjal,NA
28-11-97,GUWAHATI,Brinjal,NA
28-11-97,SHILLONG,Brinjal,NA
28-11-97,AIZWAL,Brinjal,NA
28-11-97,AGARTALA,Brinjal,NA
28-11-97,BENGALURU,Brinjal,NA
28-11-97,T.PURAM,Brinjal,NA
28-11-97,CHENNAI,Brinjal,NA
28-11-97,HYDERABAD,Brinjal,NA
01-12-97,DELHI,Brinjal,NA
01-12-97,SHIMLA,Brinjal,NA
01-12-97,LUCKNOW,Brinjal,NA
01-12-97,AHMEDABAD,Brinjal,NA
01-12-97,BHOPAL,Brinjal,NA
01-12-97,MUMBAI,Brinjal,NA
01-12-97,JAIPUR,Brinjal,NA
01-12-97,PATNA,Brinjal,NA
01-12-97,BHUBANESHWAR,Brinjal,NA
01-12-97,KOLKATA,Brinjal,NA
