Date,Centre_Name,Commodity_Name,Price
25-11-97,DELHI,Gram Dal,20
25-11-97,SHIMLA,Gram Dal,20
25-11-97,LUCKNOW,Gram Dal,17
25-11-97,AHMEDABAD,Gram Dal,19.5
25-11-97,BHOPAL,Gram Dal,18
25-11-97,MUMBAI,Gram Dal,22
25-11-97,JAIPUR,Gram Dal,18.5
25-11-97,PATNA,Gram Dal,NA
25-11-97,BHUBANESHWAR,Gram Dal,20
25-11-97,KOLKATA,Gram Dal,21
25-11-97,GUWAHATI,Gram Dal,19.5
25-11-97,SHILLONG,Gram Dal,20
25-11-97,AIZWAL,Gram Dal,NA
25-11-97,AGARTALA,Gram Dal,21
25-11-97,BENGALURU,Gram Dal,20
25-11-97,T.PURAM,Gram Dal,NA
25-11-97,CHENNAI,Gram Dal,20
25-11-97,HYDERABAD,Gram Dal,19.5
26-11-97,DELHI,Gram Dal,20
26-11-97,SHIMLA,Gram Dal,20
26-11-97,LUCKNOW,Gram Dal,17
26-11-97,AHMEDABAD,Gram Dal,20
26-11-97,BHOPAL,Gram Dal,18
26-11-97,MUMBAI,Gram Dal,22
26-11-97,JAIPUR,Gram Dal,18.5
26-11-97,PATNA,Gram Dal,NA
26-11-97,BHUBANESHWAR,Gram Dal,20
26-11-97,KOLKATA,Gram Dal,21
26-11-97,GUWAHATI,Gram Dal,19.5
26-11-97,SHILLONG,Gram Dal,20
26-11-97,AIZWAL,Gram Dal,NA
26-11-97,AGARTALA,Gram Dal,21
26-11-97,BENGALURU,Gram Dal,20
26-11-97,T.PURAM,Gram Dal,NA
26-11-97,CHENNAI,Gram Dal,NA
26-11-97,HYDERABAD,Gram Dal,20
27-11-97,DELHI,Gram Dal,20
27-11-97,SHIMLA,Gram Dal,20
27-11-97,LUCKNOW,Gram Dal,17
27-11-97,AHMEDABAD,Gram Dal,20
27-11-97,BHOPAL,Gram Dal,18
27-11-97,MUMBAI,Gram Dal,20
27-11-97,JAIPUR,Gram Dal,18.5
27-11-97,PATNA,Gram Dal,NA
27-11-97,BHUBANESHWAR,Gram Dal,20
27-11-97,KOLKATA,Gram Dal,21
27-11-97,GUWAHATI,Gram Dal,19.5
27-11-97,SHILLONG,Gram Dal,20
27-11-97,AIZWAL,Gram Dal,NA
27-11-97,AGARTALA,Gram Dal,21
27-11-97,BENGALURU,Gram Dal,20
27-11-97,T.PURAM,Gram Dal,NA
27-11-97,CHENNAI,Gram Dal,20
27-11-97,HYDERABAD,Gram Dal,20
28-11-97,DELHI,Gram Dal,20
28-11-97,SHIMLA,Gram Dal,20
28-11-97,LUCKNOW,Gram Dal,17
28-11-97,AHMEDABAD,Gram Dal,20
28-11-97,BHOPAL,Gram Dal,18
28-11-97,MUMBAI,Gram Dal,20
28-11-97,JAIPUR,Gram Dal,18.5
28-11-97,PATNA,Gram Dal,NA
28-11-97,BHUBANESHWAR,Gram Dal,20
28-11-97,KOLKATA,Gram Dal,21
28-11-97,GUWAHATI,Gram Dal,19.5
28-11-97,SHILLONG,Gram Dal,20
28-11-97,AIZWAL,Gram Dal,NA
28-11-97,AGARTALA,Gram Dal,18
28-11-97,BENGALURU,Gram Dal,20
28-11-97,T.PURAM,Gram Dal,NA
28-11-97,CHENNAI,Gram Dal,20
28-11-97,HYDERABAD,Gram Dal,20
01-12-97,DELHI,Gram Dal,20
01-12-97,SHIMLA,Gram Dal,20
01-12-97,LUCKNOW,Gram Dal,17
01-12-97,AHMEDABAD,Gram Dal,20
01-12-97,BHOPAL,Gram Dal,18
01-12-97,MUMBAI,Gram Dal,21
01-12-97,JAIPUR,Gram Dal,18.5
01-12-97,PATNA,Gram Dal,NA
01-12-97,BHUBANESHWAR,Gram Dal,20
01-12-97,KOLKATA,Gram Dal,21
01-12-97,GUWAHATI,Gram Dal,19.5
01-12-97,SHILLONG,Gram Dal,20
01-12-97,AIZWAL,Gram Dal,NA
01-12-97,AGARTALA,Gram Dal,18
01-12-97,BENGALURU,Gram Dal,20
01-12-97,T.PURAM,Gram Dal,NA
01-12-97,CHENNAI,Gram Dal,20
01-12-97,HYDERABAD,Gram Dal,20
02-12-97,DELHI,Gram Dal,20
02-12-97,SHIMLA,Gram Dal,20
02-12-97,LUCKNOW,Gram Dal,17
02-12-97,AHMEDABAD,Gram Dal,19
02-12-97,BHOPAL,Gram Dal,19
02-12-97,MUMBAI,Gram Dal,22
02-12-97,JAIPUR,Gram Dal,18.5
02-12-97,PATNA,Gram Dal,18.5
02-12-97,BHUBANESHWAR,Gram Dal,20
02-12-97,KOLKATA,Gram Dal,21
02-12-97,GUWAHATI,Gram Dal,19.5
02-12-97,SHILLONG,Gram Dal,21
02-12-97,AIZWAL,Gram Dal,NA
02-12-97,AGARTALA,Gram Dal,18
02-12-97,BENGALURU,Gram Dal,20
02-12-97,T.PURAM,Gram Dal,NA
02-12-97,CHENNAI,Gram Dal,20
02-12-97,HYDERABAD,Gram Dal,20
03-12-97,DELHI,Gram Dal,20
03-12-97,SHIMLA,Gram Dal,20
03-12-97,LUCKNOW,Gram Dal,17
03-12-97,AHMEDABAD,Gram Dal,19
03-12-97,BHOPAL,Gram Dal,19
03-12-97,MUMBAI,Gram Dal,22
03-12-97,JAIPUR,Gram Dal,18.5
03-12-97,PATNA,Gram Dal,18.5
03-12-97,BHUBANESHWAR,Gram Dal,20
03-12-97,KOLKATA,Gram Dal,21
03-12-97,GUWAHATI,Gram Dal,19.5
03-12-97,SHILLONG,Gram Dal,21
03-12-97,AIZWAL,Gram Dal,NA
03-12-97,AGARTALA,Gram Dal,18
03-12-97,BENGALURU,Gram Dal,20
03-12-97,T.PURAM,Gram Dal,NA
03-12-97,CHENNAI,Gram Dal,20
03-12-97,HYDERABAD,Gram Dal,20
04-12-97,DELHI,Gram Dal,20
04-12-97,SHIMLA,Gram Dal,20
04-12-97,LUCKNOW,Gram Dal,17
04-12-97,AHMEDABAD,Gram Dal,19
04-12-97,BHOPAL,Gram Dal,19
04-12-97,MUMBAI,Gram Dal,22
04-12-97,JAIPUR,Gram Dal,18.5
04-12-97,PATNA,Gram Dal,19
04-12-97,BHUBANESHWAR,Gram Dal,21
04-12-97,KOLKATA,Gram Dal,NA
04-12-97,GUWAHATI,Gram Dal,19.5
04-12-97,SHILLONG,Gram Dal,21
04-12-97,AIZWAL,Gram Dal,NA
04-12-97,AGARTALA,Gram Dal,18
04-12-97,BENGALURU,Gram Dal,20
04-12-97,T.PURAM,Gram Dal,NA
04-12-97,CHENNAI,Gram Dal,20
04-12-97,HYDERABAD,Gram Dal,20
05-12-97,DELHI,Gram Dal,20
05-12-97,SHIMLA,Gram Dal,19.9
05-12-97,LUCKNOW,Gram Dal,17
05-12-97,AHMEDABAD,Gram Dal,19
05-12-97,BHOPAL,Gram Dal,19
05-12-97,MUMBAI,Gram Dal,22
05-12-97,JAIPUR,Gram Dal,18.5
05-12-97,PATNA,Gram Dal,19
05-12-97,BHUBANESHWAR,Gram Dal,21
05-12-97,KOLKATA,Gram Dal,21
05-12-97,GUWAHATI,Gram Dal,19.5
05-12-97,SHILLONG,Gram Dal,21
05-12-97,AIZWAL,Gram Dal,NA
05-12-97,AGARTALA,Gram Dal,18
05-12-97,BENGALURU,Gram Dal,NA
05-12-97,T.PURAM,Gram Dal,NA
05-12-97,CHENNAI,Gram Dal,NA
05-12-97,HYDERABAD,Gram Dal,22
08-12-97,DELHI,Gram Dal,20
08-12-97,SHIMLA,Gram Dal,19.9
08-12-97,LUCKNOW,Gram Dal,17
08-12-97,AHMEDABAD,Gram Dal,19
08-12-97,BHOPAL,Gram Dal,20
08-12-97,MUMBAI,Gram Dal,22
08-12-97,JAIPUR,Gram Dal,18.5
08-12-97,PATNA,Gram Dal,17
08-12-97,BHUBANESHWAR,Gram Dal,21
08-12-97,KOLKATA,Gram Dal,21
08-12-97,GUWAHATI,Gram Dal,19.5
08-12-97,SHILLONG,Gram Dal,21
08-12-97,AIZWAL,Gram Dal,NA
08-12-97,AGARTALA,Gram Dal,18
08-12-97,BENGALURU,Gram Dal,NA
08-12-97,T.PURAM,Gram Dal,NA
08-12-97,CHENNAI,Gram Dal,20
08-12-97,HYDERABAD,Gram Dal,22
09-12-97,DELHI,Gram Dal,20
09-12-97,SHIMLA,Gram Dal,19.9
09-12-97,LUCKNOW,Gram Dal,17
09-12-97,AHMEDABAD,Gram Dal,18.5
09-12-97,BHOPAL,Gram Dal,20
09-12-97,MUMBAI,Gram Dal,22
09-12-97,JAIPUR,Gram Dal,18.5
09-12-97,PATNA,Gram Dal,17
09-12-97,BHUBANESHWAR,Gram Dal,22
09-12-97,KOLKATA,Gram Dal,21
09-12-97,GUWAHATI,Gram Dal,19.5
09-12-97,SHILLONG,Gram Dal,20
09-12-97,AIZWAL,Gram Dal,NA
09-12-97,AGARTALA,Gram Dal,18
09-12-97,BENGALURU,Gram Dal,NA
09-12-97,T.PURAM,Gram Dal,NA
09-12-97,CHENNAI,Gram Dal,20
09-12-97,HYDERABAD,Gram Dal,22
10-12-97,DELHI,Gram Dal,20
10-12-97,SHIMLA,Gram Dal,20.5
10-12-97,LUCKNOW,Gram Dal,17
10-12-97,AHMEDABAD,Gram Dal,18.5
10-12-97,BHOPAL,Gram Dal,18.5
10-12-97,MUMBAI,Gram Dal,22
10-12-97,JAIPUR,Gram Dal,20
10-12-97,PATNA,Gram Dal,17
10-12-97,BHUBANESHWAR,Gram Dal,22
10-12-97,KOLKATA,Gram Dal,21
10-12-97,GUWAHATI,Gram Dal,19.5
10-12-97,SHILLONG,Gram Dal,20
10-12-97,AIZWAL,Gram Dal,NA
10-12-97,AGARTALA,Gram Dal,18
10-12-97,BENGALURU,Gram Dal,NA
10-12-97,T.PURAM,Gram Dal,NA
10-12-97,CHENNAI,Gram Dal,20
10-12-97,HYDERABAD,Gram Dal,22
11-12-97,DELHI,Gram Dal,20
11-12-97,SHIMLA,Gram Dal,20.5
11-12-97,LUCKNOW,Gram Dal,17
11-12-97,AHMEDABAD,Gram Dal,18.5
11-12-97,BHOPAL,Gram Dal,18.5
