Date,Centre_Name,Commodity_Name,Price
03-01-00,DELHI,Groundnut Oil (Packed),68
03-01-00,SHIMLA,Groundnut Oil (Packed),67.3
03-01-00,LUCKNOW,Groundnut Oil (Packed),56
03-01-00,AHMEDABAD,Groundnut Oil (Packed),43
03-01-00,BHOPAL,Groundnut Oil (Packed),43
03-01-00,MUMBAI,Groundnut Oil (Packed),40
03-01-00,JAIPUR,Groundnut Oil (Packed),NA
03-01-00,PATNA,Groundnut Oil (Packed),NA
03-01-00,BHUBANESHWAR,Groundnut Oil (Packed),56
03-01-00,KOLKATA,Groundnut Oil (Packed),72
03-01-00,GUWAHATI,Groundnut Oil (Packed),NA
03-01-00,SHILLONG,Groundnut Oil (Packed),NA
03-01-00,AIZWAL,Groundnut Oil (Packed),NA
03-01-00,AGARTALA,Groundnut Oil (Packed),NA
03-01-00,BENGALURU,Groundnut Oil (Packed),38
03-01-00,T.PURAM,Groundnut Oil (Packed),48
03-01-00,CHENNAI,Groundnut Oil (Packed),38
03-01-00,HYDERABAD,Groundnut Oil (Packed),40
04-01-00,DELHI,Groundnut Oil (Packed),68
04-01-00,SHIMLA,Groundnut Oil (Packed),67.3
04-01-00,LUCKNOW,Groundnut Oil (Packed),56
04-01-00,AHMEDABAD,Groundnut Oil (Packed),43
04-01-00,BHOPAL,Groundnut Oil (Packed),43
04-01-00,MUMBAI,Groundnut Oil (Packed),40
04-01-00,JAIPUR,Groundnut Oil (Packed),NA
04-01-00,PATNA,Groundnut Oil (Packed),NA
04-01-00,BHUBANESHWAR,Groundnut Oil (Packed),56
04-01-00,KOLKATA,Groundnut Oil (Packed),74
04-01-00,GUWAHATI,Groundnut Oil (Packed),NA
04-01-00,SHILLONG,Groundnut Oil (Packed),NA
04-01-00,AIZWAL,Groundnut Oil (Packed),NA
04-01-00,AGARTALA,Groundnut Oil (Packed),NA
04-01-00,BENGALURU,Groundnut Oil (Packed),38
04-01-00,T.PURAM,Groundnut Oil (Packed),48
04-01-00,CHENNAI,Groundnut Oil (Packed),38
04-01-00,HYDERABAD,Groundnut Oil (Packed),40
05-01-00,DELHI,Groundnut Oil (Packed),68
05-01-00,SHIMLA,Groundnut Oil (Packed),67.3
05-01-00,LUCKNOW,Groundnut Oil (Packed),56
05-01-00,AHMEDABAD,Groundnut Oil (Packed),43
05-01-00,BHOPAL,Groundnut Oil (Packed),43
05-01-00,MUMBAI,Groundnut Oil (Packed),40
05-01-00,JAIPUR,Groundnut Oil (Packed),NA
05-01-00,PATNA,Groundnut Oil (Packed),NA
05-01-00,BHUBANESHWAR,Groundnut Oil (Packed),56
05-01-00,KOLKATA,Groundnut Oil (Packed),74
05-01-00,GUWAHATI,Groundnut Oil (Packed),NA
05-01-00,SHILLONG,Groundnut Oil (Packed),NA
05-01-00,AIZWAL,Groundnut Oil (Packed),NA
05-01-00,AGARTALA,Groundnut Oil (Packed),NA
05-01-00,BENGALURU,Groundnut Oil (Packed),38
05-01-00,T.PURAM,Groundnut Oil (Packed),48
05-01-00,CHENNAI,Groundnut Oil (Packed),38
05-01-00,HYDERABAD,Groundnut Oil (Packed),40
06-01-00,DELHI,Groundnut Oil (Packed),69
06-01-00,SHIMLA,Groundnut Oil (Packed),67.3
06-01-00,LUCKNOW,Groundnut Oil (Packed),NA
06-01-00,AHMEDABAD,Groundnut Oil (Packed),43
06-01-00,BHOPAL,Groundnut Oil (Packed),43
06-01-00,MUMBAI,Groundnut Oil (Packed),40
06-01-00,JAIPUR,Groundnut Oil (Packed),NA
06-01-00,PATNA,Groundnut Oil (Packed),NA
06-01-00,BHUBANESHWAR,Groundnut Oil (Packed),56
06-01-00,KOLKATA,Groundnut Oil (Packed),73
06-01-00,GUWAHATI,Groundnut Oil (Packed),NA
06-01-00,SHILLONG,Groundnut Oil (Packed),NA
06-01-00,AIZWAL,Groundnut Oil (Packed),NA
06-01-00,AGARTALA,Groundnut Oil (Packed),NA
06-01-00,BENGALURU,Groundnut Oil (Packed),38
06-01-00,T.PURAM,Groundnut Oil (Packed),48
06-01-00,CHENNAI,Groundnut Oil (Packed),40
06-01-00,HYDERABAD,Groundnut Oil (Packed),40
07-01-00,DELHI,Groundnut Oil (Packed),69
07-01-00,SHIMLA,Groundnut Oil (Packed),67.3
07-01-00,LUCKNOW,Groundnut Oil (Packed),56
07-01-00,AHMEDABAD,Groundnut Oil (Packed),43
07-01-00,BHOPAL,Groundnut Oil (Packed),43
07-01-00,MUMBAI,Groundnut Oil (Packed),40
07-01-00,JAIPUR,Groundnut Oil (Packed),NA
07-01-00,PATNA,Groundnut Oil (Packed),NA
07-01-00,BHUBANESHWAR,Groundnut Oil (Packed),56
07-01-00,KOLKATA,Groundnut Oil (Packed),73
07-01-00,GUWAHATI,Groundnut Oil (Packed),NA
07-01-00,SHILLONG,Groundnut Oil (Packed),NA
07-01-00,AIZWAL,Groundnut Oil (Packed),NA
07-01-00,AGARTALA,Groundnut Oil (Packed),NA
07-01-00,BENGALURU,Groundnut Oil (Packed),38
07-01-00,T.PURAM,Groundnut Oil (Packed),48
07-01-00,CHENNAI,Groundnut Oil (Packed),40
07-01-00,HYDERABAD,Groundnut Oil (Packed),40
10-01-00,DELHI,Groundnut Oil (Packed),69
10-01-00,SHIMLA,Groundnut Oil (Packed),67.3
10-01-00,LUCKNOW,Groundnut Oil (Packed),56
10-01-00,AHMEDABAD,Groundnut Oil (Packed),43
10-01-00,BHOPAL,Groundnut Oil (Packed),43
10-01-00,MUMBAI,Groundnut Oil (Packed),40
10-01-00,JAIPUR,Groundnut Oil (Packed),NA
10-01-00,PATNA,Groundnut Oil (Packed),NA
10-01-00,BHUBANESHWAR,Groundnut Oil (Packed),56
10-01-00,KOLKATA,Groundnut Oil (Packed),73
10-01-00,GUWAHATI,Groundnut Oil (Packed),NA
10-01-00,SHILLONG,Groundnut Oil (Packed),NA
10-01-00,AIZWAL,Groundnut Oil (Packed),NA
10-01-00,AGARTALA,Groundnut Oil (Packed),NA
10-01-00,BENGALURU,Groundnut Oil (Packed),38
10-01-00,T.PURAM,Groundnut Oil (Packed),48
10-01-00,CHENNAI,Groundnut Oil (Packed),39
10-01-00,HYDERABAD,Groundnut Oil (Packed),40
11-01-00,DELHI,Groundnut Oil (Packed),69
11-01-00,SHIMLA,Groundnut Oil (Packed),67.3
11-01-00,LUCKNOW,Groundnut Oil (Packed),56
11-01-00,AHMEDABAD,Groundnut Oil (Packed),43
11-01-00,BHOPAL,Groundnut Oil (Packed),44
11-01-00,MUMBAI,Groundnut Oil (Packed),40
11-01-00,JAIPUR,Groundnut Oil (Packed),NA
11-01-00,PATNA,Groundnut Oil (Packed),NA
11-01-00,BHUBANESHWAR,Groundnut Oil (Packed),56
11-01-00,KOLKATA,Groundnut Oil (Packed),73
11-01-00,GUWAHATI,Groundnut Oil (Packed),NA
11-01-00,SHILLONG,Groundnut Oil (Packed),NA
11-01-00,AIZWAL,Groundnut Oil (Packed),NA
11-01-00,AGARTALA,Groundnut Oil (Packed),NA
11-01-00,BENGALURU,Groundnut Oil (Packed),39
11-01-00,T.PURAM,Groundnut Oil (Packed),48
11-01-00,CHENNAI,Groundnut Oil (Packed),39
11-01-00,HYDERABAD,Groundnut Oil (Packed),40
12-01-00,DELHI,Groundnut Oil (Packed),69
12-01-00,SHIMLA,Groundnut Oil (Packed),67.3
12-01-00,LUCKNOW,Groundnut Oil (Packed),56
12-01-00,AHMEDABAD,Groundnut Oil (Packed),43
12-01-00,BHOPAL,Groundnut Oil (Packed),44
12-01-00,MUMBAI,Groundnut Oil (Packed),40
12-01-00,JAIPUR,Groundnut Oil (Packed),NA
12-01-00,PATNA,Groundnut Oil (Packed),NA
12-01-00,BHUBANESHWAR,Groundnut Oil (Packed),56
12-01-00,KOLKATA,Groundnut Oil (Packed),73
12-01-00,GUWAHATI,Groundnut Oil (Packed),NA
