Date,Centre_Name,Commodity_Name,Price
31-08-10,CHANDIGARH,Gur,NA
31-08-10,DELHI,Gur,NA
31-08-10,HISAR,Gur,NA
31-08-10,KARNAL,Gur,NA
31-08-10,SHIMLA,Gur,NA
31-08-10,MANDI,Gur,NA
31-08-10,SRINAGAR,Gur,NA
31-08-10,JAMMU,Gur,NA
31-08-10,AMRITSAR,Gur,NA
31-08-10,LUDHIANA,Gur,NA
31-08-10,BATHINDA,Gur,NA
31-08-10,LUCKNOW,Gur,NA
31-08-10,KANPUR,Gur,NA
31-08-10,VARANASI,Gur,NA
31-08-10,AGRA,Gur,NA
31-08-10,DEHRADUN,Gur,NA
31-08-10,RAIPUR,Gur,NA
31-08-10,AHMEDABAD,Gur,NA
31-08-10,RAJKOT,Gur,NA
31-08-10,BHOPAL,Gur,NA
31-08-10,INDORE,Gur,NA
31-08-10,MUMBAI,Gur,NA
31-08-10,NAGPUR,Gur,NA
31-08-10,JAIPUR,Gur,NA
31-08-10,JODHPUR,Gur,NA
31-08-10,KOTA,Gur,NA
31-08-10,PATNA,Gur,NA
31-08-10,BHAGALPUR,Gur,NA
31-08-10,RANCHI,Gur,NA
31-08-10,BHUBANESHWAR,Gur,NA
31-08-10,CUTTACK,Gur,NA
31-08-10,SAMBALPUR,Gur,NA
31-08-10,KOLKATA,Gur,NA
31-08-10,SILIGURI,Gur,NA
31-08-10,ITANAGAR,Gur,NA
31-08-10,GUWAHATI,Gur,NA
31-08-10,SHILLONG,Gur,NA
31-08-10,AIZWAL,Gur,NA
31-08-10,KOHIMA,Gur,NA
31-08-10,DIMAPUR,Gur,NA
31-08-10,AGARTALA,Gur,NA
31-08-10,VIJAYWADA,Gur,NA
31-08-10,BENGALURU,Gur,NA
31-08-10,DHARWAD,Gur,NA
31-08-10,T.PURAM,Gur,NA
31-08-10,CHENNAI,Gur,NA
31-08-10,DINDIGUL,Gur,NA
31-08-10,THIRUCHIRAPALLI,Gur,NA
31-08-10,HYDERABAD,Gur,NA
01-09-10,CHANDIGARH,Gur,NA
01-09-10,DELHI,Gur,NA
01-09-10,HISAR,Gur,31
01-09-10,KARNAL,Gur,30
01-09-10,SHIMLA,Gur,NA
01-09-10,MANDI,Gur,33
01-09-10,SRINAGAR,Gur,NA
01-09-10,JAMMU,Gur,NA
01-09-10,AMRITSAR,Gur,NA
01-09-10,LUDHIANA,Gur,NA
01-09-10,BATHINDA,Gur,NA
01-09-10,LUCKNOW,Gur,NA
01-09-10,KANPUR,Gur,NA
01-09-10,VARANASI,Gur,NA
01-09-10,AGRA,Gur,NA
01-09-10,DEHRADUN,Gur,37
01-09-10,RAIPUR,Gur,NA
01-09-10,AHMEDABAD,Gur,41
01-09-10,RAJKOT,Gur,40
01-09-10,BHOPAL,Gur,20
01-09-10,INDORE,Gur,30
01-09-10,MUMBAI,Gur,NA
01-09-10,NAGPUR,Gur,NA
01-09-10,JAIPUR,Gur,NA
01-09-10,JODHPUR,Gur,NA
01-09-10,KOTA,Gur,NA
01-09-10,PATNA,Gur,NA
01-09-10,BHAGALPUR,Gur,NA
01-09-10,RANCHI,Gur,NA
