Date,Centre_Name,Commodity_Name,Price
17-08-06,CHANDIGARH,Masoor Dal,38
17-08-06,SRINAGAR,Masoor Dal,NA
17-08-06,JAMMU,Masoor Dal,NA
17-08-06,AMRITSAR,Masoor Dal,35
17-08-06,LUDHIANA,Masoor Dal,38
17-08-06,DEHRADUN,Masoor Dal,NA
17-08-06,RAIPUR,Masoor Dal,30
17-08-06,RANCHI,Masoor Dal,NA
21-08-06,CHANDIGARH,Masoor Dal,38
21-08-06,SRINAGAR,Masoor Dal,NA
21-08-06,JAMMU,Masoor Dal,NA
21-08-06,AMRITSAR,Masoor Dal,40
21-08-06,LUDHIANA,Masoor Dal,38
21-08-06,DEHRADUN,Masoor Dal,NA
21-08-06,RAIPUR,Masoor Dal,30
21-08-06,RANCHI,Masoor Dal,NA
22-08-06,CHANDIGARH,Masoor Dal,38
22-08-06,SRINAGAR,Masoor Dal,NA
22-08-06,JAMMU,Masoor Dal,NA
22-08-06,AMRITSAR,Masoor Dal,38
22-08-06,LUDHIANA,Masoor Dal,38
22-08-06,DEHRADUN,Masoor Dal,NA
22-08-06,RAIPUR,Masoor Dal,30
22-08-06,RANCHI,Masoor Dal,NA
23-08-06,CHANDIGARH,Masoor Dal,38
23-08-06,SRINAGAR,Masoor Dal,NA
23-08-06,JAMMU,Masoor Dal,NA
23-08-06,AMRITSAR,Masoor Dal,40
23-08-06,LUDHIANA,Masoor Dal,38
23-08-06,DEHRADUN,Masoor Dal,NA
23-08-06,RAIPUR,Masoor Dal,30
23-08-06,RANCHI,Masoor Dal,NA
24-08-06,CHANDIGARH,Masoor Dal,38
24-08-06,SRINAGAR,Masoor Dal,NA
24-08-06,JAMMU,Masoor Dal,NA
24-08-06,AMRITSAR,Masoor Dal,40
24-08-06,LUDHIANA,Masoor Dal,38
24-08-06,DEHRADUN,Masoor Dal,NA
24-08-06,RAIPUR,Masoor Dal,30
24-08-06,RANCHI,Masoor Dal,NA
01-09-06,CHANDIGARH,Masoor Dal,38
01-09-06,SRINAGAR,Masoor Dal,34
01-09-06,JAMMU,Masoor Dal,NA
01-09-06,AMRITSAR,Masoor Dal,33
01-09-06,LUDHIANA,Masoor Dal,35
01-09-06,DEHRADUN,Masoor Dal,NA
01-09-06,RAIPUR,Masoor Dal,24
01-09-06,RANCHI,Masoor Dal,NA
01-09-06,KOHIMA,Masoor Dal,NA
04-09-06,CHANDIGARH,Masoor Dal,38
04-09-06,SRINAGAR,Masoor Dal,34
04-09-06,JAMMU,Masoor Dal,NA
04-09-06,AMRITSAR,Masoor Dal,33
04-09-06,LUDHIANA,Masoor Dal,35
04-09-06,DEHRADUN,Masoor Dal,NA
04-09-06,RAIPUR,Masoor Dal,24
04-09-06,RANCHI,Masoor Dal,NA
04-09-06,KOHIMA,Masoor Dal,NA
05-09-06,CHANDIGARH,Masoor Dal,38
05-09-06,SRINAGAR,Masoor Dal,34
05-09-06,JAMMU,Masoor Dal,NA
05-09-06,AMRITSAR,Masoor Dal,33
05-09-06,LUDHIANA,Masoor Dal,35
05-09-06,DEHRADUN,Masoor Dal,NA
05-09-06,RAIPUR,Masoor Dal,24
05-09-06,RANCHI,Masoor Dal,NA
05-09-06,KOHIMA,Masoor Dal,NA
06-09-06,CHANDIGARH,Masoor Dal,38
06-09-06,SRINAGAR,Masoor Dal,34
06-09-06,JAMMU,Masoor Dal,NA
06-09-06,AMRITSAR,Masoor Dal,33
06-09-06,LUDHIANA,Masoor Dal,35
06-09-06,DEHRADUN,Masoor Dal,NA
06-09-06,RAIPUR,Masoor Dal,24
06-09-06,RANCHI,Masoor Dal,NA
06-09-06,KOHIMA,Masoor Dal,NA
07-09-06,CHANDIGARH,Masoor Dal,38
07-09-06,SRINAGAR,Masoor Dal,34
07-09-06,JAMMU,Masoor Dal,NA
07-09-06,AMRITSAR,Masoor Dal,33
07-09-06,LUDHIANA,Masoor Dal,35
07-09-06,DEHRADUN,Masoor Dal,NA
07-09-06,RAIPUR,Masoor Dal,24
07-09-06,RANCHI,Masoor Dal,NA
07-09-06,KOHIMA,Masoor Dal,NA
08-09-06,CHANDIGARH,Masoor Dal,38
08-09-06,SRINAGAR,Masoor Dal,34
08-09-06,JAMMU,Masoor Dal,NA
08-09-06,AMRITSAR,Masoor Dal,33
08-09-06,LUDHIANA,Masoor Dal,35
08-09-06,DEHRADUN,Masoor Dal,NA
08-09-06,RAIPUR,Masoor Dal,26
08-09-06,RANCHI,Masoor Dal,NA
08-09-06,KOHIMA,Masoor Dal,NA
11-09-06,CHANDIGARH,Masoor Dal,38
11-09-06,SRINAGAR,Masoor Dal,34
11-09-06,JAMMU,Masoor Dal,NA
11-09-06,AMRITSAR,Masoor Dal,33
11-09-06,LUDHIANA,Masoor Dal,35
11-09-06,DEHRADUN,Masoor Dal,NA
11-09-06,RAIPUR,Masoor Dal,26
11-09-06,RANCHI,Masoor Dal,NA
11-09-06,KOHIMA,Masoor Dal,NA
12-09-06,CHANDIGARH,Masoor Dal,38
12-09-06,SRINAGAR,Masoor Dal,34
12-09-06,JAMMU,Masoor Dal,NA
12-09-06,AMRITSAR,Masoor Dal,33
12-09-06,LUDHIANA,Masoor Dal,35
12-09-06,DEHRADUN,Masoor Dal,NA
12-09-06,RAIPUR,Masoor Dal,26
12-09-06,RANCHI,Masoor Dal,NA
12-09-06,KOHIMA,Masoor Dal,NA
13-09-06,CHANDIGARH,Masoor Dal,38
13-09-06,SRINAGAR,Masoor Dal,34
13-09-06,JAMMU,Masoor Dal,NA
13-09-06,AMRITSAR,Masoor Dal,30
13-09-06,LUDHIANA,Masoor Dal,33
13-09-06,DEHRADUN,Masoor Dal,NA
13-09-06,RAIPUR,Masoor Dal,26
13-09-06,RANCHI,Masoor Dal,NA
13-09-06,KOHIMA,Masoor Dal,NA
14-09-06,CHANDIGARH,Masoor Dal,38
14-09-06,SRINAGAR,Masoor Dal,34
14-09-06,JAMMU,Masoor Dal,NA
14-09-06,AMRITSAR,Masoor Dal,30
14-09-06,LUDHIANA,Masoor Dal,33
14-09-06,DEHRADUN,Masoor Dal,NA
14-09-06,RAIPUR,Masoor Dal,26
14-09-06,RANCHI,Masoor Dal,NA
14-09-06,KOHIMA,Masoor Dal,NA
15-09-06,CHANDIGARH,Masoor Dal,38
15-09-06,SRINAGAR,Masoor Dal,34
15-09-06,JAMMU,Masoor Dal,NA
15-09-06,AMRITSAR,Masoor Dal,30
15-09-06,LUDHIANA,Masoor Dal,33
15-09-06,DEHRADUN,Masoor Dal,NA
15-09-06,RAIPUR,Masoor Dal,26
15-09-06,RANCHI,Masoor Dal,NA
15-09-06,KOHIMA,Masoor Dal,NA
18-09-06,CHANDIGARH,Masoor Dal,38
18-09-06,SRINAGAR,Masoor Dal,34
18-09-06,JAMMU,Masoor Dal,NA
18-09-06,AMRITSAR,Masoor Dal,30
18-09-06,LUDHIANA,Masoor Dal,35
18-09-06,DEHRADUN,Masoor Dal,NA
18-09-06,RAIPUR,Masoor Dal,26
18-09-06,RANCHI,Masoor Dal,NA
18-09-06,KOHIMA,Masoor Dal,NA
19-09-06,CHANDIGARH,Masoor Dal,38
19-09-06,SRINAGAR,Masoor Dal,34
19-09-06,JAMMU,Masoor Dal,NA
19-09-06,AMRITSAR,Masoor Dal,30
19-09-06,LUDHIANA,Masoor Dal,35
19-09-06,DEHRADUN,Masoor Dal,NA
19-09-06,RAIPUR,Masoor Dal,26
19-09-06,RANCHI,Masoor Dal,NA
19-09-06,KOHIMA,Masoor Dal,NA
20-09-06,CHANDIGARH,Masoor Dal,38
