Date,Centre_Name,Commodity_Name,Price
03-01-00,DELHI,Milk,NA
03-01-00,SHIMLA,Milk,NA
03-01-00,LUCKNOW,Milk,NA
03-01-00,AHMEDABAD,Milk,NA
03-01-00,BHOPAL,Milk,NA
03-01-00,MUMBAI,Milk,NA
03-01-00,JAIPUR,Milk,NA
03-01-00,PATNA,Milk,NA
03-01-00,BHUBANESHWAR,Milk,NA
03-01-00,KOLKATA,Milk,NA
03-01-00,GUWAHATI,Milk,NA
03-01-00,SHILLONG,Milk,NA
03-01-00,AIZWAL,Milk,NA
03-01-00,AGARTALA,Milk,NA
03-01-00,BENGALURU,Milk,NA
03-01-00,T.PURAM,Milk,NA
03-01-00,CHENNAI,Milk,NA
03-01-00,HYDERABAD,Milk,NA
04-01-00,DELHI,Milk,NA
04-01-00,SHIMLA,Milk,NA
04-01-00,LUCKNOW,Milk,NA
04-01-00,AHMEDABAD,Milk,NA
04-01-00,BHOPAL,Milk,NA
04-01-00,MUMBAI,Milk,NA
04-01-00,JAIPUR,Milk,NA
04-01-00,PATNA,Milk,NA
04-01-00,BHUBANESHWAR,Milk,NA
04-01-00,KOLKATA,Milk,NA
04-01-00,GUWAHATI,Milk,NA
04-01-00,SHILLONG,Milk,NA
04-01-00,AIZWAL,Milk,NA
04-01-00,AGARTALA,Milk,NA
04-01-00,BENGALURU,Milk,NA
04-01-00,T.PURAM,Milk,NA
04-01-00,CHENNAI,Milk,NA
04-01-00,HYDERABAD,Milk,NA
05-01-00,DELHI,Milk,NA
05-01-00,SHIMLA,Milk,NA
05-01-00,LUCKNOW,Milk,NA
05-01-00,AHMEDABAD,Milk,NA
05-01-00,BHOPAL,Milk,NA
05-01-00,MUMBAI,Milk,NA
05-01-00,JAIPUR,Milk,NA
05-01-00,PATNA,Milk,NA
05-01-00,BHUBANESHWAR,Milk,NA
05-01-00,KOLKATA,Milk,NA
05-01-00,GUWAHATI,Milk,NA
05-01-00,SHILLONG,Milk,NA
05-01-00,AIZWAL,Milk,NA
05-01-00,AGARTALA,Milk,NA
05-01-00,BENGALURU,Milk,NA
05-01-00,T.PURAM,Milk,NA
05-01-00,CHENNAI,Milk,NA
05-01-00,HYDERABAD,Milk,NA
06-01-00,DELHI,Milk,NA
06-01-00,SHIMLA,Milk,NA
06-01-00,LUCKNOW,Milk,NA
06-01-00,AHMEDABAD,Milk,NA
06-01-00,BHOPAL,Milk,NA
06-01-00,MUMBAI,Milk,NA
06-01-00,JAIPUR,Milk,NA
06-01-00,PATNA,Milk,NA
06-01-00,BHUBANESHWAR,Milk,NA
06-01-00,KOLKATA,Milk,NA
06-01-00,GUWAHATI,Milk,NA
06-01-00,SHILLONG,Milk,NA
06-01-00,AIZWAL,Milk,NA
06-01-00,AGARTALA,Milk,NA
06-01-00,BENGALURU,Milk,NA
06-01-00,T.PURAM,Milk,NA
06-01-00,CHENNAI,Milk,NA
06-01-00,HYDERABAD,Milk,NA
07-01-00,DELHI,Milk,NA
07-01-00,SHIMLA,Milk,NA
07-01-00,LUCKNOW,Milk,NA
07-01-00,AHMEDABAD,Milk,NA
07-01-00,BHOPAL,Milk,NA
07-01-00,MUMBAI,Milk,NA
07-01-00,JAIPUR,Milk,NA
07-01-00,PATNA,Milk,NA
07-01-00,BHUBANESHWAR,Milk,NA
07-01-00,KOLKATA,Milk,NA
07-01-00,GUWAHATI,Milk,NA
07-01-00,SHILLONG,Milk,NA
07-01-00,AIZWAL,Milk,NA
07-01-00,AGARTALA,Milk,NA
07-01-00,BENGALURU,Milk,NA
07-01-00,T.PURAM,Milk,NA
07-01-00,CHENNAI,Milk,NA
07-01-00,HYDERABAD,Milk,NA
10-01-00,DELHI,Milk,NA
10-01-00,SHIMLA,Milk,NA
10-01-00,LUCKNOW,Milk,NA
10-01-00,AHMEDABAD,Milk,NA
10-01-00,BHOPAL,Milk,NA
10-01-00,MUMBAI,Milk,NA
10-01-00,JAIPUR,Milk,NA
10-01-00,PATNA,Milk,NA
10-01-00,BHUBANESHWAR,Milk,NA
10-01-00,KOLKATA,Milk,NA
10-01-00,GUWAHATI,Milk,NA
10-01-00,SHILLONG,Milk,NA
10-01-00,AIZWAL,Milk,NA
10-01-00,AGARTALA,Milk,NA
10-01-00,BENGALURU,Milk,NA
10-01-00,T.PURAM,Milk,NA
10-01-00,CHENNAI,Milk,NA
10-01-00,HYDERABAD,Milk,NA
11-01-00,DELHI,Milk,NA
11-01-00,SHIMLA,Milk,NA
11-01-00,LUCKNOW,Milk,NA
11-01-00,AHMEDABAD,Milk,NA
11-01-00,BHOPAL,Milk,NA
11-01-00,MUMBAI,Milk,NA
11-01-00,JAIPUR,Milk,NA
11-01-00,PATNA,Milk,NA
11-01-00,BHUBANESHWAR,Milk,NA
11-01-00,KOLKATA,Milk,NA
11-01-00,GUWAHATI,Milk,NA
11-01-00,SHILLONG,Milk,NA
11-01-00,AIZWAL,Milk,NA
11-01-00,AGARTALA,Milk,NA
11-01-00,BENGALURU,Milk,NA
11-01-00,T.PURAM,Milk,NA
11-01-00,CHENNAI,Milk,NA
11-01-00,HYDERABAD,Milk,NA
12-01-00,DELHI,Milk,NA
12-01-00,SHIMLA,Milk,NA
12-01-00,LUCKNOW,Milk,NA
12-01-00,AHMEDABAD,Milk,NA
12-01-00,BHOPAL,Milk,NA
12-01-00,MUMBAI,Milk,NA
12-01-00,JAIPUR,Milk,NA
12-01-00,PATNA,Milk,NA
12-01-00,BHUBANESHWAR,Milk,NA
12-01-00,KOLKATA,Milk,NA
12-01-00,GUWAHATI,Milk,NA
12-01-00,SHILLONG,Milk,NA
12-01-00,AIZWAL,Milk,NA
12-01-00,AGARTALA,Milk,NA
12-01-00,BENGALURU,Milk,NA
12-01-00,T.PURAM,Milk,NA
12-01-00,CHENNAI,Milk,NA
12-01-00,HYDERABAD,Milk,NA
13-01-00,DELHI,Milk,NA
13-01-00,SHIMLA,Milk,NA
13-01-00,LUCKNOW,Milk,NA
13-01-00,AHMEDABAD,Milk,NA
13-01-00,BHOPAL,Milk,NA
13-01-00,MUMBAI,Milk,NA
13-01-00,JAIPUR,Milk,NA
13-01-00,PATNA,Milk,NA
13-01-00,BHUBANESHWAR,Milk,NA
13-01-00,KOLKATA,Milk,NA
13-01-00,GUWAHATI,Milk,NA
13-01-00,SHILLONG,Milk,NA
13-01-00,AIZWAL,Milk,NA
13-01-00,AGARTALA,Milk,NA
13-01-00,BENGALURU,Milk,NA
13-01-00,T.PURAM,Milk,NA
13-01-00,CHENNAI,Milk,NA
13-01-00,HYDERABAD,Milk,NA
14-01-00,DELHI,Milk,NA
14-01-00,SHIMLA,Milk,NA
14-01-00,LUCKNOW,Milk,NA
14-01-00,AHMEDABAD,Milk,NA
14-01-00,BHOPAL,Milk,NA
14-01-00,MUMBAI,Milk,NA
14-01-00,JAIPUR,Milk,NA
14-01-00,PATNA,Milk,NA
14-01-00,BHUBANESHWAR,Milk,NA
14-01-00,KOLKATA,Milk,NA
14-01-00,GUWAHATI,Milk,NA
14-01-00,SHILLONG,Milk,NA
14-01-00,AIZWAL,Milk,NA
14-01-00,AGARTALA,Milk,NA
