Date,Centre_Name,Commodity_Name,Price
25-11-97,DELHI,Rice,10
25-11-97,SHIMLA,Rice,12
25-11-97,LUCKNOW,Rice,6.5
25-11-97,AHMEDABAD,Rice,10
25-11-97,BHOPAL,Rice,9
25-11-97,MUMBAI,Rice,10
25-11-97,JAIPUR,Rice,12
25-11-97,PATNA,Rice,NA
25-11-97,BHUBANESHWAR,Rice,7.5
25-11-97,KOLKATA,Rice,10.5
25-11-97,GUWAHATI,Rice,9
25-11-97,SHILLONG,Rice,10
25-11-97,AIZWAL,Rice,10
25-11-97,AGARTALA,Rice,8.5
25-11-97,BENGALURU,Rice,9
25-11-97,T.PURAM,Rice,11.5
25-11-97,CHENNAI,Rice,9
25-11-97,HYDERABAD,Rice,7.5
26-11-97,DELHI,Rice,10
26-11-97,SHIMLA,Rice,12
26-11-97,LUCKNOW,Rice,6.5
26-11-97,AHMEDABAD,Rice,10
26-11-97,BHOPAL,Rice,8.5
26-11-97,MUMBAI,Rice,10
26-11-97,JAIPUR,Rice,12
26-11-97,PATNA,Rice,NA
26-11-97,BHUBANESHWAR,Rice,7.5
26-11-97,KOLKATA,Rice,10.5
26-11-97,GUWAHATI,Rice,9
26-11-97,SHILLONG,Rice,10
26-11-97,AIZWAL,Rice,10
26-11-97,AGARTALA,Rice,8.5
26-11-97,BENGALURU,Rice,9
26-11-97,T.PURAM,Rice,11.5
26-11-97,CHENNAI,Rice,NA
26-11-97,HYDERABAD,Rice,8
27-11-97,DELHI,Rice,10
27-11-97,SHIMLA,Rice,12
27-11-97,LUCKNOW,Rice,6.5
27-11-97,AHMEDABAD,Rice,10
27-11-97,BHOPAL,Rice,8.5
27-11-97,MUMBAI,Rice,10.5
27-11-97,JAIPUR,Rice,12
27-11-97,PATNA,Rice,NA
27-11-97,BHUBANESHWAR,Rice,7.5
27-11-97,KOLKATA,Rice,10.5
27-11-97,GUWAHATI,Rice,9
27-11-97,SHILLONG,Rice,10
27-11-97,AIZWAL,Rice,10
27-11-97,AGARTALA,Rice,8.5
27-11-97,BENGALURU,Rice,9
27-11-97,T.PURAM,Rice,11.5
27-11-97,CHENNAI,Rice,9
27-11-97,HYDERABAD,Rice,8
28-11-97,DELHI,Rice,10
28-11-97,SHIMLA,Rice,12
28-11-97,LUCKNOW,Rice,6.5
28-11-97,AHMEDABAD,Rice,10
28-11-97,BHOPAL,Rice,8.5
28-11-97,MUMBAI,Rice,10.5
28-11-97,JAIPUR,Rice,12
28-11-97,PATNA,Rice,NA
28-11-97,BHUBANESHWAR,Rice,7.5
28-11-97,KOLKATA,Rice,10.5
28-11-97,GUWAHATI,Rice,9
28-11-97,SHILLONG,Rice,10
28-11-97,AIZWAL,Rice,10
28-11-97,AGARTALA,Rice,8.5
28-11-97,BENGALURU,Rice,9
28-11-97,T.PURAM,Rice,11.5
28-11-97,CHENNAI,Rice,9
28-11-97,HYDERABAD,Rice,8
01-12-97,DELHI,Rice,10
01-12-97,SHIMLA,Rice,12
01-12-97,LUCKNOW,Rice,6.5
01-12-97,AHMEDABAD,Rice,10
01-12-97,BHOPAL,Rice,8.5
01-12-97,MUMBAI,Rice,11
01-12-97,JAIPUR,Rice,12
01-12-97,PATNA,Rice,NA
01-12-97,BHUBANESHWAR,Rice,7.5
01-12-97,KOLKATA,Rice,10.5
01-12-97,GUWAHATI,Rice,9
01-12-97,SHILLONG,Rice,10
01-12-97,AIZWAL,Rice,10
01-12-97,AGARTALA,Rice,8.5
01-12-97,BENGALURU,Rice,9
01-12-97,T.PURAM,Rice,11.5
01-12-97,CHENNAI,Rice,9
01-12-97,HYDERABAD,Rice,8
02-12-97,DELHI,Rice,10
02-12-97,SHIMLA,Rice,12
02-12-97,LUCKNOW,Rice,6.5
02-12-97,AHMEDABAD,Rice,10
02-12-97,BHOPAL,Rice,9
02-12-97,MUMBAI,Rice,11
02-12-97,JAIPUR,Rice,12
02-12-97,PATNA,Rice,7.5
02-12-97,BHUBANESHWAR,Rice,7.5
02-12-97,KOLKATA,Rice,10.5
02-12-97,GUWAHATI,Rice,9
02-12-97,SHILLONG,Rice,10
02-12-97,AIZWAL,Rice,10
02-12-97,AGARTALA,Rice,8.5
02-12-97,BENGALURU,Rice,9
02-12-97,T.PURAM,Rice,11.5
02-12-97,CHENNAI,Rice,9
02-12-97,HYDERABAD,Rice,8
03-12-97,DELHI,Rice,10
03-12-97,SHIMLA,Rice,12
03-12-97,LUCKNOW,Rice,6.5
03-12-97,AHMEDABAD,Rice,10
03-12-97,BHOPAL,Rice,9
03-12-97,MUMBAI,Rice,11
03-12-97,JAIPUR,Rice,12
03-12-97,PATNA,Rice,7.5
03-12-97,BHUBANESHWAR,Rice,7.5
03-12-97,KOLKATA,Rice,10.5
03-12-97,GUWAHATI,Rice,9
03-12-97,SHILLONG,Rice,10
03-12-97,AIZWAL,Rice,10
03-12-97,AGARTALA,Rice,8.5
03-12-97,BENGALURU,Rice,9
03-12-97,T.PURAM,Rice,11.5
03-12-97,CHENNAI,Rice,9
03-12-97,HYDERABAD,Rice,8
