Date,Centre_Name,Commodity_Name,Price
03-01-00,DELHI,Salt Pack (Iodised),NA
03-01-00,SHIMLA,Salt Pack (Iodised),NA
03-01-00,LUCKNOW,Salt Pack (Iodised),NA
03-01-00,AHMEDABAD,Salt Pack (Iodised),NA
03-01-00,BHOPAL,Salt Pack (Iodised),NA
03-01-00,MUMBAI,Salt Pack (Iodised),NA
03-01-00,JAIPUR,Salt Pack (Iodised),NA
03-01-00,PATNA,Salt Pack (Iodised),NA
03-01-00,BHUBANESHWAR,Salt Pack (Iodised),NA
03-01-00,KOLKATA,Salt Pack (Iodised),NA
03-01-00,GUWAHATI,Salt Pack (Iodised),NA
03-01-00,SHILLONG,Salt Pack (Iodised),NA
03-01-00,AIZWAL,Salt Pack (Iodised),NA
03-01-00,AGARTALA,Salt Pack (Iodised),NA
03-01-00,BENGALURU,Salt Pack (Iodised),NA
03-01-00,T.PURAM,Salt Pack (Iodised),NA
03-01-00,CHENNAI,Salt Pack (Iodised),NA
03-01-00,HYDERABAD,Salt Pack (Iodised),NA
04-01-00,DELHI,Salt Pack (Iodised),NA
04-01-00,SHIMLA,Salt Pack (Iodised),NA
04-01-00,LUCKNOW,Salt Pack (Iodised),NA
04-01-00,AHMEDABAD,Salt Pack (Iodised),NA
04-01-00,BHOPAL,Salt Pack (Iodised),NA
04-01-00,MUMBAI,Salt Pack (Iodised),NA
04-01-00,JAIPUR,Salt Pack (Iodised),NA
04-01-00,PATNA,Salt Pack (Iodised),NA
04-01-00,BHUBANESHWAR,Salt Pack (Iodised),NA
04-01-00,KOLKATA,Salt Pack (Iodised),NA
04-01-00,GUWAHATI,Salt Pack (Iodised),NA
04-01-00,SHILLONG,Salt Pack (Iodised),NA
04-01-00,AIZWAL,Salt Pack (Iodised),NA
04-01-00,AGARTALA,Salt Pack (Iodised),NA
04-01-00,BENGALURU,Salt Pack (Iodised),NA
04-01-00,T.PURAM,Salt Pack (Iodised),NA
04-01-00,CHENNAI,Salt Pack (Iodised),NA
04-01-00,HYDERABAD,Salt Pack (Iodised),NA
05-01-00,DELHI,Salt Pack (Iodised),NA
05-01-00,SHIMLA,Salt Pack (Iodised),NA
05-01-00,LUCKNOW,Salt Pack (Iodised),NA
05-01-00,AHMEDABAD,Salt Pack (Iodised),NA
05-01-00,BHOPAL,Salt Pack (Iodised),NA
05-01-00,MUMBAI,Salt Pack (Iodised),NA
05-01-00,JAIPUR,Salt Pack (Iodised),NA
05-01-00,PATNA,Salt Pack (Iodised),NA
05-01-00,BHUBANESHWAR,Salt Pack (Iodised),NA
05-01-00,KOLKATA,Salt Pack (Iodised),NA
05-01-00,GUWAHATI,Salt Pack (Iodised),NA
05-01-00,SHILLONG,Salt Pack (Iodised),NA
05-01-00,AIZWAL,Salt Pack (Iodised),NA
05-01-00,AGARTALA,Salt Pack (Iodised),NA
05-01-00,BENGALURU,Salt Pack (Iodised),NA
05-01-00,T.PURAM,Salt Pack (Iodised),NA
05-01-00,CHENNAI,Salt Pack (Iodised),NA
05-01-00,HYDERABAD,Salt Pack (Iodised),NA
06-01-00,DELHI,Salt Pack (Iodised),NA
06-01-00,SHIMLA,Salt Pack (Iodised),NA
06-01-00,LUCKNOW,Salt Pack (Iodised),NA
06-01-00,AHMEDABAD,Salt Pack (Iodised),NA
06-01-00,BHOPAL,Salt Pack (Iodised),NA
06-01-00,MUMBAI,Salt Pack (Iodised),NA
06-01-00,JAIPUR,Salt Pack (Iodised),NA
06-01-00,PATNA,Salt Pack (Iodised),NA
06-01-00,BHUBANESHWAR,Salt Pack (Iodised),NA
06-01-00,KOLKATA,Salt Pack (Iodised),NA
06-01-00,GUWAHATI,Salt Pack (Iodised),NA
06-01-00,SHILLONG,Salt Pack (Iodised),NA
06-01-00,AIZWAL,Salt Pack (Iodised),NA
06-01-00,AGARTALA,Salt Pack (Iodised),NA
06-01-00,BENGALURU,Salt Pack (Iodised),NA
06-01-00,T.PURAM,Salt Pack (Iodised),NA
06-01-00,CHENNAI,Salt Pack (Iodised),NA
06-01-00,HYDERABAD,Salt Pack (Iodised),NA
07-01-00,DELHI,Salt Pack (Iodised),NA
07-01-00,SHIMLA,Salt Pack (Iodised),NA
07-01-00,LUCKNOW,Salt Pack (Iodised),NA
07-01-00,AHMEDABAD,Salt Pack (Iodised),NA
07-01-00,BHOPAL,Salt Pack (Iodised),NA
07-01-00,MUMBAI,Salt Pack (Iodised),NA
07-01-00,JAIPUR,Salt Pack (Iodised),NA
07-01-00,PATNA,Salt Pack (Iodised),NA
