Date,Centre_Name,Commodity_Name,Price
25-11-97,DELHI,Tomato,NA
25-11-97,SHIMLA,Tomato,NA
25-11-97,LUCKNOW,Tomato,NA
25-11-97,AHMEDABAD,Tomato,NA
25-11-97,BHOPAL,Tomato,NA
25-11-97,MUMBAI,Tomato,NA
25-11-97,JAIPUR,Tomato,NA
25-11-97,PATNA,Tomato,NA
25-11-97,BHUBANESHWAR,Tomato,NA
25-11-97,KOLKATA,Tomato,NA
25-11-97,GUWAHATI,Tomato,NA
25-11-97,SHILLONG,Tomato,NA
25-11-97,AIZWAL,Tomato,NA
25-11-97,AGARTALA,Tomato,NA
25-11-97,BENGALURU,Tomato,NA
25-11-97,T.PURAM,Tomato,NA
25-11-97,CHENNAI,Tomato,NA
25-11-97,HYDERABAD,Tomato,NA
26-11-97,DELHI,Tomato,NA
26-11-97,SHIMLA,Tomato,NA
26-11-97,LUCKNOW,Tomato,NA
26-11-97,AHMEDABAD,Tomato,NA
26-11-97,BHOPAL,Tomato,NA
26-11-97,MUMBAI,Tomato,NA
26-11-97,JAIPUR,Tomato,NA
26-11-97,PATNA,Tomato,NA
26-11-97,BHUBANESHWAR,Tomato,NA
26-11-97,KOLKATA,Tomato,NA
26-11-97,GUWAHATI,Tomato,NA
26-11-97,SHILLONG,Tomato,NA
26-11-97,AIZWAL,Tomato,NA
26-11-97,AGARTALA,Tomato,NA
26-11-97,BENGALURU,Tomato,NA
26-11-97,T.PURAM,Tomato,NA
26-11-97,CHENNAI,Tomato,NA
26-11-97,HYDERABAD,Tomato,NA
27-11-97,DELHI,Tomato,NA
27-11-97,SHIMLA,Tomato,NA
27-11-97,LUCKNOW,Tomato,NA
27-11-97,AHMEDABAD,Tomato,NA
27-11-97,BHOPAL,Tomato,NA
27-11-97,MUMBAI,Tomato,NA
27-11-97,JAIPUR,Tomato,NA
27-11-97,PATNA,Tomato,NA
27-11-97,BHUBANESHWAR,Tomato,NA
27-11-97,KOLKATA,Tomato,NA
27-11-97,GUWAHATI,Tomato,NA
27-11-97,SHILLONG,Tomato,NA
27-11-97,AIZWAL,Tomato,NA
27-11-97,AGARTALA,Tomato,NA
27-11-97,BENGALURU,Tomato,NA
27-11-97,T.PURAM,Tomato,NA
27-11-97,CHENNAI,Tomato,NA
27-11-97,HYDERABAD,Tomato,NA
28-11-97,DELHI,Tomato,NA
28-11-97,SHIMLA,Tomato,NA
28-11-97,LUCKNOW,Tomato,NA
28-11-97,AHMEDABAD,Tomato,NA
28-11-97,BHOPAL,Tomato,NA
28-11-97,MUMBAI,Tomato,NA
28-11-97,JAIPUR,Tomato,NA
28-11-97,PATNA,Tomato,NA
28-11-97,BHUBANESHWAR,Tomato,NA
28-11-97,KOLKATA,Tomato,NA
28-11-97,GUWAHATI,Tomato,NA
28-11-97,SHILLONG,Tomato,NA
28-11-97,AIZWAL,Tomato,NA
28-11-97,AGARTALA,Tomato,NA
28-11-97,BENGALURU,Tomato,NA
28-11-97,T.PURAM,Tomato,NA
28-11-97,CHENNAI,Tomato,NA
28-11-97,HYDERABAD,Tomato,NA
01-12-97,DELHI,Tomato,NA
01-12-97,SHIMLA,Tomato,NA
