Date,Centre_Name,Commodity_Name,Price
15-10-08,BENGALURU,Brinjal,14.0
16-10-08,BENGALURU,Brinjal,14.0
17-10-08,BENGALURU,Brinjal,14.0
20-10-08,BENGALURU,Brinjal,14.0
21-10-08,BENGALURU,Brinjal,14.0
22-10-08,BENGALURU,Brinjal,14.0
23-10-08,BENGALURU,Brinjal,14.0
24-10-08,BENGALURU,Brinjal,14.0
27-10-08,BENGALURU,Brinjal,14.0
29-10-08,BENGALURU,Brinjal,14.0
30-10-08,BENGALURU,Brinjal,14.0
31-10-08,BENGALURU,Brinjal,14.0
03-11-08,BENGALURU,Brinjal,14.0
04-11-08,BENGALURU,Brinjal,14.0
05-11-08,BENGALURU,Brinjal,14.0
06-11-08,BENGALURU,Brinjal,14.0
07-11-08,BENGALURU,Brinjal,14.0
07-11-08,T.PURAM,Brinjal,35.0
10-11-08,BENGALURU,Brinjal,14.0
10-11-08,T.PURAM,Brinjal,35.0
11-11-08,BENGALURU,Brinjal,14.0
11-11-08,T.PURAM,Brinjal,35.0
12-11-08,BENGALURU,Brinjal,14.0
12-11-08,T.PURAM,Brinjal,35.0
14-11-08,BENGALURU,Brinjal,14.0
14-11-08,T.PURAM,Brinjal,35.0
17-11-08,BENGALURU,Brinjal,14.0
17-11-08,T.PURAM,Brinjal,35.0
18-11-08,BENGALURU,Brinjal,14.0
18-11-08,T.PURAM,Brinjal,35.0
19-11-08,BENGALURU,Brinjal,14.0
19-11-08,T.PURAM,Brinjal,35.0
20-11-08,BENGALURU,Brinjal,14.0
20-11-08,T.PURAM,Brinjal,35.0
21-11-08,BENGALURU,Brinjal,14.0
21-11-08,T.PURAM,Brinjal,35.0
24-11-08,BENGALURU,Brinjal,14.0
24-11-08,T.PURAM,Brinjal,35.0
25-11-08,BENGALURU,Brinjal,14.0
25-11-08,T.PURAM,Brinjal,35.0
26-11-08,BENGALURU,Brinjal,14.0
26-11-08,T.PURAM,Brinjal,35.0
27-11-08,BENGALURU,Brinjal,14.0
27-11-08,T.PURAM,Brinjal,35.0
28-11-08,BENGALURU,Brinjal,14.0
28-11-08,T.PURAM,Brinjal,35.0
01-12-08,BENGALURU,Brinjal,14.0
01-12-08,T.PURAM,Brinjal,35.0
02-12-08,BENGALURU,Brinjal,14.0
02-12-08,T.PURAM,Brinjal,35.0
03-12-08,BENGALURU,Brinjal,14.0
03-12-08,T.PURAM,Brinjal,35.0
04-12-08,BENGALURU,Brinjal,14.0
04-12-08,T.PURAM,Brinjal,35.0
05-12-08,BENGALURU,Brinjal,14.0
05-12-08,T.PURAM,Brinjal,35.0
08-12-08,BENGALURU,Brinjal,14.0
08-12-08,T.PURAM,Brinjal,35.0
10-12-08,BENGALURU,Brinjal,14.0
10-12-08,T.PURAM,Brinjal,35.0
11-12-08,BENGALURU,Brinjal,14.0
11-12-08,T.PURAM,Brinjal,35.0
12-12-08,BENGALURU,Brinjal,14.0
12-12-08,T.PURAM,Brinjal,35.0
15-12-08,BENGALURU,Brinjal,14.0
15-12-08,T.PURAM,Brinjal,35.0
16-12-08,BENGALURU,Brinjal,14.0
16-12-08,T.PURAM,Brinjal,35.0
17-12-08,BENGALURU,Brinjal,14.0
17-12-08,T.PURAM,Brinjal,35.0
18-12-08,BENGALURU,Brinjal,14.0
18-12-08,T.PURAM,Brinjal,35.0
19-12-08,BENGALURU,Brinjal,14.0
19-12-08,T.PURAM,Brinjal,35.0
22-12-08,BENGALURU,Brinjal,14.0
22-12-08,T.PURAM,Brinjal,35.0
23-12-08,BENGALURU,Brinjal,14.0
23-12-08,T.PURAM,Brinjal,35.0
24-12-08,BENGALURU,Brinjal,14.0
24-12-08,T.PURAM,Brinjal,35.0
26-12-08,BENGALURU,Brinjal,14.0
26-12-08,T.PURAM,Brinjal,35.0
29-12-08,BENGALURU,Brinjal,14.0
29-12-08,T.PURAM,Brinjal,35.0
30-12-08,BENGALURU,Brinjal,14.0
30-12-08,T.PURAM,Brinjal,35.0
31-12-08,BENGALURU,Brinjal,14.0
31-12-08,T.PURAM,Brinjal,35.0
01-01-09,BENGALURU,Brinjal,14.0
