Date,Centre_Name,Commodity_Name,Price
03-09-10,HYDERABAD,Gur,32.0
06-09-10,CHENNAI,Gur,40.0
06-09-10,THIRUCHIRAPALLI,Gur,30.0
06-09-10,HYDERABAD,Gur,32.0
07-09-10,CHENNAI,Gur,40.0
07-09-10,THIRUCHIRAPALLI,Gur,30.0
07-09-10,HYDERABAD,Gur,32.0
08-09-10,T.PURAM,Gur,34.0
08-09-10,CHENNAI,Gur,40.0
08-09-10,THIRUCHIRAPALLI,Gur,30.0
08-09-10,HYDERABAD,Gur,32.0
09-09-10,T.PURAM,Gur,34.0
09-09-10,CHENNAI,Gur,41.0
09-09-10,THIRUCHIRAPALLI,Gur,30.0
09-09-10,HYDERABAD,Gur,32.0
10-09-10,T.PURAM,Gur,34.0
10-09-10,CHENNAI,Gur,41.0
10-09-10,THIRUCHIRAPALLI,Gur,30.0
10-09-10,HYDERABAD,Gur,32.0
13-09-10,T.PURAM,Gur,34.0
13-09-10,CHENNAI,Gur,41.0
13-09-10,THIRUCHIRAPALLI,Gur,30.0
13-09-10,HYDERABAD,Gur,32.0
14-09-10,T.PURAM,Gur,34.0
14-09-10,CHENNAI,Gur,41.0
14-09-10,THIRUCHIRAPALLI,Gur,30.0
14-09-10,HYDERABAD,Gur,32.0
15-09-10,T.PURAM,Gur,34.0
15-09-10,CHENNAI,Gur,41.0
15-09-10,THIRUCHIRAPALLI,Gur,30.0
15-09-10,HYDERABAD,Gur,32.0
16-09-10,BENGALURU,Gur,33.0
16-09-10,DHARWAD,Gur,30.0
16-09-10,T.PURAM,Gur,34.0
16-09-10,CHENNAI,Gur,40.0
16-09-10,THIRUCHIRAPALLI,Gur,30.0
16-09-10,HYDERABAD,Gur,32.0
17-09-10,BENGALURU,Gur,33.0
17-09-10,DHARWAD,Gur,30.0
17-09-10,T.PURAM,Gur,34.0
17-09-10,CHENNAI,Gur,40.0
17-09-10,THIRUCHIRAPALLI,Gur,30.0
17-09-10,HYDERABAD,Gur,32.0
20-09-10,BENGALURU,Gur,33.0
20-09-10,DHARWAD,Gur,30.0
20-09-10,T.PURAM,Gur,34.0
20-09-10,CHENNAI,Gur,40.0
20-09-10,THIRUCHIRAPALLI,Gur,30.0
20-09-10,HYDERABAD,Gur,32.0
21-09-10,BENGALURU,Gur,33.0
21-09-10,DHARWAD,Gur,30.0
21-09-10,T.PURAM,Gur,34.0
21-09-10,CHENNAI,Gur,40.0
21-09-10,THIRUCHIRAPALLI,Gur,30.0
21-09-10,HYDERABAD,Gur,32.0
22-09-10,BENGALURU,Gur,32.0
22-09-10,DHARWAD,Gur,30.0
22-09-10,T.PURAM,Gur,34.0
22-09-10,CHENNAI,Gur,40.0
22-09-10,THIRUCHIRAPALLI,Gur,30.0
22-09-10,HYDERABAD,Gur,32.0
23-09-10,BENGALURU,Gur,32.0
23-09-10,DHARWAD,Gur,30.0
23-09-10,T.PURAM,Gur,34.0
23-09-10,CHENNAI,Gur,40.0
23-09-10,THIRUCHIRAPALLI,Gur,30.0
23-09-10,HYDERABAD,Gur,32.0
24-09-10,BENGALURU,Gur,32.0
24-09-10,DHARWAD,Gur,30.0
24-09-10,T.PURAM,Gur,34.0
24-09-10,CHENNAI,Gur,40.0
24-09-10,THIRUCHIRAPALLI,Gur,30.0
24-09-10,HYDERABAD,Gur,32.0
27-09-10,BENGALURU,Gur,32.0
27-09-10,DHARWAD,Gur,30.0
27-09-10,T.PURAM,Gur,34.0
27-09-10,CHENNAI,Gur,40.0
27-09-10,THIRUCHIRAPALLI,Gur,30.0
27-09-10,HYDERABAD,Gur,32.0
28-09-10,BENGALURU,Gur,32.0
28-09-10,DHARWAD,Gur,30.0
28-09-10,T.PURAM,Gur,34.0
28-09-10,CHENNAI,Gur,40.0
28-09-10,THIRUCHIRAPALLI,Gur,31.0
28-09-10,HYDERABAD,Gur,32.0
29-09-10,BENGALURU,Gur,32.0
29-09-10,DHARWAD,Gur,30.0
29-09-10,T.PURAM,Gur,34.0
29-09-10,CHENNAI,Gur,40.0
29-09-10,THIRUCHIRAPALLI,Gur,32.0
29-09-10,HYDERABAD,Gur,32.0
30-09-10,BENGALURU,Gur,32.0
30-09-10,DHARWAD,Gur,30.0
30-09-10,T.PURAM,Gur,34.0
30-09-10,CHENNAI,Gur,40.0
30-09-10,THIRUCHIRAPALLI,Gur,32.0
30-09-10,HYDERABAD,Gur,32.0
01-10-10,BENGALURU,Gur,32.0
01-10-10,DHARWAD,Gur,30.0
01-10-10,T.PURAM,Gur,34.0
01-10-10,CHENNAI,Gur,40.0
01-10-10,THIRUCHIRAPALLI,Gur,32.0
01-10-10,HYDERABAD,Gur,32.0
04-10-10,BENGALURU,Gur,32.0
04-10-10,DHARWAD,Gur,30.0
04-10-10,T.PURAM,Gur,34.0
04-10-10,CHENNAI,Gur,40.0
04-10-10,THIRUCHIRAPALLI,Gur,32.0
04-10-10,HYDERABAD,Gur,32.0
05-10-10,BENGALURU,Gur,32.0
05-10-10,DHARWAD,Gur,30.0
05-10-10,T.PURAM,Gur,34.0
05-10-10,CHENNAI,Gur,40.0
05-10-10,THIRUCHIRAPALLI,Gur,32.0
05-10-10,HYDERABAD,Gur,32.0
06-10-10,BENGALURU,Gur,32.0
06-10-10,DHARWAD,Gur,30.0
06-10-10,T.PURAM,Gur,34.0
06-10-10,CHENNAI,Gur,40.0
06-10-10,THIRUCHIRAPALLI,Gur,32.0
06-10-10,HYDERABAD,Gur,32.0
07-10-10,BENGALURU,Gur,32.0
07-10-10,DHARWAD,Gur,30.0
07-10-10,T.PURAM,Gur,34.0
07-10-10,CHENNAI,Gur,40.0
07-10-10,THIRUCHIRAPALLI,Gur,32.0
07-10-10,HYDERABAD,Gur,32.0
08-10-10,BENGALURU,Gur,32.0
08-10-10,DHARWAD,Gur,30.0
08-10-10,T.PURAM,Gur,34.0
08-10-10,CHENNAI,Gur,40.0
08-10-10,THIRUCHIRAPALLI,Gur,32.0
08-10-10,HYDERABAD,Gur,32.0
11-10-10,BENGALURU,Gur,32.0
11-10-10,DHARWAD,Gur,30.0
11-10-10,T.PURAM,Gur,34.0
11-10-10,CHENNAI,Gur,40.0
11-10-10,THIRUCHIRAPALLI,Gur,32.0
11-10-10,HYDERABAD,Gur,32.0
12-10-10,BENGALURU,Gur,32.0
12-10-10,DHARWAD,Gur,30.0
12-10-10,T.PURAM,Gur,34.0
12-10-10,CHENNAI,Gur,36.0
12-10-10,THIRUCHIRAPALLI,Gur,32.0
12-10-10,HYDERABAD,Gur,32.0
13-10-10,BENGALURU,Gur,32.0
13-10-10,DHARWAD,Gur,30.0
13-10-10,T.PURAM,Gur,34.0
13-10-10,CHENNAI,Gur,36.0
13-10-10,THIRUCHIRAPALLI,Gur,32.0
13-10-10,HYDERABAD,Gur,32.0
15-10-10,BENGALURU,Gur,34.0
15-10-10,DHARWAD,Gur,30.0
15-10-10,T.PURAM,Gur,34.0
15-10-10,CHENNAI,Gur,36.0
15-10-10,THIRUCHIRAPALLI,Gur,32.0
15-10-10,HYDERABAD,Gur,32.0
18-10-10,BENGALURU,Gur,34.0
18-10-10,DHARWAD,Gur,30.0
18-10-10,T.PURAM,Gur,34.0
18-10-10,CHENNAI,Gur,36.0
18-10-10,THIRUCHIRAPALLI,Gur,32.0
18-10-10,HYDERABAD,Gur,32.0
19-10-10,BENGALURU,Gur,34.0
19-10-10,DHARWAD,Gur,30.0
19-10-10,T.PURAM,Gur,34.0
19-10-10,CHENNAI,Gur,36.0
19-10-10,THIRUCHIRAPALLI,Gur,32.0
19-10-10,HYDERABAD,Gur,32.0
20-10-10,BENGALURU,Gur,34.0
20-10-10,DHARWAD,Gur,30.0
20-10-10,T.PURAM,Gur,34.0
