Date,Centre_Name,Commodity_Name,Price
01-04-08,CHENNAI,Masoor Dal,1.0
16-10-08,T.PURAM,Masoor Dal,47.0
17-10-08,T.PURAM,Masoor Dal,47.0
20-10-08,T.PURAM,Masoor Dal,47.0
21-10-08,T.PURAM,Masoor Dal,47.0
22-10-08,T.PURAM,Masoor Dal,47.0
23-10-08,T.PURAM,Masoor Dal,47.0
24-10-08,T.PURAM,Masoor Dal,47.0
24-10-08,CHENNAI,Masoor Dal,1.0
27-10-08,T.PURAM,Masoor Dal,47.0
29-10-08,T.PURAM,Masoor Dal,47.0
30-10-08,T.PURAM,Masoor Dal,47.0
31-10-08,T.PURAM,Masoor Dal,47.0
03-11-08,T.PURAM,Masoor Dal,47.0
03-11-08,HYDERABAD,Masoor Dal,52.0
04-11-08,T.PURAM,Masoor Dal,47.0
04-11-08,HYDERABAD,Masoor Dal,52.0
05-11-08,T.PURAM,Masoor Dal,47.0
05-11-08,HYDERABAD,Masoor Dal,52.0
06-11-08,T.PURAM,Masoor Dal,47.0
06-11-08,HYDERABAD,Masoor Dal,52.0
07-11-08,T.PURAM,Masoor Dal,47.0
07-11-08,HYDERABAD,Masoor Dal,52.0
10-11-08,T.PURAM,Masoor Dal,47.0
10-11-08,HYDERABAD,Masoor Dal,52.0
11-11-08,T.PURAM,Masoor Dal,47.0
11-11-08,CHENNAI,Masoor Dal,1.0
11-11-08,HYDERABAD,Masoor Dal,52.0
12-11-08,T.PURAM,Masoor Dal,47.0
12-11-08,HYDERABAD,Masoor Dal,52.0
14-11-08,T.PURAM,Masoor Dal,47.0
14-11-08,HYDERABAD,Masoor Dal,52.0
17-11-08,T.PURAM,Masoor Dal,47.0
17-11-08,HYDERABAD,Masoor Dal,52.0
18-11-08,T.PURAM,Masoor Dal,47.0
18-11-08,HYDERABAD,Masoor Dal,52.0
19-11-08,T.PURAM,Masoor Dal,47.0
19-11-08,CHENNAI,Masoor Dal,1.0
19-11-08,HYDERABAD,Masoor Dal,52.0
20-11-08,T.PURAM,Masoor Dal,47.0
20-11-08,HYDERABAD,Masoor Dal,52.0
21-11-08,T.PURAM,Masoor Dal,47.0
21-11-08,HYDERABAD,Masoor Dal,52.0
24-11-08,T.PURAM,Masoor Dal,47.0
24-11-08,HYDERABAD,Masoor Dal,52.0
25-11-08,T.PURAM,Masoor Dal,47.0
25-11-08,HYDERABAD,Masoor Dal,52.0
26-11-08,T.PURAM,Masoor Dal,47.0
26-11-08,CHENNAI,Masoor Dal,1.0
26-11-08,HYDERABAD,Masoor Dal,52.0
27-11-08,T.PURAM,Masoor Dal,47.0
27-11-08,CHENNAI,Masoor Dal,1.0
27-11-08,HYDERABAD,Masoor Dal,52.0
28-11-08,T.PURAM,Masoor Dal,47.0
28-11-08,CHENNAI,Masoor Dal,1.0
28-11-08,HYDERABAD,Masoor Dal,52.0
01-12-08,T.PURAM,Masoor Dal,47.0
01-12-08,HYDERABAD,Masoor Dal,52.0
02-12-08,T.PURAM,Masoor Dal,47.0
02-12-08,HYDERABAD,Masoor Dal,52.0
03-12-08,T.PURAM,Masoor Dal,47.0
03-12-08,HYDERABAD,Masoor Dal,52.0
04-12-08,T.PURAM,Masoor Dal,47.0
04-12-08,HYDERABAD,Masoor Dal,52.0
05-12-08,T.PURAM,Masoor Dal,47.0
05-12-08,HYDERABAD,Masoor Dal,52.0
08-12-08,T.PURAM,Masoor Dal,47.0
08-12-08,HYDERABAD,Masoor Dal,52.0
10-12-08,T.PURAM,Masoor Dal,47.0
10-12-08,HYDERABAD,Masoor Dal,52.0
11-12-08,T.PURAM,Masoor Dal,47.0
11-12-08,HYDERABAD,Masoor Dal,52.0
12-12-08,T.PURAM,Masoor Dal,47.0
12-12-08,HYDERABAD,Masoor Dal,52.0
15-12-08,T.PURAM,Masoor Dal,47.0
15-12-08,HYDERABAD,Masoor Dal,52.0
16-12-08,T.PURAM,Masoor Dal,47.0
16-12-08,HYDERABAD,Masoor Dal,52.0
17-12-08,T.PURAM,Masoor Dal,47.0
17-12-08,HYDERABAD,Masoor Dal,52.0
18-12-08,T.PURAM,Masoor Dal,47.0
18-12-08,HYDERABAD,Masoor Dal,52.0
19-12-08,T.PURAM,Masoor Dal,47.0
