Date,Centre_Name,Commodity_Name,Price
25-11-97,BENGALURU,Onion,6.0
25-11-97,T.PURAM,Onion,6.5
25-11-97,CHENNAI,Onion,5.0
25-11-97,HYDERABAD,Onion,6.0
26-11-97,BENGALURU,Onion,6.0
26-11-97,HYDERABAD,Onion,7.0
27-11-97,BENGALURU,Onion,6.0
27-11-97,T.PURAM,Onion,8.5
27-11-97,CHENNAI,Onion,7.0
27-11-97,HYDERABAD,Onion,7.0
28-11-97,BENGALURU,Onion,6.0
28-11-97,T.PURAM,Onion,8.5
28-11-97,CHENNAI,Onion,7.0
28-11-97,HYDERABAD,Onion,7.0
01-12-97,BENGALURU,Onion,6.0
01-12-97,T.PURAM,Onion,8.5
01-12-97,CHENNAI,Onion,7.0
01-12-97,HYDERABAD,Onion,7.0
02-12-97,BENGALURU,Onion,6.0
02-12-97,CHENNAI,Onion,7.0
02-12-97,HYDERABAD,Onion,7.0
03-12-97,BENGALURU,Onion,6.0
03-12-97,CHENNAI,Onion,7.0
03-12-97,HYDERABAD,Onion,7.0
04-12-97,BENGALURU,Onion,6.0
04-12-97,CHENNAI,Onion,7.0
04-12-97,HYDERABAD,Onion,7.0
05-12-97,T.PURAM,Onion,11.0
05-12-97,HYDERABAD,Onion,9.5
08-12-97,T.PURAM,Onion,11.0
08-12-97,CHENNAI,Onion,8.0
08-12-97,HYDERABAD,Onion,9.5
09-12-97,T.PURAM,Onion,11.0
09-12-97,CHENNAI,Onion,8.0
09-12-97,HYDERABAD,Onion,9.5
10-12-97,T.PURAM,Onion,11.0
10-12-97,CHENNAI,Onion,8.0
10-12-97,HYDERABAD,Onion,6.5
11-12-97,T.PURAM,Onion,11.0
11-12-97,CHENNAI,Onion,13.0
11-12-97,HYDERABAD,Onion,6.5
12-12-97,T.PURAM,Onion,11.0
12-12-97,CHENNAI,Onion,13.0
12-12-97,HYDERABAD,Onion,8.0
15-12-97,T.PURAM,Onion,11.0
15-12-97,CHENNAI,Onion,13.0
15-12-97,HYDERABAD,Onion,8.0
16-12-97,BENGALURU,Onion,10.0
16-12-97,T.PURAM,Onion,11.0
16-12-97,CHENNAI,Onion,13.0
16-12-97,HYDERABAD,Onion,8.0
17-12-97,BENGALURU,Onion,12.0
17-12-97,T.PURAM,Onion,11.0
17-12-97,CHENNAI,Onion,13.0
17-12-97,HYDERABAD,Onion,8.0
18-12-97,BENGALURU,Onion,12.0
18-12-97,T.PURAM,Onion,11.0
18-12-97,CHENNAI,Onion,13.0
18-12-97,HYDERABAD,Onion,8.0
19-12-97,BENGALURU,Onion,12.0
19-12-97,T.PURAM,Onion,15.0
19-12-97,CHENNAI,Onion,13.0
19-12-97,HYDERABAD,Onion,8.0
22-12-97,BENGALURU,Onion,10.0
22-12-97,T.PURAM,Onion,15.0
22-12-97,CHENNAI,Onion,13.0
22-12-97,HYDERABAD,Onion,8.0
23-12-97,BENGALURU,Onion,10.0
23-12-97,T.PURAM,Onion,15.0
23-12-97,CHENNAI,Onion,13.0
23-12-97,HYDERABAD,Onion,8.0
24-12-97,BENGALURU,Onion,10.0
24-12-97,T.PURAM,Onion,15.0
24-12-97,CHENNAI,Onion,13.0
24-12-97,HYDERABAD,Onion,11.0
26-12-97,BENGALURU,Onion,10.0
26-12-97,T.PURAM,Onion,15.0
26-12-97,HYDERABAD,Onion,11.0
29-12-97,BENGALURU,Onion,10.0
29-12-97,T.PURAM,Onion,15.0
29-12-97,CHENNAI,Onion,13.0
29-12-97,HYDERABAD,Onion,11.0
30-12-97,BENGALURU,Onion,10.0
30-12-97,T.PURAM,Onion,15.0
30-12-97,CHENNAI,Onion,13.0
30-12-97,HYDERABAD,Onion,16.0
31-12-97,BENGALURU,Onion,12.0
31-12-97,T.PURAM,Onion,15.0
31-12-97,CHENNAI,Onion,13.0
31-12-97,HYDERABAD,Onion,16.0
01-01-98,BENGALURU,Onion,10.0
01-01-98,T.PURAM,Onion,15.0
01-01-98,CHENNAI,Onion,13.0
01-01-98,HYDERABAD,Onion,16.0
02-01-98,BENGALURU,Onion,10.0
02-01-98,T.PURAM,Onion,15.0
02-01-98,HYDERABAD,Onion,16.0
05-01-98,BENGALURU,Onion,10.0
05-01-98,T.PURAM,Onion,20.0
05-01-98,HYDERABAD,Onion,16.0
06-01-98,BENGALURU,Onion,10.0
06-01-98,T.PURAM,Onion,18.0
06-01-98,HYDERABAD,Onion,16.0
07-01-98,BENGALURU,Onion,10.0
07-01-98,T.PURAM,Onion,18.0
