Date,Centre_Name,Commodity_Name,Price
07-11-08,BENGALURU,Palm Oil (Packed),41.0
07-11-08,T.PURAM,Palm Oil (Packed),37.0
10-11-08,BENGALURU,Palm Oil (Packed),41.0
10-11-08,T.PURAM,Palm Oil (Packed),37.0
11-11-08,BENGALURU,Palm Oil (Packed),41.0
11-11-08,T.PURAM,Palm Oil (Packed),37.0
12-11-08,BENGALURU,Palm Oil (Packed),41.0
12-11-08,T.PURAM,Palm Oil (Packed),37.0
14-11-08,BENGALURU,Palm Oil (Packed),41.0
14-11-08,T.PURAM,Palm Oil (Packed),37.0
17-11-08,BENGALURU,Palm Oil (Packed),41.0
17-11-08,T.PURAM,Palm Oil (Packed),37.0
18-11-08,BENGALURU,Palm Oil (Packed),41.0
18-11-08,T.PURAM,Palm Oil (Packed),37.0
19-11-08,BENGALURU,Palm Oil (Packed),41.0
19-11-08,T.PURAM,Palm Oil (Packed),37.0
20-11-08,BENGALURU,Palm Oil (Packed),41.0
20-11-08,T.PURAM,Palm Oil (Packed),37.0
21-11-08,BENGALURU,Palm Oil (Packed),41.0
21-11-08,T.PURAM,Palm Oil (Packed),37.0
24-11-08,BENGALURU,Palm Oil (Packed),41.0
24-11-08,T.PURAM,Palm Oil (Packed),37.0
25-11-08,BENGALURU,Palm Oil (Packed),41.0
25-11-08,T.PURAM,Palm Oil (Packed),37.0
26-11-08,BENGALURU,Palm Oil (Packed),41.0
26-11-08,T.PURAM,Palm Oil (Packed),37.0
27-11-08,BENGALURU,Palm Oil (Packed),41.0
27-11-08,T.PURAM,Palm Oil (Packed),37.0
28-11-08,BENGALURU,Palm Oil (Packed),41.0
28-11-08,T.PURAM,Palm Oil (Packed),37.0
01-12-08,BENGALURU,Palm Oil (Packed),41.0
01-12-08,T.PURAM,Palm Oil (Packed),37.0
02-12-08,BENGALURU,Palm Oil (Packed),41.0
02-12-08,T.PURAM,Palm Oil (Packed),37.0
03-12-08,BENGALURU,Palm Oil (Packed),41.0
03-12-08,T.PURAM,Palm Oil (Packed),37.0
04-12-08,BENGALURU,Palm Oil (Packed),41.0
04-12-08,T.PURAM,Palm Oil (Packed),37.0
05-12-08,BENGALURU,Palm Oil (Packed),41.0
05-12-08,T.PURAM,Palm Oil (Packed),37.0
08-12-08,BENGALURU,Palm Oil (Packed),41.0
08-12-08,T.PURAM,Palm Oil (Packed),37.0
10-12-08,BENGALURU,Palm Oil (Packed),41.0
10-12-08,T.PURAM,Palm Oil (Packed),37.0
11-12-08,BENGALURU,Palm Oil (Packed),41.0
11-12-08,T.PURAM,Palm Oil (Packed),37.0
12-12-08,BENGALURU,Palm Oil (Packed),41.0
12-12-08,T.PURAM,Palm Oil (Packed),37.0
15-12-08,BENGALURU,Palm Oil (Packed),41.0
15-12-08,T.PURAM,Palm Oil (Packed),37.0
16-12-08,BENGALURU,Palm Oil (Packed),41.0
16-12-08,T.PURAM,Palm Oil (Packed),37.0
17-12-08,BENGALURU,Palm Oil (Packed),41.0
17-12-08,T.PURAM,Palm Oil (Packed),37.0
18-12-08,BENGALURU,Palm Oil (Packed),41.0
18-12-08,T.PURAM,Palm Oil (Packed),37.0
19-12-08,BENGALURU,Palm Oil (Packed),41.0
19-12-08,T.PURAM,Palm Oil (Packed),37.0
22-12-08,BENGALURU,Palm Oil (Packed),41.0
22-12-08,T.PURAM,Palm Oil (Packed),37.0
23-12-08,BENGALURU,Palm Oil (Packed),41.0
23-12-08,T.PURAM,Palm Oil (Packed),37.0
24-12-08,BENGALURU,Palm Oil (Packed),41.0
24-12-08,T.PURAM,Palm Oil (Packed),37.0
26-12-08,BENGALURU,Palm Oil (Packed),41.0
26-12-08,T.PURAM,Palm Oil (Packed),37.0
29-12-08,BENGALURU,Palm Oil (Packed),41.0
29-12-08,T.PURAM,Palm Oil (Packed),37.0
30-12-08,BENGALURU,Palm Oil (Packed),41.0
30-12-08,T.PURAM,Palm Oil (Packed),37.0
31-12-08,BENGALURU,Palm Oil (Packed),41.0
31-12-08,T.PURAM,Palm Oil (Packed),37.0
01-01-09,BENGALURU,Palm Oil (Packed),41.0
01-01-09,T.PURAM,Palm Oil (Packed),37.0
02-01-09,BENGALURU,Palm Oil (Packed),41.0
02-01-09,T.PURAM,Palm Oil (Packed),37.0
05-01-09,BENGALURU,Palm Oil (Packed),41.0
05-01-09,T.PURAM,Palm Oil (Packed),37.0
06-01-09,BENGALURU,Palm Oil (Packed),41.0
06-01-09,T.PURAM,Palm Oil (Packed),37.0
07-01-09,BENGALURU,Palm Oil (Packed),41.0
07-01-09,T.PURAM,Palm Oil (Packed),37.0
09-01-09,BENGALURU,Palm Oil (Packed),41.0
09-01-09,T.PURAM,Palm Oil (Packed),37.0
09-01-09,CHENNAI,Palm Oil (Packed),36.0
12-01-09,BENGALURU,Palm Oil (Packed),41.0
12-01-09,T.PURAM,Palm Oil (Packed),37.0
12-01-09,CHENNAI,Palm Oil (Packed),36.0
13-01-09,BENGALURU,Palm Oil (Packed),41.0
13-01-09,T.PURAM,Palm Oil (Packed),37.0
13-01-09,CHENNAI,Palm Oil (Packed),36.0
14-01-09,BENGALURU,Palm Oil (Packed),41.0
14-01-09,T.PURAM,Palm Oil (Packed),37.0
14-01-09,CHENNAI,Palm Oil (Packed),36.0
15-01-09,BENGALURU,Palm Oil (Packed),41.0
15-01-09,T.PURAM,Palm Oil (Packed),37.0
15-01-09,CHENNAI,Palm Oil (Packed),36.0
16-01-09,BENGALURU,Palm Oil (Packed),41.0
16-01-09,T.PURAM,Palm Oil (Packed),37.0
16-01-09,CHENNAI,Palm Oil (Packed),36.0
19-01-09,BENGALURU,Palm Oil (Packed),41.0
19-01-09,T.PURAM,Palm Oil (Packed),37.0
19-01-09,CHENNAI,Palm Oil (Packed),36.0
20-01-09,BENGALURU,Palm Oil (Packed),41.0
20-01-09,T.PURAM,Palm Oil (Packed),37.0
20-01-09,CHENNAI,Palm Oil (Packed),36.0
21-01-09,BENGALURU,Palm Oil (Packed),41.0
21-01-09,T.PURAM,Palm Oil (Packed),37.0
21-01-09,CHENNAI,Palm Oil (Packed),36.0
22-01-09,BENGALURU,Palm Oil (Packed),41.0
22-01-09,T.PURAM,Palm Oil (Packed),37.0
22-01-09,CHENNAI,Palm Oil (Packed),36.0
23-01-09,BENGALURU,Palm Oil (Packed),41.0
23-01-09,T.PURAM,Palm Oil (Packed),37.0
23-01-09,CHENNAI,Palm Oil (Packed),36.0
27-01-09,BENGALURU,Palm Oil (Packed),41.0
27-01-09,T.PURAM,Palm Oil (Packed),37.0
27-01-09,CHENNAI,Palm Oil (Packed),36.0
28-01-09,BENGALURU,Palm Oil (Packed),41.0
28-01-09,T.PURAM,Palm Oil (Packed),37.0
28-01-09,CHENNAI,Palm Oil (Packed),36.0
29-01-09,BENGALURU,Palm Oil (Packed),41.0
29-01-09,T.PURAM,Palm Oil (Packed),37.0
29-01-09,CHENNAI,Palm Oil (Packed),36.0
30-01-09,BENGALURU,Palm Oil (Packed),41.0
30-01-09,T.PURAM,Palm Oil (Packed),37.0
30-01-09,CHENNAI,Palm Oil (Packed),36.0
02-02-09,BENGALURU,Palm Oil (Packed),41.0
02-02-09,T.PURAM,Palm Oil (Packed),37.0
02-02-09,CHENNAI,Palm Oil (Packed),36.0
03-02-09,BENGALURU,Palm Oil (Packed),41.0
03-02-09,T.PURAM,Palm Oil (Packed),37.0
03-02-09,CHENNAI,Palm Oil (Packed),36.0
04-02-09,BENGALURU,Palm Oil (Packed),41.0
04-02-09,T.PURAM,Palm Oil (Packed),37.0
04-02-09,CHENNAI,Palm Oil (Packed),36.0
05-02-09,BENGALURU,Palm Oil (Packed),41.0
05-02-09,T.PURAM,Palm Oil (Packed),37.0
05-02-09,CHENNAI,Palm Oil (Packed),36.0
06-02-09,BENGALURU,Palm Oil (Packed),41.0
06-02-09,T.PURAM,Palm Oil (Packed),37.0
06-02-09,CHENNAI,Palm Oil (Packed),36.0
09-02-09,BENGALURU,Palm Oil (Packed),41.0
09-02-09,T.PURAM,Palm Oil (Packed),37.0
09-02-09,CHENNAI,Palm Oil (Packed),36.0
10-02-09,BENGALURU,Palm Oil (Packed),41.0
10-02-09,T.PURAM,Palm Oil (Packed),37.0
10-02-09,CHENNAI,Palm Oil (Packed),36.0
11-02-09,BENGALURU,Palm Oil (Packed),41.0
11-02-09,T.PURAM,Palm Oil (Packed),37.0
11-02-09,CHENNAI,Palm Oil (Packed),36.0
12-02-09,BENGALURU,Palm Oil (Packed),41.0
12-02-09,T.PURAM,Palm Oil (Packed),37.0
12-02-09,CHENNAI,Palm Oil (Packed),36.0
13-02-09,BENGALURU,Palm Oil (Packed),41.0
13-02-09,T.PURAM,Palm Oil (Packed),37.0
13-02-09,CHENNAI,Palm Oil (Packed),36.0
16-02-09,BENGALURU,Palm Oil (Packed),41.0
16-02-09,T.PURAM,Palm Oil (Packed),37.0
16-02-09,CHENNAI,Palm Oil (Packed),36.0
17-02-09,BENGALURU,Palm Oil (Packed),41.0
17-02-09,T.PURAM,Palm Oil (Packed),37.0
17-02-09,CHENNAI,Palm Oil (Packed),36.0
18-02-09,BENGALURU,Palm Oil (Packed),41.0
18-02-09,T.PURAM,Palm Oil (Packed),37.0
18-02-09,CHENNAI,Palm Oil (Packed),36.0
19-02-09,BENGALURU,Palm Oil (Packed),41.0
19-02-09,T.PURAM,Palm Oil (Packed),37.0
19-02-09,CHENNAI,Palm Oil (Packed),36.0
20-02-09,BENGALURU,Palm Oil (Packed),41.0
20-02-09,T.PURAM,Palm Oil (Packed),37.0
20-02-09,CHENNAI,Palm Oil (Packed),36.0
23-02-09,BENGALURU,Palm Oil (Packed),41.0
23-02-09,T.PURAM,Palm Oil (Packed),37.0
23-02-09,CHENNAI,Palm Oil (Packed),36.0
24-02-09,BENGALURU,Palm Oil (Packed),41.0
24-02-09,T.PURAM,Palm Oil (Packed),37.0
24-02-09,CHENNAI,Palm Oil (Packed),36.0
25-02-09,BENGALURU,Palm Oil (Packed),41.0
25-02-09,T.PURAM,Palm Oil (Packed),37.0
25-02-09,CHENNAI,Palm Oil (Packed),36.0
26-02-09,BENGALURU,Palm Oil (Packed),41.0
26-02-09,T.PURAM,Palm Oil (Packed),37.0
26-02-09,CHENNAI,Palm Oil (Packed),36.0
27-02-09,BENGALURU,Palm Oil (Packed),41.0
27-02-09,T.PURAM,Palm Oil (Packed),37.0
27-02-09,CHENNAI,Palm Oil (Packed),36.0
02-03-09,BENGALURU,Palm Oil (Packed),41.0
02-03-09,T.PURAM,Palm Oil (Packed),37.0
02-03-09,CHENNAI,Palm Oil (Packed),36.0
03-03-09,BENGALURU,Palm Oil (Packed),41.0
03-03-09,T.PURAM,Palm Oil (Packed),37.0
03-03-09,CHENNAI,Palm Oil (Packed),36.0
04-03-09,BENGALURU,Palm Oil (Packed),41.0
04-03-09,T.PURAM,Palm Oil (Packed),37.0
04-03-09,CHENNAI,Palm Oil (Packed),36.0
05-03-09,BENGALURU,Palm Oil (Packed),41.0
05-03-09,T.PURAM,Palm Oil (Packed),37.0
05-03-09,CHENNAI,Palm Oil (Packed),36.0
06-03-09,BENGALURU,Palm Oil (Packed),41.0
06-03-09,T.PURAM,Palm Oil (Packed),37.0
06-03-09,CHENNAI,Palm Oil (Packed),36.0
09-03-09,BENGALURU,Palm Oil (Packed),41.0
09-03-09,T.PURAM,Palm Oil (Packed),37.0
09-03-09,CHENNAI,Palm Oil (Packed),36.0
12-03-09,BENGALURU,Palm Oil (Packed),41.0
12-03-09,T.PURAM,Palm Oil (Packed),39.0
12-03-09,CHENNAI,Palm Oil (Packed),36.0
13-03-09,BENGALURU,Palm Oil (Packed),41.0
13-03-09,T.PURAM,Palm Oil (Packed),39.0
13-03-09,CHENNAI,Palm Oil (Packed),36.0
16-03-09,BENGALURU,Palm Oil (Packed),41.0
16-03-09,T.PURAM,Palm Oil (Packed),39.0
16-03-09,CHENNAI,Palm Oil (Packed),36.0
17-03-09,BENGALURU,Palm Oil (Packed),41.0
17-03-09,T.PURAM,Palm Oil (Packed),39.0
17-03-09,CHENNAI,Palm Oil (Packed),36.0
18-03-09,BENGALURU,Palm Oil (Packed),41.0
18-03-09,T.PURAM,Palm Oil (Packed),39.0
18-03-09,CHENNAI,Palm Oil (Packed),36.0
19-03-09,BENGALURU,Palm Oil (Packed),41.0
19-03-09,T.PURAM,Palm Oil (Packed),39.0
19-03-09,CHENNAI,Palm Oil (Packed),36.0
20-03-09,BENGALURU,Palm Oil (Packed),41.0
20-03-09,T.PURAM,Palm Oil (Packed),39.0
20-03-09,CHENNAI,Palm Oil (Packed),36.0
23-03-09,BENGALURU,Palm Oil (Packed),41.0
23-03-09,T.PURAM,Palm Oil (Packed),39.0
23-03-09,CHENNAI,Palm Oil (Packed),36.0
24-03-09,BENGALURU,Palm Oil (Packed),41.0
24-03-09,T.PURAM,Palm Oil (Packed),39.0
24-03-09,CHENNAI,Palm Oil (Packed),36.0
25-03-09,BENGALURU,Palm Oil (Packed),41.0
25-03-09,T.PURAM,Palm Oil (Packed),39.0
25-03-09,CHENNAI,Palm Oil (Packed),36.0
26-03-09,BENGALURU,Palm Oil (Packed),41.0
26-03-09,T.PURAM,Palm Oil (Packed),39.0
26-03-09,CHENNAI,Palm Oil (Packed),36.0
27-03-09,BENGALURU,Palm Oil (Packed),41.0
27-03-09,T.PURAM,Palm Oil (Packed),39.0
27-03-09,CHENNAI,Palm Oil (Packed),39.0
30-03-09,BENGALURU,Palm Oil (Packed),41.0
30-03-09,T.PURAM,Palm Oil (Packed),39.0
30-03-09,CHENNAI,Palm Oil (Packed),39.0
31-03-09,BENGALURU,Palm Oil (Packed),41.0
31-03-09,T.PURAM,Palm Oil (Packed),39.0
31-03-09,CHENNAI,Palm Oil (Packed),39.0
01-04-09,BENGALURU,Palm Oil (Packed),41.0
01-04-09,T.PURAM,Palm Oil (Packed),39.0
01-04-09,CHENNAI,Palm Oil (Packed),39.0
02-04-09,BENGALURU,Palm Oil (Packed),41.0
02-04-09,T.PURAM,Palm Oil (Packed),39.0
02-04-09,CHENNAI,Palm Oil (Packed),39.0
06-04-09,BENGALURU,Palm Oil (Packed),41.0
06-04-09,T.PURAM,Palm Oil (Packed),39.0
06-04-09,CHENNAI,Palm Oil (Packed),39.0
08-04-09,BENGALURU,Palm Oil (Packed),41.0
08-04-09,T.PURAM,Palm Oil (Packed),40.0
08-04-09,CHENNAI,Palm Oil (Packed),39.0
09-04-09,BENGALURU,Palm Oil (Packed),41.0
09-04-09,T.PURAM,Palm Oil (Packed),40.0
09-04-09,CHENNAI,Palm Oil (Packed),39.0
13-04-09,BENGALURU,Palm Oil (Packed),41.0
13-04-09,T.PURAM,Palm Oil (Packed),40.0
