Date,Centre_Name,Commodity_Name,Price
25-11-97,BENGALURU,Rice,9.0
25-11-97,T.PURAM,Rice,11.5
25-11-97,CHENNAI,Rice,9.0
25-11-97,HYDERABAD,Rice,7.5
26-11-97,BENGALURU,Rice,9.0
26-11-97,T.PURAM,Rice,11.5
26-11-97,HYDERABAD,Rice,8.0
27-11-97,BENGALURU,Rice,9.0
27-11-97,T.PURAM,Rice,11.5
27-11-97,CHENNAI,Rice,9.0
27-11-97,HYDERABAD,Rice,8.0
28-11-97,BENGALURU,Rice,9.0
28-11-97,T.PURAM,Rice,11.5
28-11-97,CHENNAI,Rice,9.0
28-11-97,HYDERABAD,Rice,8.0
01-12-97,BENGALURU,Rice,9.0
01-12-97,T.PURAM,Rice,11.5
01-12-97,CHENNAI,Rice,9.0
01-12-97,HYDERABAD,Rice,8.0
02-12-97,BENGALURU,Rice,9.0
02-12-97,T.PURAM,Rice,11.5
02-12-97,CHENNAI,Rice,9.0
02-12-97,HYDERABAD,Rice,8.0
03-12-97,BENGALURU,Rice,9.0
03-12-97,T.PURAM,Rice,11.5
03-12-97,CHENNAI,Rice,9.0
03-12-97,HYDERABAD,Rice,8.0
04-12-97,BENGALURU,Rice,9.0
04-12-97,T.PURAM,Rice,11.5
04-12-97,CHENNAI,Rice,9.0
04-12-97,HYDERABAD,Rice,8.0
05-12-97,T.PURAM,Rice,11.5
05-12-97,HYDERABAD,Rice,8.0
08-12-97,T.PURAM,Rice,11.5
08-12-97,CHENNAI,Rice,10.0
08-12-97,HYDERABAD,Rice,8.0
09-12-97,T.PURAM,Rice,11.5
09-12-97,CHENNAI,Rice,10.0
09-12-97,HYDERABAD,Rice,8.0
10-12-97,T.PURAM,Rice,11.5
10-12-97,CHENNAI,Rice,10.0
10-12-97,HYDERABAD,Rice,8.0
11-12-97,T.PURAM,Rice,11.5
11-12-97,CHENNAI,Rice,10.5
11-12-97,HYDERABAD,Rice,8.0
12-12-97,T.PURAM,Rice,11.5
12-12-97,CHENNAI,Rice,10.5
12-12-97,HYDERABAD,Rice,8.0
15-12-97,T.PURAM,Rice,11.5
15-12-97,CHENNAI,Rice,10.5
15-12-97,HYDERABAD,Rice,8.0
16-12-97,BENGALURU,Rice,10.0
16-12-97,T.PURAM,Rice,11.5
16-12-97,CHENNAI,Rice,10.5
16-12-97,HYDERABAD,Rice,8.0
17-12-97,BENGALURU,Rice,10.0
17-12-97,T.PURAM,Rice,11.5
17-12-97,CHENNAI,Rice,10.5
17-12-97,HYDERABAD,Rice,8.0
18-12-97,BENGALURU,Rice,10.0
18-12-97,T.PURAM,Rice,11.5
18-12-97,CHENNAI,Rice,10.5
18-12-97,HYDERABAD,Rice,8.0
19-12-97,BENGALURU,Rice,10.0
19-12-97,T.PURAM,Rice,12.0
19-12-97,CHENNAI,Rice,10.5
19-12-97,HYDERABAD,Rice,8.0
22-12-97,BENGALURU,Rice,10.0
22-12-97,T.PURAM,Rice,12.0
22-12-97,CHENNAI,Rice,10.5
22-12-97,HYDERABAD,Rice,8.0
23-12-97,BENGALURU,Rice,10.0
23-12-97,T.PURAM,Rice,12.0
23-12-97,CHENNAI,Rice,10.0
23-12-97,HYDERABAD,Rice,8.0
24-12-97,BENGALURU,Rice,9.0
24-12-97,T.PURAM,Rice,12.0
24-12-97,CHENNAI,Rice,10.0
24-12-97,HYDERABAD,Rice,8.0
26-12-97,BENGALURU,Rice,9.0
26-12-97,T.PURAM,Rice,12.0
26-12-97,HYDERABAD,Rice,8.0
29-12-97,BENGALURU,Rice,9.0
29-12-97,T.PURAM,Rice,12.0
29-12-97,CHENNAI,Rice,10.0
29-12-97,HYDERABAD,Rice,8.0
30-12-97,BENGALURU,Rice,9.0
30-12-97,T.PURAM,Rice,12.0
30-12-97,CHENNAI,Rice,10.0
30-12-97,HYDERABAD,Rice,8.5
31-12-97,BENGALURU,Rice,9.0
31-12-97,T.PURAM,Rice,12.0
31-12-97,CHENNAI,Rice,10.0
31-12-97,HYDERABAD,Rice,8.5
01-01-98,BENGALURU,Rice,9.0
01-01-98,T.PURAM,Rice,12.0
01-01-98,CHENNAI,Rice,10.0
01-01-98,HYDERABAD,Rice,8.5
02-01-98,BENGALURU,Rice,9.0
02-01-98,T.PURAM,Rice,12.0
02-01-98,HYDERABAD,Rice,8.5
05-01-98,BENGALURU,Rice,9.0
05-01-98,T.PURAM,Rice,12.0
05-01-98,HYDERABAD,Rice,8.5
