Date,Centre_Name,Commodity_Name,Price
25-11-97,BENGALURU,Tur/Arhar Dal,22.0
25-11-97,T.PURAM,Tur/Arhar Dal,27.0
25-11-97,CHENNAI,Tur/Arhar Dal,24.0
25-11-97,HYDERABAD,Tur/Arhar Dal,18.0
26-11-97,BENGALURU,Tur/Arhar Dal,22.0
26-11-97,T.PURAM,Tur/Arhar Dal,27.0
26-11-97,HYDERABAD,Tur/Arhar Dal,19.0
27-11-97,BENGALURU,Tur/Arhar Dal,22.0
27-11-97,T.PURAM,Tur/Arhar Dal,27.0
27-11-97,CHENNAI,Tur/Arhar Dal,24.0
27-11-97,HYDERABAD,Tur/Arhar Dal,19.0
28-11-97,BENGALURU,Tur/Arhar Dal,22.0
28-11-97,T.PURAM,Tur/Arhar Dal,27.0
28-11-97,CHENNAI,Tur/Arhar Dal,24.0
28-11-97,HYDERABAD,Tur/Arhar Dal,19.0
01-12-97,BENGALURU,Tur/Arhar Dal,22.0
01-12-97,T.PURAM,Tur/Arhar Dal,27.0
01-12-97,CHENNAI,Tur/Arhar Dal,24.0
01-12-97,HYDERABAD,Tur/Arhar Dal,19.0
02-12-97,BENGALURU,Tur/Arhar Dal,22.0
02-12-97,T.PURAM,Tur/Arhar Dal,27.0
02-12-97,CHENNAI,Tur/Arhar Dal,24.0
02-12-97,HYDERABAD,Tur/Arhar Dal,19.0
03-12-97,BENGALURU,Tur/Arhar Dal,22.0
03-12-97,T.PURAM,Tur/Arhar Dal,27.0
03-12-97,CHENNAI,Tur/Arhar Dal,24.0
03-12-97,HYDERABAD,Tur/Arhar Dal,19.0
04-12-97,BENGALURU,Tur/Arhar Dal,22.0
04-12-97,T.PURAM,Tur/Arhar Dal,27.0
04-12-97,CHENNAI,Tur/Arhar Dal,24.0
04-12-97,HYDERABAD,Tur/Arhar Dal,19.0
05-12-97,T.PURAM,Tur/Arhar Dal,27.0
05-12-97,HYDERABAD,Tur/Arhar Dal,19.0
08-12-97,T.PURAM,Tur/Arhar Dal,27.0
08-12-97,CHENNAI,Tur/Arhar Dal,24.0
08-12-97,HYDERABAD,Tur/Arhar Dal,19.0
09-12-97,T.PURAM,Tur/Arhar Dal,27.0
09-12-97,CHENNAI,Tur/Arhar Dal,24.0
09-12-97,HYDERABAD,Tur/Arhar Dal,19.0
10-12-97,T.PURAM,Tur/Arhar Dal,27.0
10-12-97,CHENNAI,Tur/Arhar Dal,24.0
10-12-97,HYDERABAD,Tur/Arhar Dal,19.0
11-12-97,T.PURAM,Tur/Arhar Dal,27.0
11-12-97,CHENNAI,Tur/Arhar Dal,24.0
11-12-97,HYDERABAD,Tur/Arhar Dal,21.0
