Date,Centre_Name,Commodity_Name,Price,Month
2008-10-15,BENGALURU,Brinjal,14.0,2008-10
2008-10-16,BENGALURU,Brinjal,14.0,2008-10
2008-10-17,BENGALURU,Brinjal,14.0,2008-10
2008-10-20,BENGALURU,Brinjal,14.0,2008-10
2008-10-21,BENGALURU,Brinjal,14.0,2008-10
2008-10-22,BENGALURU,Brinjal,14.0,2008-10
2008-10-23,BENGALURU,Brinjal,14.0,2008-10
2008-10-24,BENGALURU,Brinjal,14.0,2008-10
2008-10-27,BENGALURU,Brinjal,14.0,2008-10
2008-10-29,BENGALURU,Brinjal,14.0,2008-10
2008-10-30,BENGALURU,Brinjal,14.0,2008-10
2008-10-31,BENGALURU,Brinjal,14.0,2008-10
2008-03-11,BENGALURU,Brinjal,14.0,2008-03
2008-04-11,BENGALURU,Brinjal,14.0,2008-04
2008-05-11,BENGALURU,Brinjal,14.0,2008-05
2008-06-11,BENGALURU,Brinjal,14.0,2008-06
2008-07-11,BENGALURU,Brinjal,14.0,2008-07
2008-07-11,T.PURAM,Brinjal,35.0,2008-07
2008-10-11,BENGALURU,Brinjal,14.0,2008-10
2008-10-11,T.PURAM,Brinjal,35.0,2008-10
2008-11-11,BENGALURU,Brinjal,14.0,2008-11
2008-11-11,T.PURAM,Brinjal,35.0,2008-11
2008-12-11,BENGALURU,Brinjal,14.0,2008-12
2008-12-11,T.PURAM,Brinjal,35.0,2008-12
2008-11-14,BENGALURU,Brinjal,14.0,2008-11
2008-11-14,T.PURAM,Brinjal,35.0,2008-11
2008-11-17,BENGALURU,Brinjal,14.0,2008-11
2008-11-17,T.PURAM,Brinjal,35.0,2008-11
2008-11-18,BENGALURU,Brinjal,14.0,2008-11
2008-11-18,T.PURAM,Brinjal,35.0,2008-11
2008-11-19,BENGALURU,Brinjal,14.0,2008-11
2008-11-19,T.PURAM,Brinjal,35.0,2008-11
2008-11-20,BENGALURU,Brinjal,14.0,2008-11
2008-11-20,T.PURAM,Brinjal,35.0,2008-11
2008-11-21,BENGALURU,Brinjal,14.0,2008-11
2008-11-21,T.PURAM,Brinjal,35.0,2008-11
2008-11-24,BENGALURU,Brinjal,14.0,2008-11
2008-11-24,T.PURAM,Brinjal,35.0,2008-11
2008-11-25,BENGALURU,Brinjal,14.0,2008-11
2008-11-25,T.PURAM,Brinjal,35.0,2008-11
2008-11-26,BENGALURU,Brinjal,14.0,2008-11
2008-11-26,T.PURAM,Brinjal,35.0,2008-11
2008-11-27,BENGALURU,Brinjal,14.0,2008-11
2008-11-27,T.PURAM,Brinjal,35.0,2008-11
2008-11-28,BENGALURU,Brinjal,14.0,2008-11
2008-11-28,T.PURAM,Brinjal,35.0,2008-11
2008-01-12,BENGALURU,Brinjal,14.0,2008-01
2008-01-12,T.PURAM,Brinjal,35.0,2008-01
2008-02-12,BENGALURU,Brinjal,14.0,2008-02
2008-02-12,T.PURAM,Brinjal,35.0,2008-02
2008-03-12,BENGALURU,Brinjal,14.0,2008-03
2008-03-12,T.PURAM,Brinjal,35.0,2008-03
2008-04-12,BENGALURU,Brinjal,14.0,2008-04
2008-04-12,T.PURAM,Brinjal,35.0,2008-04
2008-05-12,BENGALURU,Brinjal,14.0,2008-05
2008-05-12,T.PURAM,Brinjal,35.0,2008-05
2008-08-12,BENGALURU,Brinjal,14.0,2008-08
2008-08-12,T.PURAM,Brinjal,35.0,2008-08
2008-10-12,BENGALURU,Brinjal,14.0,2008-10
2008-10-12,T.PURAM,Brinjal,35.0,2008-10
2008-11-12,BENGALURU,Brinjal,14.0,2008-11
2008-11-12,T.PURAM,Brinjal,35.0,2008-11
2008-12-12,BENGALURU,Brinjal,14.0,2008-12
2008-12-12,T.PURAM,Brinjal,35.0,2008-12
2008-12-15,BENGALURU,Brinjal,14.0,2008-12
2008-12-15,T.PURAM,Brinjal,35.0,2008-12
2008-12-16,BENGALURU,Brinjal,14.0,2008-12
2008-12-16,T.PURAM,Brinjal,35.0,2008-12
2008-12-17,BENGALURU,Brinjal,14.0,2008-12
2008-12-17,T.PURAM,Brinjal,35.0,2008-12
2008-12-18,BENGALURU,Brinjal,14.0,2008-12
2008-12-18,T.PURAM,Brinjal,35.0,2008-12
2008-12-19,BENGALURU,Brinjal,14.0,2008-12
2008-12-19,T.PURAM,Brinjal,35.0,2008-12
2008-12-22,BENGALURU,Brinjal,14.0,2008-12
2008-12-22,T.PURAM,Brinjal,35.0,2008-12
2008-12-23,BENGALURU,Brinjal,14.0,2008-12
2008-12-23,T.PURAM,Brinjal,35.0,2008-12
2008-12-24,BENGALURU,Brinjal,14.0,2008-12
2008-12-24,T.PURAM,Brinjal,35.0,2008-12
2008-12-26,BENGALURU,Brinjal,14.0,2008-12
2008-12-26,T.PURAM,Brinjal,35.0,2008-12
2008-12-29,BENGALURU,Brinjal,14.0,2008-12
2008-12-29,T.PURAM,Brinjal,35.0,2008-12
2008-12-30,BENGALURU,Brinjal,14.0,2008-12
2008-12-30,T.PURAM,Brinjal,35.0,2008-12
2008-12-31,BENGALURU,Brinjal,14.0,2008-12
2008-12-31,T.PURAM,Brinjal,35.0,2008-12
2009-01-01,BENGALURU,Brinjal,14.0,2009-01
2009-01-01,T.PURAM,Brinjal,35.0,2009-01
2009-02-01,BENGALURU,Brinjal,14.0,2009-02
2009-02-01,T.PURAM,Brinjal,35.0,2009-02
2009-05-01,BENGALURU,Brinjal,14.0,2009-05
2009-05-01,T.PURAM,Brinjal,35.0,2009-05
