Date,Centre_Name,Commodity_Name,Price
25-11-97,DELHI,Cabbage,NA
25-11-97,SHIMLA,Cabbage,NA
25-11-97,LUCKNOW,Cabbage,NA
25-11-97,AHMEDABAD,Cabbage,NA
25-11-97,BHOPAL,Cabbage,NA
25-11-97,MUMBAI,Cabbage,NA
25-11-97,JAIPUR,Cabbage,NA
25-11-97,PATNA,Cabbage,NA
25-11-97,BHUBANESHWAR,Cabbage,NA
25-11-97,KOLKATA,Cabbage,NA
25-11-97,GUWAHATI,Cabbage,NA
25-11-97,SHILLONG,Cabbage,NA
25-11-97,AIZWAL,Cabbage,NA
25-11-97,AGARTALA,Cabbage,NA
25-11-97,BENGALURU,Cabbage,NA
25-11-97,T.PURAM,Cabbage,NA
25-11-97,CHENNAI,Cabbage,NA
25-11-97,HYDERABAD,Cabbage,NA
26-11-97,DELHI,Cabbage,NA
26-11-97,SHIMLA,Cabbage,NA
26-11-97,LUCKNOW,Cabbage,NA
26-11-97,AHMEDABAD,Cabbage,NA
26-11-97,BHOPAL,Cabbage,NA
26-11-97,MUMBAI,Cabbage,NA
26-11-97,JAIPUR,Cabbage,NA
26-11-97,PATNA,Cabbage,NA
26-11-97,BHUBANESHWAR,Cabbage,NA
26-11-97,KOLKATA,Cabbage,NA
26-11-97,GUWAHATI,Cabbage,NA
26-11-97,SHILLONG,Cabbage,NA
26-11-97,AIZWAL,Cabbage,NA
26-11-97,AGARTALA,Cabbage,NA
26-11-97,BENGALURU,Cabbage,NA
26-11-97,T.PURAM,Cabbage,NA
26-11-97,CHENNAI,Cabbage,NA
26-11-97,HYDERABAD,Cabbage,NA
27-11-97,DELHI,Cabbage,NA
27-11-97,SHIMLA,Cabbage,NA
27-11-97,LUCKNOW,Cabbage,NA
27-11-97,AHMEDABAD,Cabbage,NA
27-11-97,BHOPAL,Cabbage,NA
27-11-97,MUMBAI,Cabbage,NA
27-11-97,JAIPUR,Cabbage,NA
27-11-97,PATNA,Cabbage,NA
27-11-97,BHUBANESHWAR,Cabbage,NA
27-11-97,KOLKATA,Cabbage,NA
27-11-97,GUWAHATI,Cabbage,NA
27-11-97,SHILLONG,Cabbage,NA
27-11-97,AIZWAL,Cabbage,NA
27-11-97,AGARTALA,Cabbage,NA
27-11-97,BENGALURU,Cabbage,NA
27-11-97,T.PURAM,Cabbage,NA
27-11-97,CHENNAI,Cabbage,NA
27-11-97,HYDERABAD,Cabbage,NA
28-11-97,DELHI,Cabbage,NA
28-11-97,SHIMLA,Cabbage,NA
28-11-97,LUCKNOW,Cabbage,NA
28-11-97,AHMEDABAD,Cabbage,NA
28-11-97,BHOPAL,Cabbage,NA
28-11-97,MUMBAI,Cabbage,NA
28-11-97,JAIPUR,Cabbage,NA
28-11-97,PATNA,Cabbage,NA
28-11-97,BHUBANESHWAR,Cabbage,NA
28-11-97,KOLKATA,Cabbage,NA
28-11-97,GUWAHATI,Cabbage,NA
28-11-97,SHILLONG,Cabbage,NA
28-11-97,AIZWAL,Cabbage,NA
28-11-97,AGARTALA,Cabbage,NA
28-11-97,BENGALURU,Cabbage,NA
28-11-97,T.PURAM,Cabbage,NA
28-11-97,CHENNAI,Cabbage,NA
28-11-97,HYDERABAD,Cabbage,NA
01-12-97,DELHI,Cabbage,NA
01-12-97,SHIMLA,Cabbage,NA
01-12-97,LUCKNOW,Cabbage,NA
01-12-97,AHMEDABAD,Cabbage,NA
01-12-97,BHOPAL,Cabbage,NA
01-12-97,MUMBAI,Cabbage,NA
01-12-97,JAIPUR,Cabbage,NA
01-12-97,PATNA,Cabbage,NA
01-12-97,BHUBANESHWAR,Cabbage,NA
01-12-97,KOLKATA,Cabbage,NA
01-12-97,GUWAHATI,Cabbage,NA
01-12-97,SHILLONG,Cabbage,NA
01-12-97,AIZWAL,Cabbage,NA
01-12-97,AGARTALA,Cabbage,NA
01-12-97,BENGALURU,Cabbage,NA
01-12-97,T.PURAM,Cabbage,NA
01-12-97,CHENNAI,Cabbage,NA
01-12-97,HYDERABAD,Cabbage,NA
02-12-97,DELHI,Cabbage,NA
02-12-97,SHIMLA,Cabbage,NA
02-12-97,LUCKNOW,Cabbage,NA
02-12-97,AHMEDABAD,Cabbage,NA
02-12-97,BHOPAL,Cabbage,NA
02-12-97,MUMBAI,Cabbage,NA
02-12-97,JAIPUR,Cabbage,NA
02-12-97,PATNA,Cabbage,NA
02-12-97,BHUBANESHWAR,Cabbage,NA
02-12-97,KOLKATA,Cabbage,NA
