Date,Centre_Name,Commodity_Name,Price
25-11-97,DELHI,Moong Dal,NA
25-11-97,SHIMLA,Moong Dal,NA
25-11-97,LUCKNOW,Moong Dal,NA
25-11-97,AHMEDABAD,Moong Dal,NA
25-11-97,BHOPAL,Moong Dal,NA
25-11-97,MUMBAI,Moong Dal,NA
25-11-97,JAIPUR,Moong Dal,NA
25-11-97,PATNA,Moong Dal,NA
25-11-97,BHUBANESHWAR,Moong Dal,NA
25-11-97,KOLKATA,Moong Dal,NA
25-11-97,GUWAHATI,Moong Dal,NA
25-11-97,SHILLONG,Moong Dal,NA
25-11-97,AIZWAL,Moong Dal,NA
25-11-97,AGARTALA,Moong Dal,NA
25-11-97,BENGALURU,Moong Dal,NA
25-11-97,T.PURAM,Moong Dal,NA
25-11-97,CHENNAI,Moong Dal,NA
25-11-97,HYDERABAD,Moong Dal,NA
26-11-97,DELHI,Moong Dal,NA
26-11-97,SHIMLA,Moong Dal,NA
26-11-97,LUCKNOW,Moong Dal,NA
26-11-97,AHMEDABAD,Moong Dal,NA
26-11-97,BHOPAL,Moong Dal,NA
26-11-97,MUMBAI,Moong Dal,NA
26-11-97,JAIPUR,Moong Dal,NA
26-11-97,PATNA,Moong Dal,NA
26-11-97,BHUBANESHWAR,Moong Dal,NA
26-11-97,KOLKATA,Moong Dal,NA
26-11-97,GUWAHATI,Moong Dal,NA
26-11-97,SHILLONG,Moong Dal,NA
26-11-97,AIZWAL,Moong Dal,NA
26-11-97,AGARTALA,Moong Dal,NA
26-11-97,BENGALURU,Moong Dal,NA
26-11-97,T.PURAM,Moong Dal,NA
26-11-97,CHENNAI,Moong Dal,NA
26-11-97,HYDERABAD,Moong Dal,NA
27-11-97,DELHI,Moong Dal,NA
27-11-97,SHIMLA,Moong Dal,NA
27-11-97,LUCKNOW,Moong Dal,NA
27-11-97,AHMEDABAD,Moong Dal,NA
27-11-97,BHOPAL,Moong Dal,NA
27-11-97,MUMBAI,Moong Dal,NA
27-11-97,JAIPUR,Moong Dal,NA
27-11-97,PATNA,Moong Dal,NA
27-11-97,BHUBANESHWAR,Moong Dal,NA
27-11-97,KOLKATA,Moong Dal,NA
27-11-97,GUWAHATI,Moong Dal,NA
27-11-97,SHILLONG,Moong Dal,NA
27-11-97,AIZWAL,Moong Dal,NA
27-11-97,AGARTALA,Moong Dal,NA
27-11-97,BENGALURU,Moong Dal,NA
27-11-97,T.PURAM,Moong Dal,NA
27-11-97,CHENNAI,Moong Dal,NA
27-11-97,HYDERABAD,Moong Dal,NA
28-11-97,DELHI,Moong Dal,NA
28-11-97,SHIMLA,Moong Dal,NA
28-11-97,LUCKNOW,Moong Dal,NA
28-11-97,AHMEDABAD,Moong Dal,NA
28-11-97,BHOPAL,Moong Dal,NA
28-11-97,MUMBAI,Moong Dal,NA
28-11-97,JAIPUR,Moong Dal,NA
28-11-97,PATNA,Moong Dal,NA
28-11-97,BHUBANESHWAR,Moong Dal,NA
28-11-97,KOLKATA,Moong Dal,NA
28-11-97,GUWAHATI,Moong Dal,NA
28-11-97,SHILLONG,Moong Dal,NA
28-11-97,AIZWAL,Moong Dal,NA
28-11-97,AGARTALA,Moong Dal,NA
28-11-97,BENGALURU,Moong Dal,NA
28-11-97,T.PURAM,Moong Dal,NA
28-11-97,CHENNAI,Moong Dal,NA
28-11-97,HYDERABAD,Moong Dal,NA
