Date,Centre_Name,Commodity_Name,Price
03-01-00,DELHI,Mustard Oil (Packed),48
03-01-00,SHIMLA,Mustard Oil (Packed),61.5
03-01-00,LUCKNOW,Mustard Oil (Packed),34
03-01-00,AHMEDABAD,Mustard Oil (Packed),31
03-01-00,BHOPAL,Mustard Oil (Packed),38
03-01-00,MUMBAI,Mustard Oil (Packed),72
03-01-00,JAIPUR,Mustard Oil (Packed),NA
03-01-00,PATNA,Mustard Oil (Packed),NA
03-01-00,BHUBANESHWAR,Mustard Oil (Packed),42
03-01-00,KOLKATA,Mustard Oil (Packed),44
03-01-00,GUWAHATI,Mustard Oil (Packed),38
03-01-00,SHILLONG,Mustard Oil (Packed),NA
03-01-00,AIZWAL,Mustard Oil (Packed),49
03-01-00,AGARTALA,Mustard Oil (Packed),46
03-01-00,BENGALURU,Mustard Oil (Packed),NA
03-01-00,T.PURAM,Mustard Oil (Packed),72.5
03-01-00,CHENNAI,Mustard Oil (Packed),NA
03-01-00,HYDERABAD,Mustard Oil (Packed),54
04-01-00,DELHI,Mustard Oil (Packed),48
04-01-00,SHIMLA,Mustard Oil (Packed),61.5
04-01-00,LUCKNOW,Mustard Oil (Packed),34
04-01-00,AHMEDABAD,Mustard Oil (Packed),31
04-01-00,BHOPAL,Mustard Oil (Packed),35
04-01-00,MUMBAI,Mustard Oil (Packed),72
04-01-00,JAIPUR,Mustard Oil (Packed),NA
04-01-00,PATNA,Mustard Oil (Packed),NA
04-01-00,BHUBANESHWAR,Mustard Oil (Packed),42
04-01-00,KOLKATA,Mustard Oil (Packed),44
04-01-00,GUWAHATI,Mustard Oil (Packed),38
04-01-00,SHILLONG,Mustard Oil (Packed),40
04-01-00,AIZWAL,Mustard Oil (Packed),49
04-01-00,AGARTALA,Mustard Oil (Packed),46
04-01-00,BENGALURU,Mustard Oil (Packed),NA
04-01-00,T.PURAM,Mustard Oil (Packed),72.5
04-01-00,CHENNAI,Mustard Oil (Packed),NA
04-01-00,HYDERABAD,Mustard Oil (Packed),54
05-01-00,DELHI,Mustard Oil (Packed),48
05-01-00,SHIMLA,Mustard Oil (Packed),61.5
05-01-00,LUCKNOW,Mustard Oil (Packed),34
05-01-00,AHMEDABAD,Mustard Oil (Packed),31
05-01-00,BHOPAL,Mustard Oil (Packed),35
05-01-00,MUMBAI,Mustard Oil (Packed),72
05-01-00,JAIPUR,Mustard Oil (Packed),NA
05-01-00,PATNA,Mustard Oil (Packed),NA
05-01-00,BHUBANESHWAR,Mustard Oil (Packed),42
05-01-00,KOLKATA,Mustard Oil (Packed),44
05-01-00,GUWAHATI,Mustard Oil (Packed),38
05-01-00,SHILLONG,Mustard Oil (Packed),40
05-01-00,AIZWAL,Mustard Oil (Packed),49
05-01-00,AGARTALA,Mustard Oil (Packed),46
05-01-00,BENGALURU,Mustard Oil (Packed),NA
05-01-00,T.PURAM,Mustard Oil (Packed),72.5
05-01-00,CHENNAI,Mustard Oil (Packed),NA
05-01-00,HYDERABAD,Mustard Oil (Packed),54
06-01-00,DELHI,Mustard Oil (Packed),48
06-01-00,SHIMLA,Mustard Oil (Packed),61.5
06-01-00,LUCKNOW,Mustard Oil (Packed),NA
06-01-00,AHMEDABAD,Mustard Oil (Packed),31
