Date,Centre_Name,Commodity_Name,Price
03-01-05,DELHI,Palm Oil (Packed),NA
03-01-05,SHIMLA,Palm Oil (Packed),NA
03-01-05,LUCKNOW,Palm Oil (Packed),NA
03-01-05,AHMEDABAD,Palm Oil (Packed),NA
03-01-05,BHOPAL,Palm Oil (Packed),NA
03-01-05,MUMBAI,Palm Oil (Packed),NA
03-01-05,JAIPUR,Palm Oil (Packed),NA
03-01-05,PATNA,Palm Oil (Packed),NA
03-01-05,BHUBANESHWAR,Palm Oil (Packed),NA
03-01-05,KOLKATA,Palm Oil (Packed),NA
03-01-05,GUWAHATI,Palm Oil (Packed),NA
03-01-05,SHILLONG,Palm Oil (Packed),NA
03-01-05,AIZWAL,Palm Oil (Packed),NA
03-01-05,AGARTALA,Palm Oil (Packed),NA
03-01-05,BENGALURU,Palm Oil (Packed),NA
03-01-05,T.PURAM,Palm Oil (Packed),NA
03-01-05,CHENNAI,Palm Oil (Packed),NA
03-01-05,HYDERABAD,Palm Oil (Packed),NA
04-01-05,DELHI,Palm Oil (Packed),NA
04-01-05,SHIMLA,Palm Oil (Packed),NA
04-01-05,LUCKNOW,Palm Oil (Packed),NA
04-01-05,AHMEDABAD,Palm Oil (Packed),NA
04-01-05,BHOPAL,Palm Oil (Packed),NA
04-01-05,MUMBAI,Palm Oil (Packed),NA
04-01-05,JAIPUR,Palm Oil (Packed),NA
04-01-05,PATNA,Palm Oil (Packed),NA
04-01-05,BHUBANESHWAR,Palm Oil (Packed),NA
04-01-05,KOLKATA,Palm Oil (Packed),NA
04-01-05,GUWAHATI,Palm Oil (Packed),NA
04-01-05,SHILLONG,Palm Oil (Packed),NA
04-01-05,AIZWAL,Palm Oil (Packed),NA
04-01-05,AGARTALA,Palm Oil (Packed),NA
04-01-05,BENGALURU,Palm Oil (Packed),NA
04-01-05,T.PURAM,Palm Oil (Packed),NA
04-01-05,CHENNAI,Palm Oil (Packed),NA
04-01-05,HYDERABAD,Palm Oil (Packed),NA
05-01-05,DELHI,Palm Oil (Packed),NA
05-01-05,SHIMLA,Palm Oil (Packed),NA
05-01-05,LUCKNOW,Palm Oil (Packed),NA
05-01-05,AHMEDABAD,Palm Oil (Packed),NA
05-01-05,BHOPAL,Palm Oil (Packed),NA
05-01-05,MUMBAI,Palm Oil (Packed),NA
05-01-05,JAIPUR,Palm Oil (Packed),NA
05-01-05,PATNA,Palm Oil (Packed),NA
05-01-05,BHUBANESHWAR,Palm Oil (Packed),NA
05-01-05,KOLKATA,Palm Oil (Packed),NA
05-01-05,GUWAHATI,Palm Oil (Packed),NA
05-01-05,SHILLONG,Palm Oil (Packed),NA
05-01-05,AIZWAL,Palm Oil (Packed),NA
05-01-05,AGARTALA,Palm Oil (Packed),NA
05-01-05,BENGALURU,Palm Oil (Packed),NA
05-01-05,T.PURAM,Palm Oil (Packed),NA
05-01-05,CHENNAI,Palm Oil (Packed),NA
05-01-05,HYDERABAD,Palm Oil (Packed),NA
06-01-05,DELHI,Palm Oil (Packed),NA
06-01-05,SHIMLA,Palm Oil (Packed),NA
06-01-05,LUCKNOW,Palm Oil (Packed),NA
06-01-05,AHMEDABAD,Palm Oil (Packed),NA
06-01-05,BHOPAL,Palm Oil (Packed),NA
06-01-05,MUMBAI,Palm Oil (Packed),NA
06-01-05,JAIPUR,Palm Oil (Packed),NA
06-01-05,PATNA,Palm Oil (Packed),NA
06-01-05,BHUBANESHWAR,Palm Oil (Packed),NA
06-01-05,KOLKATA,Palm Oil (Packed),NA
06-01-05,GUWAHATI,Palm Oil (Packed),NA
06-01-05,SHILLONG,Palm Oil (Packed),NA
06-01-05,AIZWAL,Palm Oil (Packed),NA
06-01-05,AGARTALA,Palm Oil (Packed),NA
06-01-05,BENGALURU,Palm Oil (Packed),NA
06-01-05,T.PURAM,Palm Oil (Packed),NA
06-01-05,CHENNAI,Palm Oil (Packed),NA
06-01-05,HYDERABAD,Palm Oil (Packed),NA
07-01-05,DELHI,Palm Oil (Packed),NA
07-01-05,SHIMLA,Palm Oil (Packed),NA
07-01-05,LUCKNOW,Palm Oil (Packed),NA
07-01-05,AHMEDABAD,Palm Oil (Packed),NA
07-01-05,BHOPAL,Palm Oil (Packed),NA
07-01-05,MUMBAI,Palm Oil (Packed),NA
07-01-05,JAIPUR,Palm Oil (Packed),NA
07-01-05,PATNA,Palm Oil (Packed),NA
07-01-05,BHUBANESHWAR,Palm Oil (Packed),NA
07-01-05,KOLKATA,Palm Oil (Packed),NA
07-01-05,GUWAHATI,Palm Oil (Packed),NA
07-01-05,SHILLONG,Palm Oil (Packed),NA
07-01-05,AIZWAL,Palm Oil (Packed),NA
07-01-05,AGARTALA,Palm Oil (Packed),NA
07-01-05,BENGALURU,Palm Oil (Packed),NA
07-01-05,T.PURAM,Palm Oil (Packed),NA
07-01-05,CHENNAI,Palm Oil (Packed),NA
07-01-05,HYDERABAD,Palm Oil (Packed),NA
10-01-05,DELHI,Palm Oil (Packed),NA
10-01-05,SHIMLA,Palm Oil (Packed),NA
10-01-05,LUCKNOW,Palm Oil (Packed),NA
10-01-05,AHMEDABAD,Palm Oil (Packed),NA
10-01-05,BHOPAL,Palm Oil (Packed),NA
10-01-05,MUMBAI,Palm Oil (Packed),NA
10-01-05,JAIPUR,Palm Oil (Packed),NA
10-01-05,PATNA,Palm Oil (Packed),NA
10-01-05,BHUBANESHWAR,Palm Oil (Packed),NA
10-01-05,KOLKATA,Palm Oil (Packed),NA
10-01-05,GUWAHATI,Palm Oil (Packed),NA
10-01-05,SHILLONG,Palm Oil (Packed),NA
10-01-05,AIZWAL,Palm Oil (Packed),NA
10-01-05,AGARTALA,Palm Oil (Packed),NA
10-01-05,BENGALURU,Palm Oil (Packed),NA
10-01-05,T.PURAM,Palm Oil (Packed),NA
10-01-05,CHENNAI,Palm Oil (Packed),NA
10-01-05,HYDERABAD,Palm Oil (Packed),NA
11-01-05,DELHI,Palm Oil (Packed),NA
11-01-05,SHIMLA,Palm Oil (Packed),NA
11-01-05,LUCKNOW,Palm Oil (Packed),NA
11-01-05,AHMEDABAD,Palm Oil (Packed),NA
11-01-05,BHOPAL,Palm Oil (Packed),NA
11-01-05,MUMBAI,Palm Oil (Packed),NA
11-01-05,JAIPUR,Palm Oil (Packed),NA
11-01-05,PATNA,Palm Oil (Packed),NA
11-01-05,BHUBANESHWAR,Palm Oil (Packed),NA
11-01-05,KOLKATA,Palm Oil (Packed),NA
11-01-05,GUWAHATI,Palm Oil (Packed),NA
11-01-05,SHILLONG,Palm Oil (Packed),NA
11-01-05,AIZWAL,Palm Oil (Packed),NA
11-01-05,AGARTALA,Palm Oil (Packed),NA
11-01-05,BENGALURU,Palm Oil (Packed),NA
11-01-05,T.PURAM,Palm Oil (Packed),NA
11-01-05,CHENNAI,Palm Oil (Packed),NA
11-01-05,HYDERABAD,Palm Oil (Packed),NA
12-01-05,DELHI,Palm Oil (Packed),NA
12-01-05,SHIMLA,Palm Oil (Packed),NA
12-01-05,LUCKNOW,Palm Oil (Packed),NA
12-01-05,AHMEDABAD,Palm Oil (Packed),NA
12-01-05,BHOPAL,Palm Oil (Packed),NA
12-01-05,MUMBAI,Palm Oil (Packed),NA
12-01-05,JAIPUR,Palm Oil (Packed),NA
12-01-05,PATNA,Palm Oil (Packed),NA
12-01-05,BHUBANESHWAR,Palm Oil (Packed),NA
12-01-05,KOLKATA,Palm Oil (Packed),NA
12-01-05,GUWAHATI,Palm Oil (Packed),NA
12-01-05,SHILLONG,Palm Oil (Packed),NA
12-01-05,AIZWAL,Palm Oil (Packed),NA
12-01-05,AGARTALA,Palm Oil (Packed),NA
12-01-05,BENGALURU,Palm Oil (Packed),NA
12-01-05,T.PURAM,Palm Oil (Packed),NA
12-01-05,CHENNAI,Palm Oil (Packed),NA
