Date,Centre_Name,Commodity_Name,Price
25-11-97,DELHI,Potato,6
25-11-97,SHIMLA,Potato,6
25-11-97,LUCKNOW,Potato,6
25-11-97,AHMEDABAD,Potato,6
25-11-97,BHOPAL,Potato,5.75
25-11-97,MUMBAI,Potato,6
25-11-97,JAIPUR,Potato,5.5
25-11-97,PATNA,Potato,NA
25-11-97,BHUBANESHWAR,Potato,6
25-11-97,KOLKATA,Potato,6
25-11-97,GUWAHATI,Potato,2.73
25-11-97,SHILLONG,Potato,5
25-11-97,AIZWAL,Potato,6
25-11-97,AGARTALA,Potato,4.5
25-11-97,BENGALURU,Potato,4
25-11-97,T.PURAM,Potato,6
25-11-97,CHENNAI,Potato,6
25-11-97,HYDERABAD,Potato,6
26-11-97,DELHI,Potato,6
26-11-97,SHIMLA,Potato,6
26-11-97,LUCKNOW,Potato,6
26-11-97,AHMEDABAD,Potato,6
26-11-97,BHOPAL,Potato,5.75
26-11-97,MUMBAI,Potato,6
26-11-97,JAIPUR,Potato,5.5
26-11-97,PATNA,Potato,NA
26-11-97,BHUBANESHWAR,Potato,6
26-11-97,KOLKATA,Potato,6
26-11-97,GUWAHATI,Potato,2.73
26-11-97,SHILLONG,Potato,5
26-11-97,AIZWAL,Potato,6
26-11-97,AGARTALA,Potato,4.5
26-11-97,BENGALURU,Potato,4
26-11-97,T.PURAM,Potato,6
26-11-97,CHENNAI,Potato,NA
26-11-97,HYDERABAD,Potato,6
27-11-97,DELHI,Potato,6
27-11-97,SHIMLA,Potato,6
27-11-97,LUCKNOW,Potato,6
27-11-97,AHMEDABAD,Potato,6
27-11-97,BHOPAL,Potato,5.75
27-11-97,MUMBAI,Potato,6
27-11-97,JAIPUR,Potato,6
27-11-97,PATNA,Potato,NA
27-11-97,BHUBANESHWAR,Potato,6
27-11-97,KOLKATA,Potato,6
27-11-97,GUWAHATI,Potato,2.73
27-11-97,SHILLONG,Potato,5
27-11-97,AIZWAL,Potato,6
27-11-97,AGARTALA,Potato,4.5
27-11-97,BENGALURU,Potato,4
27-11-97,T.PURAM,Potato,6
27-11-97,CHENNAI,Potato,6
27-11-97,HYDERABAD,Potato,6
28-11-97,DELHI,Potato,6
28-11-97,SHIMLA,Potato,6
28-11-97,LUCKNOW,Potato,6
28-11-97,AHMEDABAD,Potato,6
28-11-97,BHOPAL,Potato,5.75
28-11-97,MUMBAI,Potato,6
28-11-97,JAIPUR,Potato,6
28-11-97,PATNA,Potato,NA
