Date,Centre_Name,Commodity_Name,Price
03-01-00,DELHI,Sugar,17
03-01-00,SHIMLA,Sugar,17
03-01-00,LUCKNOW,Sugar,16
03-01-00,AHMEDABAD,Sugar,16
03-01-00,BHOPAL,Sugar,15.4
03-01-00,MUMBAI,Sugar,17.25
03-01-00,JAIPUR,Sugar,NA
03-01-00,PATNA,Sugar,NA
03-01-00,BHUBANESHWAR,Sugar,16.5
03-01-00,KOLKATA,Sugar,16.5
03-01-00,GUWAHATI,Sugar,17.5
03-01-00,SHILLONG,Sugar,NA
03-01-00,AIZWAL,Sugar,22
03-01-00,AGARTALA,Sugar,18
03-01-00,BENGALURU,Sugar,15
03-01-00,T.PURAM,Sugar,15.2
03-01-00,CHENNAI,Sugar,14.5
03-01-00,HYDERABAD,Sugar,15
04-01-00,DELHI,Sugar,17
04-01-00,SHIMLA,Sugar,17
04-01-00,LUCKNOW,Sugar,16
04-01-00,AHMEDABAD,Sugar,16
04-01-00,BHOPAL,Sugar,15.4
04-01-00,MUMBAI,Sugar,17.25
04-01-00,JAIPUR,Sugar,NA
04-01-00,PATNA,Sugar,NA
04-01-00,BHUBANESHWAR,Sugar,16.5
04-01-00,KOLKATA,Sugar,16.5
04-01-00,GUWAHATI,Sugar,17.5
04-01-00,SHILLONG,Sugar,19
04-01-00,AIZWAL,Sugar,22
04-01-00,AGARTALA,Sugar,18
04-01-00,BENGALURU,Sugar,15
04-01-00,T.PURAM,Sugar,15.2
04-01-00,CHENNAI,Sugar,14.5
04-01-00,HYDERABAD,Sugar,15
05-01-00,DELHI,Sugar,17
05-01-00,SHIMLA,Sugar,17
05-01-00,LUCKNOW,Sugar,16
05-01-00,AHMEDABAD,Sugar,16
05-01-00,BHOPAL,Sugar,15.4
05-01-00,MUMBAI,Sugar,17.25
05-01-00,JAIPUR,Sugar,NA
05-01-00,PATNA,Sugar,NA
05-01-00,BHUBANESHWAR,Sugar,16.5
05-01-00,KOLKATA,Sugar,16.5
05-01-00,GUWAHATI,Sugar,17.5
05-01-00,SHILLONG,Sugar,19
05-01-00,AIZWAL,Sugar,22
05-01-00,AGARTALA,Sugar,18
05-01-00,BENGALURU,Sugar,15
05-01-00,T.PURAM,Sugar,15.2
05-01-00,CHENNAI,Sugar,14.5
05-01-00,HYDERABAD,Sugar,15
06-01-00,DELHI,Sugar,17
06-01-00,SHIMLA,Sugar,17
06-01-00,LUCKNOW,Sugar,NA
06-01-00,AHMEDABAD,Sugar,16
06-01-00,BHOPAL,Sugar,15.4
06-01-00,MUMBAI,Sugar,17.25
06-01-00,JAIPUR,Sugar,NA
06-01-00,PATNA,Sugar,16.5
06-01-00,BHUBANESHWAR,Sugar,16.5
06-01-00,KOLKATA,Sugar,16.5
06-01-00,GUWAHATI,Sugar,17.5
06-01-00,SHILLONG,Sugar,18
06-01-00,AIZWAL,Sugar,22
06-01-00,AGARTALA,Sugar,18
06-01-00,BENGALURU,Sugar,15
06-01-00,T.PURAM,Sugar,15.2
06-01-00,CHENNAI,Sugar,15
06-01-00,HYDERABAD,Sugar,15
07-01-00,DELHI,Sugar,17
07-01-00,SHIMLA,Sugar,17
07-01-00,LUCKNOW,Sugar,16
07-01-00,AHMEDABAD,Sugar,16
07-01-00,BHOPAL,Sugar,15.4
07-01-00,MUMBAI,Sugar,17.25
07-01-00,JAIPUR,Sugar,NA
07-01-00,PATNA,Sugar,16.5
07-01-00,BHUBANESHWAR,Sugar,16.5
07-01-00,KOLKATA,Sugar,16.5
07-01-00,GUWAHATI,Sugar,17.5
07-01-00,SHILLONG,Sugar,18
07-01-00,AIZWAL,Sugar,22
07-01-00,AGARTALA,Sugar,18
07-01-00,BENGALURU,Sugar,15
07-01-00,T.PURAM,Sugar,15.2
