Date,Centre_Name,Commodity_Name,Price
25-11-97,DELHI,Tea Loose,92
25-11-97,SHIMLA,Tea Loose,132
25-11-97,LUCKNOW,Tea Loose,90
25-11-97,AHMEDABAD,Tea Loose,105
25-11-97,BHOPAL,Tea Loose,90
25-11-97,MUMBAI,Tea Loose,100
25-11-97,JAIPUR,Tea Loose,85
25-11-97,PATNA,Tea Loose,NA
25-11-97,BHUBANESHWAR,Tea Loose,90
25-11-97,KOLKATA,Tea Loose,100
25-11-97,GUWAHATI,Tea Loose,60
25-11-97,SHILLONG,Tea Loose,80
25-11-97,AIZWAL,Tea Loose,NA
25-11-97,AGARTALA,Tea Loose,60
25-11-97,BENGALURU,Tea Loose,60
25-11-97,T.PURAM,Tea Loose,90.75
25-11-97,CHENNAI,Tea Loose,140
25-11-97,HYDERABAD,Tea Loose,80
26-11-97,DELHI,Tea Loose,92
26-11-97,SHIMLA,Tea Loose,132
26-11-97,LUCKNOW,Tea Loose,90
26-11-97,AHMEDABAD,Tea Loose,105
26-11-97,BHOPAL,Tea Loose,70
26-11-97,MUMBAI,Tea Loose,88
26-11-97,JAIPUR,Tea Loose,85
26-11-97,PATNA,Tea Loose,NA
26-11-97,BHUBANESHWAR,Tea Loose,90
26-11-97,KOLKATA,Tea Loose,100
26-11-97,GUWAHATI,Tea Loose,60
26-11-97,SHILLONG,Tea Loose,80
26-11-97,AIZWAL,Tea Loose,NA
26-11-97,AGARTALA,Tea Loose,60
26-11-97,BENGALURU,Tea Loose,60
26-11-97,T.PURAM,Tea Loose,90.75
26-11-97,CHENNAI,Tea Loose,NA
26-11-97,HYDERABAD,Tea Loose,80
27-11-97,DELHI,Tea Loose,92
27-11-97,SHIMLA,Tea Loose,132
27-11-97,LUCKNOW,Tea Loose,90
27-11-97,AHMEDABAD,Tea Loose,105
27-11-97,BHOPAL,Tea Loose,70
27-11-97,MUMBAI,Tea Loose,100
27-11-97,JAIPUR,Tea Loose,85
27-11-97,PATNA,Tea Loose,NA
27-11-97,BHUBANESHWAR,Tea Loose,90
27-11-97,KOLKATA,Tea Loose,100
27-11-97,GUWAHATI,Tea Loose,60
27-11-97,SHILLONG,Tea Loose,80
27-11-97,AIZWAL,Tea Loose,NA
27-11-97,AGARTALA,Tea Loose,60
27-11-97,BENGALURU,Tea Loose,60
27-11-97,T.PURAM,Tea Loose,90.75
27-11-97,CHENNAI,Tea Loose,140
27-11-97,HYDERABAD,Tea Loose,80
28-11-97,DELHI,Tea Loose,92
28-11-97,SHIMLA,Tea Loose,132
28-11-97,LUCKNOW,Tea Loose,90
28-11-97,AHMEDABAD,Tea Loose,105
28-11-97,BHOPAL,Tea Loose,70
28-11-97,MUMBAI,Tea Loose,100
28-11-97,JAIPUR,Tea Loose,85
28-11-97,PATNA,Tea Loose,NA
28-11-97,BHUBANESHWAR,Tea Loose,90
28-11-97,KOLKATA,Tea Loose,100
28-11-97,GUWAHATI,Tea Loose,60
28-11-97,SHILLONG,Tea Loose,80
28-11-97,AIZWAL,Tea Loose,NA
28-11-97,AGARTALA,Tea Loose,65
28-11-97,BENGALURU,Tea Loose,60
28-11-97,T.PURAM,Tea Loose,90.75
28-11-97,CHENNAI,Tea Loose,140
28-11-97,HYDERABAD,Tea Loose,80
01-12-97,DELHI,Tea Loose,92
01-12-97,SHIMLA,Tea Loose,132
01-12-97,LUCKNOW,Tea Loose,90
01-12-97,AHMEDABAD,Tea Loose,105
01-12-97,BHOPAL,Tea Loose,70
01-12-97,MUMBAI,Tea Loose,100
01-12-97,JAIPUR,Tea Loose,85
01-12-97,PATNA,Tea Loose,NA
01-12-97,BHUBANESHWAR,Tea Loose,90
01-12-97,KOLKATA,Tea Loose,100
01-12-97,GUWAHATI,Tea Loose,60
01-12-97,SHILLONG,Tea Loose,80
01-12-97,AIZWAL,Tea Loose,NA
01-12-97,AGARTALA,Tea Loose,65
01-12-97,BENGALURU,Tea Loose,60
01-12-97,T.PURAM,Tea Loose,90.75
01-12-97,CHENNAI,Tea Loose,140
01-12-97,HYDERABAD,Tea Loose,80
02-12-97,DELHI,Tea Loose,92
02-12-97,SHIMLA,Tea Loose,132
02-12-97,LUCKNOW,Tea Loose,90
02-12-97,AHMEDABAD,Tea Loose,105
02-12-97,BHOPAL,Tea Loose,90
02-12-97,MUMBAI,Tea Loose,100
02-12-97,JAIPUR,Tea Loose,85
02-12-97,PATNA,Tea Loose,NA
02-12-97,BHUBANESHWAR,Tea Loose,90
02-12-97,KOLKATA,Tea Loose,100
02-12-97,GUWAHATI,Tea Loose,60
02-12-97,SHILLONG,Tea Loose,80
02-12-97,AIZWAL,Tea Loose,NA
02-12-97,AGARTALA,Tea Loose,65
02-12-97,BENGALURU,Tea Loose,60
02-12-97,T.PURAM,Tea Loose,90.75
02-12-97,CHENNAI,Tea Loose,140
02-12-97,HYDERABAD,Tea Loose,84
03-12-97,DELHI,Tea Loose,92
03-12-97,SHIMLA,Tea Loose,132
03-12-97,LUCKNOW,Tea Loose,90
03-12-97,AHMEDABAD,Tea Loose,105
03-12-97,BHOPAL,Tea Loose,90
03-12-97,MUMBAI,Tea Loose,100
03-12-97,JAIPUR,Tea Loose,85
03-12-97,PATNA,Tea Loose,NA
03-12-97,BHUBANESHWAR,Tea Loose,90
03-12-97,KOLKATA,Tea Loose,100
03-12-97,GUWAHATI,Tea Loose,60
03-12-97,SHILLONG,Tea Loose,80
03-12-97,AIZWAL,Tea Loose,NA
03-12-97,AGARTALA,Tea Loose,65
03-12-97,BENGALURU,Tea Loose,60
03-12-97,T.PURAM,Tea Loose,90.75
03-12-97,CHENNAI,Tea Loose,140
03-12-97,HYDERABAD,Tea Loose,84
04-12-97,DELHI,Tea Loose,92
04-12-97,SHIMLA,Tea Loose,132
04-12-97,LUCKNOW,Tea Loose,90
04-12-97,AHMEDABAD,Tea Loose,105
04-12-97,BHOPAL,Tea Loose,90
04-12-97,MUMBAI,Tea Loose,100
04-12-97,JAIPUR,Tea Loose,85
04-12-97,PATNA,Tea Loose,NA
04-12-97,BHUBANESHWAR,Tea Loose,90
04-12-97,KOLKATA,Tea Loose,NA
04-12-97,GUWAHATI,Tea Loose,60
04-12-97,SHILLONG,Tea Loose,80
04-12-97,AIZWAL,Tea Loose,NA
04-12-97,AGARTALA,Tea Loose,65
04-12-97,BENGALURU,Tea Loose,60
04-12-97,T.PURAM,Tea Loose,90.75
04-12-97,CHENNAI,Tea Loose,140
04-12-97,HYDERABAD,Tea Loose,84
05-12-97,DELHI,Tea Loose,92
05-12-97,SHIMLA,Tea Loose,106
05-12-97,LUCKNOW,Tea Loose,90
05-12-97,AHMEDABAD,Tea Loose,105
05-12-97,BHOPAL,Tea Loose,90
05-12-97,MUMBAI,Tea Loose,100
05-12-97,JAIPUR,Tea Loose,85
05-12-97,PATNA,Tea Loose,NA
05-12-97,BHUBANESHWAR,Tea Loose,90
05-12-97,KOLKATA,Tea Loose,100
05-12-97,GUWAHATI,Tea Loose,60
05-12-97,SHILLONG,Tea Loose,80
05-12-97,AIZWAL,Tea Loose,NA
05-12-97,AGARTALA,Tea Loose,65
05-12-97,BENGALURU,Tea Loose,NA
05-12-97,T.PURAM,Tea Loose,90.75
05-12-97,CHENNAI,Tea Loose,NA
05-12-97,HYDERABAD,Tea Loose,84
08-12-97,DELHI,Tea Loose,92
08-12-97,SHIMLA,Tea Loose,106
08-12-97,LUCKNOW,Tea Loose,90
08-12-97,AHMEDABAD,Tea Loose,105
08-12-97,BHOPAL,Tea Loose,100
08-12-97,MUMBAI,Tea Loose,100
