Date,Centre_Name,Commodity_Name,Price
25-11-97,DELHI,Urad Dal,NA
25-11-97,SHIMLA,Urad Dal,NA
25-11-97,LUCKNOW,Urad Dal,NA
25-11-97,AHMEDABAD,Urad Dal,NA
25-11-97,BHOPAL,Urad Dal,NA
25-11-97,MUMBAI,Urad Dal,NA
25-11-97,JAIPUR,Urad Dal,NA
25-11-97,PATNA,Urad Dal,NA
25-11-97,BHUBANESHWAR,Urad Dal,NA
25-11-97,KOLKATA,Urad Dal,NA
25-11-97,GUWAHATI,Urad Dal,NA
25-11-97,SHILLONG,Urad Dal,NA
25-11-97,AIZWAL,Urad Dal,NA
25-11-97,AGARTALA,Urad Dal,NA
25-11-97,BENGALURU,Urad Dal,NA
25-11-97,T.PURAM,Urad Dal,NA
25-11-97,CHENNAI,Urad Dal,NA
25-11-97,HYDERABAD,Urad Dal,NA
26-11-97,DELHI,Urad Dal,NA
26-11-97,SHIMLA,Urad Dal,NA
26-11-97,LUCKNOW,Urad Dal,NA
26-11-97,AHMEDABAD,Urad Dal,NA
26-11-97,BHOPAL,Urad Dal,NA
26-11-97,MUMBAI,Urad Dal,NA
26-11-97,JAIPUR,Urad Dal,NA
26-11-97,PATNA,Urad Dal,NA
26-11-97,BHUBANESHWAR,Urad Dal,NA
26-11-97,KOLKATA,Urad Dal,NA
26-11-97,GUWAHATI,Urad Dal,NA
26-11-97,SHILLONG,Urad Dal,NA
26-11-97,AIZWAL,Urad Dal,NA
26-11-97,AGARTALA,Urad Dal,NA
26-11-97,BENGALURU,Urad Dal,NA
26-11-97,T.PURAM,Urad Dal,NA
26-11-97,CHENNAI,Urad Dal,NA
26-11-97,HYDERABAD,Urad Dal,NA
27-11-97,DELHI,Urad Dal,NA
27-11-97,SHIMLA,Urad Dal,NA
27-11-97,LUCKNOW,Urad Dal,NA
27-11-97,AHMEDABAD,Urad Dal,NA
27-11-97,BHOPAL,Urad Dal,NA
27-11-97,MUMBAI,Urad Dal,NA
27-11-97,JAIPUR,Urad Dal,NA
27-11-97,PATNA,Urad Dal,NA
27-11-97,BHUBANESHWAR,Urad Dal,NA
27-11-97,KOLKATA,Urad Dal,NA
27-11-97,GUWAHATI,Urad Dal,NA
27-11-97,SHILLONG,Urad Dal,NA
27-11-97,AIZWAL,Urad Dal,NA
27-11-97,AGARTALA,Urad Dal,NA
27-11-97,BENGALURU,Urad Dal,NA
27-11-97,T.PURAM,Urad Dal,NA
27-11-97,CHENNAI,Urad Dal,NA
27-11-97,HYDERABAD,Urad Dal,NA
28-11-97,DELHI,Urad Dal,NA
28-11-97,SHIMLA,Urad Dal,NA
28-11-97,LUCKNOW,Urad Dal,NA
28-11-97,AHMEDABAD,Urad Dal,NA
28-11-97,BHOPAL,Urad Dal,NA
28-11-97,MUMBAI,Urad Dal,NA
28-11-97,JAIPUR,Urad Dal,NA
28-11-97,PATNA,Urad Dal,NA
28-11-97,BHUBANESHWAR,Urad Dal,NA
28-11-97,KOLKATA,Urad Dal,NA
28-11-97,GUWAHATI,Urad Dal,NA
28-11-97,SHILLONG,Urad Dal,NA
28-11-97,AIZWAL,Urad Dal,NA
28-11-97,AGARTALA,Urad Dal,NA
28-11-97,BENGALURU,Urad Dal,NA
28-11-97,T.PURAM,Urad Dal,NA
28-11-97,CHENNAI,Urad Dal,NA
28-11-97,HYDERABAD,Urad Dal,NA
01-12-97,DELHI,Urad Dal,NA
01-12-97,SHIMLA,Urad Dal,NA
01-12-97,LUCKNOW,Urad Dal,NA
01-12-97,AHMEDABAD,Urad Dal,NA
01-12-97,BHOPAL,Urad Dal,NA
01-12-97,MUMBAI,Urad Dal,NA
01-12-97,JAIPUR,Urad Dal,NA
01-12-97,PATNA,Urad Dal,NA
01-12-97,BHUBANESHWAR,Urad Dal,NA
01-12-97,KOLKATA,Urad Dal,NA
01-12-97,GUWAHATI,Urad Dal,NA
01-12-97,SHILLONG,Urad Dal,NA
01-12-97,AIZWAL,Urad Dal,NA
01-12-97,AGARTALA,Urad Dal,NA
01-12-97,BENGALURU,Urad Dal,NA
01-12-97,T.PURAM,Urad Dal,NA
01-12-97,CHENNAI,Urad Dal,NA
01-12-97,HYDERABAD,Urad Dal,NA
02-12-97,DELHI,Urad Dal,NA
02-12-97,SHIMLA,Urad Dal,NA
02-12-97,LUCKNOW,Urad Dal,NA
02-12-97,AHMEDABAD,Urad Dal,NA
02-12-97,BHOPAL,Urad Dal,NA
02-12-97,MUMBAI,Urad Dal,NA
02-12-97,JAIPUR,Urad Dal,NA
02-12-97,PATNA,Urad Dal,NA
02-12-97,BHUBANESHWAR,Urad Dal,NA
02-12-97,KOLKATA,Urad Dal,NA
02-12-97,GUWAHATI,Urad Dal,NA
02-12-97,SHILLONG,Urad Dal,NA
02-12-97,AIZWAL,Urad Dal,NA
02-12-97,AGARTALA,Urad Dal,NA
02-12-97,BENGALURU,Urad Dal,NA
02-12-97,T.PURAM,Urad Dal,NA
02-12-97,CHENNAI,Urad Dal,NA
02-12-97,HYDERABAD,Urad Dal,NA
