Date,Centre_Name,Commodity_Name,Price
25-11-97,DELHI,Wheat,6.5
25-11-97,SHIMLA,Wheat,NA
25-11-97,LUCKNOW,Wheat,4.9
25-11-97,AHMEDABAD,Wheat,7.5
25-11-97,BHOPAL,Wheat,6
25-11-97,MUMBAI,Wheat,9
25-11-97,JAIPUR,Wheat,6.5
25-11-97,PATNA,Wheat,NA
25-11-97,BHUBANESHWAR,Wheat,7.5
25-11-97,KOLKATA,Wheat,7
25-11-97,GUWAHATI,Wheat,NA
25-11-97,SHILLONG,Wheat,8
25-11-97,AIZWAL,Wheat,NA
25-11-97,AGARTALA,Wheat,NA
25-11-97,BENGALURU,Wheat,9.5
25-11-97,T.PURAM,Wheat,12
25-11-97,CHENNAI,Wheat,11
25-11-97,HYDERABAD,Wheat,8
26-11-97,DELHI,Wheat,6.5
26-11-97,SHIMLA,Wheat,NA
26-11-97,LUCKNOW,Wheat,4.9
26-11-97,AHMEDABAD,Wheat,7.5
26-11-97,BHOPAL,Wheat,5.5
26-11-97,MUMBAI,Wheat,8.5
26-11-97,JAIPUR,Wheat,6.5
26-11-97,PATNA,Wheat,NA
26-11-97,BHUBANESHWAR,Wheat,7.5
26-11-97,KOLKATA,Wheat,7
26-11-97,GUWAHATI,Wheat,NA
26-11-97,SHILLONG,Wheat,8
26-11-97,AIZWAL,Wheat,NA
26-11-97,AGARTALA,Wheat,NA
26-11-97,BENGALURU,Wheat,9.5
26-11-97,T.PURAM,Wheat,12
26-11-97,CHENNAI,Wheat,NA
26-11-97,HYDERABAD,Wheat,8.5
27-11-97,DELHI,Wheat,6.5
27-11-97,SHIMLA,Wheat,NA
27-11-97,LUCKNOW,Wheat,4.9
27-11-97,AHMEDABAD,Wheat,7.5
27-11-97,BHOPAL,Wheat,5.5
27-11-97,MUMBAI,Wheat,9
27-11-97,JAIPUR,Wheat,6.5
27-11-97,PATNA,Wheat,NA
27-11-97,BHUBANESHWAR,Wheat,7.5
27-11-97,KOLKATA,Wheat,7
27-11-97,GUWAHATI,Wheat,NA
27-11-97,SHILLONG,Wheat,8
27-11-97,AIZWAL,Wheat,NA
27-11-97,AGARTALA,Wheat,NA
27-11-97,BENGALURU,Wheat,9.5
27-11-97,T.PURAM,Wheat,12
27-11-97,CHENNAI,Wheat,10.5
27-11-97,HYDERABAD,Wheat,8.5
28-11-97,DELHI,Wheat,6.5
28-11-97,SHIMLA,Wheat,NA
28-11-97,LUCKNOW,Wheat,4.9
28-11-97,AHMEDABAD,Wheat,7.5
28-11-97,BHOPAL,Wheat,5.5
28-11-97,MUMBAI,Wheat,9
28-11-97,JAIPUR,Wheat,6.5
28-11-97,PATNA,Wheat,NA
28-11-97,BHUBANESHWAR,Wheat,7.5
28-11-97,KOLKATA,Wheat,7
28-11-97,GUWAHATI,Wheat,NA
28-11-97,SHILLONG,Wheat,8
28-11-97,AIZWAL,Wheat,NA
28-11-97,AGARTALA,Wheat,NA
28-11-97,BENGALURU,Wheat,9.5
28-11-97,T.PURAM,Wheat,12
28-11-97,CHENNAI,Wheat,10.5
28-11-97,HYDERABAD,Wheat,8.5
01-12-97,DELHI,Wheat,6.5
01-12-97,SHIMLA,Wheat,NA
01-12-97,LUCKNOW,Wheat,4.9
01-12-97,AHMEDABAD,Wheat,7.5
01-12-97,BHOPAL,Wheat,5.5
01-12-97,MUMBAI,Wheat,9.5
01-12-97,JAIPUR,Wheat,6.5
01-12-97,PATNA,Wheat,NA
01-12-97,BHUBANESHWAR,Wheat,7.5
01-12-97,KOLKATA,Wheat,7
01-12-97,GUWAHATI,Wheat,NA
01-12-97,SHILLONG,Wheat,8
01-12-97,AIZWAL,Wheat,NA
01-12-97,AGARTALA,Wheat,NA
01-12-97,BENGALURU,Wheat,9.5
01-12-97,T.PURAM,Wheat,12
01-12-97,CHENNAI,Wheat,10.5
01-12-97,HYDERABAD,Wheat,8.5
02-12-97,DELHI,Wheat,6.5
02-12-97,SHIMLA,Wheat,NA
02-12-97,LUCKNOW,Wheat,4.9
02-12-97,AHMEDABAD,Wheat,7.5
02-12-97,BHOPAL,Wheat,6
02-12-97,MUMBAI,Wheat,9.5
02-12-97,JAIPUR,Wheat,6.5
02-12-97,PATNA,Wheat,6.25
02-12-97,BHUBANESHWAR,Wheat,7.5
02-12-97,KOLKATA,Wheat,7
02-12-97,GUWAHATI,Wheat,NA
02-12-97,SHILLONG,Wheat,8
02-12-97,AIZWAL,Wheat,NA
02-12-97,AGARTALA,Wheat,NA
02-12-97,BENGALURU,Wheat,9.5
02-12-97,T.PURAM,Wheat,12
02-12-97,CHENNAI,Wheat,10.5
02-12-97,HYDERABAD,Wheat,8.5
03-12-97,DELHI,Wheat,6.5
03-12-97,SHIMLA,Wheat,NA
03-12-97,LUCKNOW,Wheat,4.9
03-12-97,AHMEDABAD,Wheat,7.5
03-12-97,BHOPAL,Wheat,6
03-12-97,MUMBAI,Wheat,9.5
03-12-97,JAIPUR,Wheat,6.5
